siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3641,Juntunen [20MK1],45.81666666666667,-84.58333333333333,45.81666666666667,45.81666666666667,-84.58333333333333,-84.58333333333333,Mammals,Alces alces,2.0,MNI,bone/tooth,,,1125.0,1125.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3641,Juntunen [20MK1],45.81666666666667,-84.58333333333333,45.81666666666667,45.81666666666667,-84.58333333333333,-84.58333333333333,Mammals,Alces alces,1.0,MNI,bone/tooth,,,630.0,890.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3642,Ft. Michilimackinac,45.8,-84.75,45.8,45.8,-84.75,-84.75,Mammals,Alces alces,1.0,present/absent,bone/tooth,,,169.0,235.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3649,Harder [FbNs-1],52.21027777777777,-107.05027777777778,52.21027777777777,52.21027777777777,-107.05027777777778,-107.05027777777778,Mammals,Alces alces,1.0,present/absent,bone/tooth,,,3360.0,3425.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4097,Jurgens [5WLl53],40.36666666666667,-104.5,40.36666666666667,40.36666666666667,-104.5,-104.5,Mammals,Alces alces,1.0,MNI,bone/tooth,,,8000.0,12000.0,Radiocarbon years BP,,1405.0,vertebrate fauna,11/24/2007,,
4097,Jurgens [5WLl53],40.36666666666667,-104.5,40.36666666666667,40.36666666666667,-104.5,-104.5,Mammals,Alces alces,1.0,MNI,bone/tooth,,,8000.0,12000.0,Radiocarbon years BP,,1405.0,vertebrate fauna,11/24/2007,,
4235,Ogontz Bay [USFS328],45.75,-86.75,45.75,45.75,-86.75,-86.75,Mammals,Alces alces,12.0,NISP,bone/tooth,,,1150.0,1650.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4235,Ogontz Bay [USFS328],45.75,-86.75,45.75,45.75,-86.75,-86.75,Mammals,Alces alces,12.0,NISP,bone/tooth,,,1150.0,1650.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4268,Itasca [21-CE-1],47.11666666666667,-95.11666666666666,47.11666666666667,47.11666666666667,-95.11666666666666,-95.11666666666666,Mammals,Alces alces,1.0,NISP,bone/tooth,,,6430.0,9690.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4344,Duxbury,42.03333333333334,-70.61666666666667,42.03333333333334,42.03333333333334,-70.61666666666667,-70.61666666666667,Mammals,Alces alces,1.0,present/absent,bone/tooth,,,1650.0,2200.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4520,Riverside,45.25,-87.73333333333333,45.25,45.25,-87.73333333333333,-87.73333333333333,Mammals,Alces alces,1.0,present/absent,bone/tooth,,,1950.0,2460.0,Radiocarbon years BP,,186.0,vertebrate fauna,11/24/2007,,
4525,Indian Point [20IR28],48.0,-88.75,48.0,48.0,-88.75,-88.75,Mammals,Alces alces,1.0,NISP,bone/tooth,,,1150.0,3000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4583,Ferry County salvage sites,48.61666666666666,-118.11666666666666,48.61666666666666,48.61666666666666,-118.11666666666666,-118.11666666666666,Mammals,Alces alces,1.0,present/absent,antler,,,1.0,3000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4766,Charlie Lake Cave [HbRf39],56.276388888888896,-120.9375,56.276388888888896,56.276388888888896,-120.9375,-120.9375,Mammals,Alces alces,1.0,NISP,bone/tooth,,,1.0,4400.0,Radiocarbon years BP,,730.0,vertebrate fauna,11/24/2007,,
5283,Nett Lake Village [21KC1],48.11666666666667,-93.11666666666666,48.11666666666667,48.11666666666667,-93.11666666666666,-93.11666666666666,Mammals,Alces alces,8.0,NISP,bone/tooth,,,1150.0,2200.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5370,Burnt Bluff Cave [B-95],45.68333333333333,-86.73333333333333,45.68333333333333,45.68333333333333,-86.73333333333333,-86.73333333333333,Mammals,Alces alces,1.0,MNI,bone/tooth,,,1555.0,1555.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5370,Burnt Bluff Cave [B-95],45.68333333333333,-86.73333333333333,45.68333333333333,45.68333333333333,-86.73333333333333,-86.73333333333333,Mammals,Alces alces,1.0,MNI,bone/tooth,,,1555.0,1555.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
