siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3670,Williams Cave,31.866666666666667,-104.75,31.866666666666667,31.866666666666667,-104.75,-104.75,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1.0,35000.0,Radiocarbon years BP,,1495.0,vertebrate fauna,11/24/2007,,
3677,Lower Sloth Cave,31.866666666666667,-104.86666666666666,31.866666666666667,31.866666666666667,-104.86666666666666,-104.86666666666666,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1.0,11590.0,Radiocarbon years BP,,2000.0,vertebrate fauna,11/24/2007,,
3723,Wardell Buffalo Trap [48SU301],42.5,-110.0,42.5,42.5,-110.0,-110.0,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,990.0,1170.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3893,Duckfoot [5MT3668],37.5,-108.75,37.5,37.5,-108.75,-108.75,Mammals,Cynomys gunnisoni,125.0,NISP,bone/tooth,,,630.0,670.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3894,Sand Canyon Pueblo [5MT765],37.5,-108.75,37.5,37.5,-108.75,-108.75,Mammals,Cynomys gunnisoni,78.0,NISP,bone/tooth,,,630.0,670.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3895,Green Lizard Site [5MT3901],37.25,-108.86666666666666,37.25,37.25,-108.86666666666666,-108.86666666666666,Mammals,Cynomys gunnisoni,71.0,NISP,bone/tooth,,,650.0,775.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3895,Green Lizard Site [5MT3901],37.25,-108.86666666666666,37.25,37.25,-108.86666666666666,-108.86666666666666,Mammals,Cynomys gunnisoni,4.0,NISP,bone/tooth,,,650.0,775.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3963,Smith Falls Local Fauna,42.75,-100.11666666666666,42.75,42.75,-100.11666666666666,-100.11666666666666,Mammals,Cynomys gunnisoni,22.0,MNI,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
4086,Apricot Hamlet [5MT2858],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,5.0,MNI,bone/tooth,,,240.0,2000.0,Radiocarbon years BP,,2161.0,vertebrate fauna,11/24/2007,,
4086,Apricot Hamlet [5MT2858],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,5.0,MNI,bone/tooth,,,240.0,2000.0,Radiocarbon years BP,,2161.0,vertebrate fauna,11/24/2007,,
4106,Shield Trap [24CB91],45.11666666666667,-108.25,45.11666666666667,45.11666666666667,-108.25,-108.25,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1270.0,1745.0,Radiocarbon years BP,,2606.0,vertebrate fauna,11/24/2007,,
4106,Shield Trap [24CB91],45.11666666666667,-108.25,45.11666666666667,45.11666666666667,-108.25,-108.25,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,2185.0,5490.0,Radiocarbon years BP,,2606.0,vertebrate fauna,11/24/2007,,
4132,Prairie Dog Hamlet [5MT4614],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,5.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4132,Prairie Dog Hamlet [5MT4614],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,5.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4133,Tres Bobos Hamlet [5MT4545],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4133,Tres Bobos Hamlet [5MT4545],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4134,Dos Casas Hamlet [5MT2193],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,2.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4134,Dos Casas Hamlet [5MT2193],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,2.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4135,Casa Bodega Hamlet [5MT2194],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4135,Casa Bodega Hamlet [5MT2194],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4136,Lemoc Shelter [5MT2151],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,6.0,NISP,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4136,Lemoc Shelter [5MT2151],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,10.0,NISP,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4136,Lemoc Shelter [5MT2151],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,NISP,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4136,Lemoc Shelter [5MT2151],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,2.0,NISP,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4136,Lemoc Shelter [5MT2151],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,2.0,NISP,bone/tooth,,,150.0,1550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4138,Periman Hamlet [5MT4671],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,3.0,MNI,bone/tooth,,,1100.0,1150.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4138,Periman Hamlet [5MT4671],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,3.0,MNI,bone/tooth,,,1100.0,1150.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4139,Grass Mesa Village [5MT0023],37.52778,-108.55472,37.52778,37.52778,-108.55472,-108.55472,Mammals,Cynomys gunnisoni,65.0,NISP,bone/tooth,,,1025.0,1350.0,Radiocarbon years BP,,2095.0,vertebrate fauna,11/24/2007,,
4140,Kin Tl'iish [5MT2336],37.36666666666667,-108.36666666666666,37.36666666666667,37.36666666666667,-108.36666666666666,-108.36666666666666,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,975.0,1100.0,Radiocarbon years BP,,2103.0,vertebrate fauna,11/24/2007,,
4141,Prince Hamlet [5MT2161],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1110.0,1230.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4141,Prince Hamlet [5MT2161],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1050.0,1110.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4142,Windy Wheat Hamlet,37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1125.0,1210.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4143,Casa Roca [5MT2203],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,3.0,MNI,bone/tooth,,,975.0,1100.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4143,Casa Roca [5MT2203],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,3.0,MNI,bone/tooth,,,975.0,1100.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4144,Aldea Sierritas [5MT2854],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1170.0,1350.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4144,Aldea Sierritas [5MT2854],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1170.0,1350.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4144,Aldea Sierritas [5MT2854],37.5,-108.5,37.5,37.5,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1170.0,1350.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4197,Long House,37.18694444444445,-108.5025,37.18694444444445,37.18694444444445,-108.5025,-108.5025,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,650.0,1450.0,Radiocarbon years BP,,2095.0,vertebrate fauna,11/24/2007,,
4199,Mug House,37.11666666666667,-108.5,37.11666666666667,37.11666666666667,-108.5,-108.5,Mammals,Cynomys gunnisoni,2.0,NISP,bone/tooth,,,750.0,950.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4202,Wetherill Mesa Site 1676,37.11666666666667,-108.5,37.11666666666667,37.11666666666667,-108.5,-108.5,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1090.0,1090.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4299,Piedra River LA-4086,37.016666666666666,-107.36666666666666,37.016666666666666,37.016666666666666,-107.36666666666666,-107.36666666666666,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1025.0,1100.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,550.0,625.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1350.0,1950.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,950.0,1050.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,625.0,675.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,500.0,550.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,800.0,950.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4688,Point of Pines,33.25,-109.61666666666667,33.25,33.25,-109.61666666666667,-109.61666666666667,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,675.0,800.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4697,Isleta Cave No. 1 [UTEP42],34.866666666666674,-106.75,34.866666666666674,34.866666666666674,-106.75,-106.75,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1.0,20000.0,Radiocarbon years BP,,1716.0,vertebrate fauna,11/24/2007,,
4698,Isleta Cave No. 2 [UTEP46],34.866666666666674,-106.75,34.866666666666674,34.866666666666674,-106.75,-106.75,Mammals,Cynomys gunnisoni,1.0,present/absent,bone/tooth,,,1.0,20000.0,Radiocarbon years BP,,1716.0,vertebrate fauna,11/24/2007,,
4718,Antelope House,36.11666666666667,-109.5,36.11666666666667,36.11666666666667,-109.5,-109.5,Mammals,Cynomys gunnisoni,71.0,NISP,bone/tooth,,,100.0,1004.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4765,Arroyo Hondo Pueblo,35.5,-105.86666666666666,35.5,35.5,-105.86666666666666,-105.86666666666666,Mammals,Cynomys gunnisoni,287.0,MNI,bone/tooth,,,525.0,650.0,Radiocarbon years BP,,2161.0,vertebrate fauna,11/24/2007,,
4786,Black Mesa D:7:0310,36.5,-110.25,36.5,36.5,-110.25,-110.25,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4786,Black Mesa D:7:0310,36.5,-110.25,36.5,36.5,-110.25,-110.25,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4789,Black Mesa D:7:3013,36.5,-110.36666666666666,36.5,36.5,-110.36666666666666,-110.36666666666666,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4789,Black Mesa D:7:3013,36.5,-110.36666666666666,36.5,36.5,-110.36666666666666,-110.36666666666666,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4792,Black Mesa D:11:0244,36.36666666666667,-110.25,36.36666666666667,36.36666666666667,-110.25,-110.25,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4792,Black Mesa D:11:0244,36.36666666666667,-110.25,36.36666666666667,36.36666666666667,-110.25,-110.25,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4793,Black Mesa D:11:0449,36.36666666666667,-110.25,36.36666666666667,36.36666666666667,-110.25,-110.25,Mammals,Cynomys gunnisoni,2.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4793,Black Mesa D:11:0449,36.36666666666667,-110.25,36.36666666666667,36.36666666666667,-110.25,-110.25,Mammals,Cynomys gunnisoni,2.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4794,Black Mesa D:11:0410,36.36666666666667,-110.25,36.36666666666667,36.36666666666667,-110.25,-110.25,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4794,Black Mesa D:11:0410,36.36666666666667,-110.25,36.36666666666667,36.36666666666667,-110.25,-110.25,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4797,Black Mesa D:11:3131,36.36666666666667,-110.36666666666666,36.36666666666667,36.36666666666667,-110.36666666666666,-110.36666666666666,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4797,Black Mesa D:11:3131,36.36666666666667,-110.36666666666666,36.36666666666667,36.36666666666667,-110.36666666666666,-110.36666666666666,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1650.0,1850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4815,Black Mesa D:11:2030,36.36666666666667,-110.36666666666666,36.36666666666667,36.36666666666667,-110.36666666666666,-110.36666666666666,Mammals,Cynomys gunnisoni,1.0,MNI,bone/tooth,,,1050.0,1150.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
