siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3568,"Potter Creek Cave [5357,1055]",40.78388888888889,-122.28083333333332,40.78388888888889,40.78388888888889,-122.28083333333332,-122.28083333333332,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,454.0,vertebrate fauna,11/24/2007,,
3569,Samwell Cave,40.916911,-122.23787,40.916911,40.916911,-122.23787,-122.23787,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,465.0,vertebrate fauna,11/24/2007,,
3569,Samwell Cave,40.916911,-122.23787,40.916911,40.916911,-122.23787,-122.23787,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,465.0,vertebrate fauna,11/24/2007,,
4260,Hord Rockshelter,30.366666666666664,-103.61666666666667,30.366666666666664,30.366666666666664,-103.61666666666667,-103.61666666666667,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
4587,Mineral Hill Cave,40.11666666666667,-116.0,40.11666666666667,40.11666666666667,-116.0,-116.0,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,1.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
4684,Deadman Cave,32.36666666666667,-110.75,32.36666666666667,32.36666666666667,-110.75,-110.75,Mammals,Euceratherium collinum,1.0,NISP,bone/tooth,,,8000.0,12000.0,Radiocarbon years BP,,1400.0,vertebrate fauna,11/24/2007,,
4693,Burnet Cave,32.36666666666667,-104.75,32.36666666666667,32.36666666666667,-104.75,-104.75,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,10900.0,11300.0,Radiocarbon years BP,,1435.0,vertebrate fauna,11/24/2007,,
4895,Mercer Cave [UCMPV67108],38.15166666666667,-120.47666666666667,38.15166666666667,38.15166666666667,-120.47666666666667,-120.47666666666667,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,100.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
4912,Dudley Ridge [Witt Site] [UCMPV75041],35.941944444444445,-119.78277777777777,35.941944444444445,35.941944444444445,-119.78277777777777,-119.78277777777777,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,11500.0,65000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
5212,Shiners Site C [Falcon Hill-Shiners Site C] [26WA200],40.25,-119.36666666666666,40.25,40.25,-119.36666666666666,-119.36666666666666,Mammals,Euceratherium collinum,2.0,NISP,mandible,,,10000.0,35000.0,Radiocarbon years BP,,1276.0,vertebrate fauna,11/24/2007,,
5212,Shiners Site C [Falcon Hill-Shiners Site C] [26WA200],40.25,-119.36666666666666,40.25,40.25,-119.36666666666666,-119.36666666666666,Mammals,Euceratherium collinum,2.0,NISP,mandible,,,10000.0,35000.0,Radiocarbon years BP,,1276.0,vertebrate fauna,11/24/2007,,
6364,Muskox Cave,32.11666666666667,-104.5,32.11666666666667,32.11666666666667,-104.5,-104.5,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,1.0,35000.0,Radiocarbon years BP,,1600.0,vertebrate fauna,1/30/2008,,
10533,Samwel Cave,40.9171,-122.2318,40.9171,40.9171,-122.2318,-122.2318,Mammals,Euceratherium collinum,1.0,present/absent,bone/tooth,,,17100.0,23600.0,Calibrated radiocarbon years BP,,460.0,vertebrate fauna,7/8/2015,,
