siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3532,Lindenmeier [5LR13],40.866666666666674,-105.0,40.866666666666674,40.866666666666674,-105.0,-105.0,Mammals,Lepus townsendii,35.0,NISP,bone/tooth,,,8400.0,11200.0,Radiocarbon years BP,,2011.0,vertebrate fauna,11/24/2007,,
3532,Lindenmeier [5LR13],40.866666666666674,-105.0,40.866666666666674,40.866666666666674,-105.0,-105.0,Mammals,Lepus townsendii,35.0,NISP,bone/tooth,,,8400.0,11200.0,Radiocarbon years BP,,2011.0,vertebrate fauna,11/24/2007,,
3567,Wilson Butte Cave [10Je6],42.766666666666666,-114.21666666666664,42.766666666666666,42.766666666666666,-114.21666666666664,-114.21666666666664,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,200.0,940.0,Radiocarbon years BP,,1290.0,vertebrate fauna,11/24/2007,,
3567,Wilson Butte Cave [10Je6],42.766666666666666,-114.21666666666664,42.766666666666666,42.766666666666666,-114.21666666666664,-114.21666666666664,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,940.0,6840.0,Radiocarbon years BP,,1290.0,vertebrate fauna,11/24/2007,,
3567,Wilson Butte Cave [10Je6],42.766666666666666,-114.21666666666664,42.766666666666666,42.766666666666666,-114.21666666666664,-114.21666666666664,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,6840.0,7950.0,Radiocarbon years BP,,1290.0,vertebrate fauna,11/24/2007,,
3567,Wilson Butte Cave [10Je6],42.766666666666666,-114.21666666666664,42.766666666666666,42.766666666666666,-114.21666666666664,-114.21666666666664,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,2940.0,6840.0,Radiocarbon years BP,,1290.0,vertebrate fauna,11/24/2007,,
3567,Wilson Butte Cave [10Je6],42.766666666666666,-114.21666666666664,42.766666666666666,42.766666666666666,-114.21666666666664,-114.21666666666664,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,15000.0,35000.0,Radiocarbon years BP,,1290.0,vertebrate fauna,11/24/2007,,
3585,Middle Butte Cave,43.36666666666667,-112.61666666666667,43.36666666666667,43.36666666666667,-112.61666666666667,-112.61666666666667,Mammals,Lepus townsendii,12.0,MNI,bone/tooth,,,1.0,5175.0,Radiocarbon years BP,,1590.0,vertebrate fauna,11/24/2007,,
3586,Crystal Ball Cave,39.0,-113.0,39.0,39.0,-113.0,-113.0,Mammals,Lepus townsendii,10.0,MNI,bone/tooth,,,10000.0,23000.0,Radiocarbon years BP,,1790.0,vertebrate fauna,11/24/2007,,
3645,Snake Creek Burial Cave,38.866666666666674,-114.11666666666666,38.866666666666674,38.866666666666674,-114.11666666666666,-114.11666666666666,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,1731.0,vertebrate fauna,11/24/2007,,
3649,Harder [FbNs-1],52.21027777777777,-107.05027777777778,52.21027777777777,52.21027777777777,-107.05027777777778,-107.05027777777778,Mammals,Lepus townsendii,1.0,present/absent,bone/tooth,,,3360.0,3425.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3702,Glenrock Buffalo Jump [48CO304],42.75,-105.86666666666666,42.75,42.75,-105.86666666666666,-105.86666666666666,Mammals,Lepus townsendii,11.0,NISP,bone/tooth,,,210.0,280.0,Radiocarbon years BP,,1589.0,vertebrate fauna,11/24/2007,,
