siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
4610,Leikem [Naco 2] [UALP6752],31.366666666666664,-109.86666666666666,31.366666666666664,31.366666666666664,-109.86666666666666,-109.86666666666666,Mammals,Mammuthus jeffersonii,1.0,MNI,bone/tooth,,,10800.0,12000.0,Radiocarbon years BP,,1382.0,vertebrate fauna,11/24/2007,,
4610,Leikem [Naco 2] [UALP6752],31.366666666666664,-109.86666666666666,31.366666666666664,31.366666666666664,-109.86666666666666,-109.86666666666666,Mammals,Mammuthus jeffersonii,1.0,MNI,bone/tooth,,,10800.0,12000.0,Radiocarbon years BP,,1382.0,vertebrate fauna,11/24/2007,,
5555,Bailer Site,43.676388888888894,-84.34583333333336,43.676388888888894,43.676388888888894,-84.34583333333336,-84.34583333333336,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,24000.0,24000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5575,Mead Site,42.5,-84.25,42.5,42.5,-84.25,-84.25,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5578,Prillwitz Site,41.80833333333333,-86.48333333333335,41.80833333333333,41.80833333333333,-86.48333333333335,-86.48333333333335,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5581,Watervliet Site,42.11666666666667,-86.25,42.11666666666667,42.11666666666667,-86.25,-86.25,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5582,Lennon [Flint] Site,42.96666666666666,-83.96666666666667,42.96666666666666,42.96666666666666,-83.96666666666667,-83.96666666666667,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,11400.0,11400.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5583,Sweeney Site,43.61666666666666,-83.0,43.61666666666666,43.61666666666666,-83.0,-83.0,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,9600.0,9600.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5584,Henry Site,44.25,-83.5,44.25,44.25,-83.5,-83.5,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5585,Betz Site,42.36666666666667,-84.36666666666666,42.36666666666667,42.36666666666667,-84.36666666666666,-84.36666666666666,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5586,Seneca Township Site,41.75,-84.11666666666666,41.75,41.75,-84.11666666666666,-84.11666666666666,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5587,American Aggregates Gravel Pit,42.5,-83.61666666666667,42.5,42.5,-83.61666666666667,-83.61666666666667,Mammals,Mammuthus jeffersonii,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
1361,Jones Spring,38.066667,-93.35,38.066667,38.066667,-93.35,-93.35,Mammals,Mammuthus jeffersonii,5.0,NISP,bone/tooth,,,51000.0,160000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
