siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
4078,Brayton,41.61666666666666,-94.86666666666666,41.61666666666666,41.61666666666666,-94.86666666666666,-94.86666666666666,Mammals,Mammuthus primigenius,1.0,MNI,bone/tooth,,,12420.0,12420.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5663,Saltville,36.866666666666674,-81.76666666666665,36.866666666666674,36.866666666666674,-81.76666666666665,-81.76666666666665,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,13500.0,27000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5713,Glacial Lake Mogodore Mammuthus,41.866666666666674,-85.75,41.866666666666674,41.866666666666674,-85.75,-85.75,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5803,Hiscock Site,43.0,-78.0,43.0,43.0,-78.0,-78.0,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,10890.0,11470.0,Radiocarbon years BP,,189.0,vertebrate fauna,11/24/2007,,
6154,Bell Farm [P1354],40.132777777777775,-88.32527777777776,40.132777777777775,40.132777777777775,-88.32527777777776,-88.32527777777776,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
6155,Painter Creek [13978],40.31388888888889,-90.95861111111108,40.31388888888889,40.31388888888889,-90.95861111111108,-90.95861111111108,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
6156,Cairo,37.00305555555556,-89.1863888888889,37.00305555555556,37.00305555555556,-89.1863888888889,-89.1863888888889,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
6157,Golconda,37.352777777777774,-88.48416666666668,37.352777777777774,37.352777777777774,-88.48416666666668,-88.48416666666668,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
6160,Russman's Farm [Rochelle],41.98944444444446,-89.01472222222225,41.98944444444446,41.98944444444446,-89.01472222222225,-89.01472222222225,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
6161,Stannard Mammoth,41.75,-88.61666666666667,41.75,41.75,-88.61666666666667,-88.61666666666667,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
6162,Dixon Mammoth,41.75,-89.5,41.75,41.75,-89.5,-89.5,Mammals,Mammuthus primigenius,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
