siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3536,Blackwater Draw Loc. 1,34.28333333333334,-103.31666666666666,34.28333333333334,34.28333333333334,-103.31666666666666,-103.31666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11040.0,11630.0,Radiocarbon years BP,,1280.0,vertebrate fauna,11/24/2007,,
3536,Blackwater Draw Loc. 1,34.28333333333334,-103.31666666666666,34.28333333333334,34.28333333333334,-103.31666666666666,-103.31666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,13000.0,25000.0,Radiocarbon years BP,,1280.0,vertebrate fauna,11/24/2007,,
3546,Peccary Cave,35.866666666666674,-93.0,35.866666666666674,35.866666666666674,-93.0,-93.0,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10000.0,20000.0,Radiocarbon years BP,,252.0,vertebrate fauna,11/24/2007,,
3554,Natural Trap Cave,44.866666666666674,-108.11666666666666,44.866666666666674,44.866666666666674,-108.11666666666666,-108.11666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,12777.0,15500.0,Radiocarbon years BP,,1510.0,vertebrate fauna,11/24/2007,,
3569,Samwell Cave,40.916911,-122.23787,40.916911,40.916911,-122.23787,-122.23787,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,465.0,vertebrate fauna,11/24/2007,,
3588,Smith Springs [CR-110],42.5,-101.0,42.5,42.5,-101.0,-101.0,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,730.0,vertebrate fauna,11/24/2007,,
3652,Bonfire Shelter [41VV218],29.816666666666663,-101.55,29.816666666666663,29.816666666666663,-101.55,-101.55,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10230.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3662,Locality 31538,31.866666666666667,-95.86666666666666,31.866666666666667,31.866666666666667,-95.86666666666666,-95.86666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3695,Avenue,30.25,-97.75,30.25,30.25,-97.75,-97.75,Mammals,Mammuthus sp.,1.0,MNI,bone/tooth,,,12170.0,17220.0,Radiocarbon years BP,,138.0,vertebrate fauna,11/24/2007,,
3699,Sheaman [48NO211],43.36666666666667,-104.06666666666668,43.36666666666667,43.36666666666667,-104.06666666666668,-104.06666666666668,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10030.0,10690.0,Radiocarbon years BP,,1181.0,vertebrate fauna,11/24/2007,,
3705,Agate Basin [48NO201],43.36666666666667,-104.06666666666668,43.36666666666667,43.36666666666667,-104.06666666666668,-104.06666666666668,Mammals,Mammuthus sp.,1.0,MNI,bone/tooth,,,10780.0,11840.0,Radiocarbon years BP,,1189.0,vertebrate fauna,11/24/2007,,
3707,Hell Gap Loess Mammuthus Locality,42.36666666666667,-104.61666666666667,42.36666666666667,42.36666666666667,-104.61666666666667,-104.61666666666667,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10900.0,11300.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3719,Bentzen Kaufman Cave [48SH301],44.61666666666666,-106.58333333333331,44.61666666666666,44.61666666666666,-106.58333333333331,-106.58333333333331,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,6970.0,11000.0,Radiocarbon years BP,,1350.0,vertebrate fauna,11/24/2007,,
3725,Worland Gravel Pit,44.0,-107.86666666666666,44.0,44.0,-107.86666666666666,-107.86666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3753,Fort Laramie Mammuthus Locality,42.0,-104.86666666666666,42.0,42.0,-104.86666666666666,-104.86666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
3766,Rawhide Butte,42.61666666666666,-104.48333333333336,42.61666666666666,42.61666666666666,-104.48333333333336,-104.48333333333336,Mammals,Mammuthus sp.,1.0,MNI,bone/tooth,,,10550.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3775,Sunlight Basin Mammoth,44.61666666666666,-109.5,44.61666666666666,44.61666666666666,-109.5,-109.5,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3776,Sheridan Elks Club Cemetery,44.75,-106.86666666666666,44.75,44.75,-106.86666666666666,-106.86666666666666,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,35000.0,110000.0,Calendar years BP,,1164.0,vertebrate fauna,11/24/2007,,
3793,Bosler Gravel Pit,41.25,-105.5,41.25,41.25,-105.5,-105.5,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
3803,Burnham Site [34WO073],36.75,-99.0,36.75,36.75,-99.0,-99.0,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11580.0,26820.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3807,Domebo,34.866666666666674,-98.25,34.866666666666674,34.866666666666674,-98.25,-98.25,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11200.0,11220.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3836,Swisher Mammoth,35.61666666666666,-97.61666666666667,35.61666666666666,35.61666666666666,-97.61666666666667,-97.61666666666667,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
3838,Holmes Mammoth,35.61666666666666,-97.61666666666667,35.61666666666666,35.61666666666666,-97.61666666666667,-97.61666666666667,Mammals,Mammuthus sp.,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
3839,Allison-Menifee Mammoth,35.61666666666666,-97.61666666666667,35.61666666666666,35.61666666666666,-97.61666666666667,-97.61666666666667,Mammals,Mammuthus sp.,1.0,MNI,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
