siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3551,Bell Cave [48AB304],41.75,-105.36666666666666,41.75,41.75,-105.36666666666666,-105.36666666666666,Mammals,Myotis lucifugus,1.0,present/absent,bone/tooth,,,10000.0,13500.0,Radiocarbon years BP,,2340.0,vertebrate fauna,11/24/2007,,
3561,Clark's Cave,38.0861111111111,-79.65694444444445,38.0861111111111,38.0861111111111,-79.65694444444445,-79.65694444444445,Mammals,Myotis lucifugus,1.0,present/absent,bone/tooth,,,11000.0,20000.0,Radiocarbon years BP,,448.0,vertebrate fauna,11/24/2007,,
4211,Fowlkes Cave,31.0,-104.11666666666666,31.0,31.0,-104.11666666666666,-104.11666666666666,Mammals,Myotis lucifugus,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4341,Hosterman's Pit,40.89277777777778,-77.43944444444446,40.89277777777778,40.89277777777778,-77.43944444444446,-77.43944444444446,Mammals,Myotis lucifugus,1.0,NISP,bone/tooth,,,9240.0,9240.0,Radiocarbon years BP,,372.0,vertebrate fauna,11/24/2007,,
4341,Hosterman's Pit,40.89277777777778,-77.43944444444446,40.89277777777778,40.89277777777778,-77.43944444444446,-77.43944444444446,Mammals,Myotis lucifugus,1.0,NISP,bone/tooth,,,9240.0,9240.0,Radiocarbon years BP,,372.0,vertebrate fauna,11/24/2007,,
4694,Dry Cave,32.37361111111111,-104.48194444444442,32.37361111111111,32.37361111111111,-104.48194444444442,-104.48194444444442,Mammals,Myotis lucifugus,1.0,present/absent,bone/tooth,,,10730.0,14470.0,Radiocarbon years BP,,1280.0,vertebrate fauna,11/24/2007,,
4703,U-Bar Cave [LA5689],31.4745,-108.4337,31.4745,31.4745,-108.4337,-108.4337,Mammals,Myotis lucifugus,1.0,present/absent,bone/tooth,,,25000.0,40000.0,Radiocarbon years BP,,1570.0,vertebrate fauna,11/24/2007,,
5370,Burnt Bluff Cave [B-95],45.68333333333333,-86.73333333333333,45.68333333333333,45.68333333333333,-86.73333333333333,-86.73333333333333,Mammals,Myotis lucifugus,8.0,NISP,bone/tooth,,,1555.0,1555.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5370,Burnt Bluff Cave [B-95],45.68333333333333,-86.73333333333333,45.68333333333333,45.68333333333333,-86.73333333333333,-86.73333333333333,Mammals,Myotis lucifugus,8.0,NISP,bone/tooth,,,1555.0,1555.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5508,Blackwell Cave [23HI172],37.96722222222222,-93.31805555555553,37.96722222222222,37.96722222222222,-93.31805555555553,-93.31805555555553,Mammals,Myotis lucifugus,1.0,NISP,bone/tooth,,,4950.0,10000.0,Radiocarbon years BP,,240.0,vertebrate fauna,11/24/2007,,
5508,Blackwell Cave [23HI172],37.96722222222222,-93.31805555555553,37.96722222222222,37.96722222222222,-93.31805555555553,-93.31805555555553,Mammals,Myotis lucifugus,1.0,NISP,bone/tooth,,,4950.0,10000.0,Radiocarbon years BP,,240.0,vertebrate fauna,11/24/2007,,
5508,Blackwell Cave [23HI172],37.96722222222222,-93.31805555555553,37.96722222222222,37.96722222222222,-93.31805555555553,-93.31805555555553,Mammals,Myotis lucifugus,2.0,NISP,bone/tooth,,,3950.0,4950.0,Radiocarbon years BP,,240.0,vertebrate fauna,11/24/2007,,
