siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3564,Ladd's Quarry,34.15,-84.83333333333333,34.15,34.15,-84.83333333333333,-84.83333333333333,Mammals,Neofiber alleni,1.0,present/absent,bone/tooth,,,10190.0,11150.0,Radiocarbon years BP,,330.0,vertebrate fauna,11/24/2007,,
5092,Devil's Den,29.366666666666664,-82.36666666666666,29.366666666666664,29.366666666666664,-82.36666666666666,-82.36666666666666,Mammals,Neofiber alleni,1.0,present/absent,bone/tooth,,,10000.0,15000.0,Radiocarbon years BP,,24.0,vertebrate fauna,11/24/2007,,
5131,Yellow Bluffs-Whitaker Mound [8SO4],27.25,-82.5,27.25,27.25,-82.5,-82.5,Mammals,Neofiber alleni,1.0,present/absent,bone/tooth,,,250.0,750.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5134,Santa Fe IA,29.75,-82.61666666666667,29.75,29.75,-82.61666666666667,-82.61666666666667,Mammals,Neofiber alleni,1.0,present/absent,bone/tooth,,,10000.0,20000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5140,Alligator Ford [8CI199],28.75,-82.11666666666666,28.75,28.75,-82.11666666666666,-82.11666666666666,Mammals,Neofiber alleni,1.0,present/absent,bone/tooth,,,250.0,1000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5143,Fort Center Earthworks,26.866666666666667,-81.11666666666666,26.866666666666667,26.866666666666667,-81.11666666666666,-81.11666666666666,Mammals,Neofiber alleni,14.0,MNI,bone/tooth,,,750.0,3000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5143,Fort Center Earthworks,26.866666666666667,-81.11666666666666,26.866666666666667,26.866666666666667,-81.11666666666666,-81.11666666666666,Mammals,Neofiber alleni,73.0,MNI,bone/tooth,,,750.0,3000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5143,Fort Center Earthworks,26.866666666666667,-81.11666666666666,26.866666666666667,26.866666666666667,-81.11666666666666,-81.11666666666666,Mammals,Neofiber alleni,1.0,MNI,bone/tooth,,,750.0,3000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5143,Fort Center Earthworks,26.866666666666667,-81.11666666666666,26.866666666666667,26.866666666666667,-81.11666666666666,-81.11666666666666,Mammals,Neofiber alleni,4.0,MNI,bone/tooth,,,750.0,1800.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
5143,Fort Center Earthworks,26.866666666666667,-81.11666666666666,26.866666666666667,26.866666666666667,-81.11666666666666,-81.11666666666666,Mammals,Neofiber alleni,31.0,MNI,bone/tooth,,,750.0,3000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
