siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3568,"Potter Creek Cave [5357,1055]",40.78388888888889,-122.28083333333332,40.78388888888889,40.78388888888889,-122.28083333333332,-122.28083333333332,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,454.0,vertebrate fauna,11/24/2007,,
3569,Samwell Cave,40.916911,-122.23787,40.916911,40.916911,-122.23787,-122.23787,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,11500.0,110000.0,Calendar years BP,,465.0,vertebrate fauna,11/24/2007,,
3670,Williams Cave,31.866666666666667,-104.75,31.866666666666667,31.866666666666667,-104.75,-104.75,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,1.0,35000.0,Radiocarbon years BP,,1495.0,vertebrate fauna,11/24/2007,,
3676,Dust Cave [C-09],31.866666666666667,-104.75,31.866666666666667,31.866666666666667,-104.75,-104.75,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,13000.0,13000.0,Radiocarbon years BP,,2000.0,vertebrate fauna,11/24/2007,,
3677,Lower Sloth Cave,31.866666666666667,-104.86666666666666,31.866666666666667,31.866666666666667,-104.86666666666666,-104.86666666666666,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,1.0,11590.0,Radiocarbon years BP,,2000.0,vertebrate fauna,11/24/2007,,
3803,Burnham Site [34WO073],36.75,-99.0,36.75,36.75,-99.0,-99.0,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,11580.0,26820.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3910,Quinlan Local Fauna,36.36666666666667,-99.0,36.36666666666667,36.36666666666667,-99.0,-99.0,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,120000.0,1500000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
4572,Tule Springs,36.31666666666666,-115.18972222222222,36.31666666666666,36.31666666666666,-115.18972222222222,-115.18972222222222,Mammals,Nothrotheriops shastensis,1.0,NISP,bone/tooth,,,40000.0,110000.0,Radiocarbon years BP,,700.0,vertebrate fauna,11/24/2007,,
4589,Muav Caves,36.0,-113.86666666666666,36.0,36.0,-113.86666666666666,-113.86666666666666,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,11000.0,11500.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4599,Cowboy Cave [45WN420],38.31777777777777,-110.20222222222225,38.31777777777777,38.31777777777777,-110.20222222222225,-110.20222222222225,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,10840.0,13480.0,Radiocarbon years BP,,1770.0,vertebrate fauna,11/24/2007,,
4606,Rampart Cave,36.1,-113.93333333333334,36.1,36.1,-113.93333333333334,-113.93333333333334,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,10000.0,11000.0,Radiocarbon years BP,,535.0,vertebrate fauna,11/24/2007,,
4606,Rampart Cave,36.1,-113.93333333333334,36.1,36.1,-113.93333333333334,-113.93333333333334,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,11000.0,12000.0,Radiocarbon years BP,,535.0,vertebrate fauna,11/24/2007,,
4606,Rampart Cave,36.1,-113.93333333333334,36.1,36.1,-113.93333333333334,-113.93333333333334,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,12000.0,13000.0,Radiocarbon years BP,,535.0,vertebrate fauna,11/24/2007,,
4606,Rampart Cave,36.1,-113.93333333333334,36.1,36.1,-113.93333333333334,-113.93333333333334,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,13000.0,14000.0,Radiocarbon years BP,,535.0,vertebrate fauna,11/24/2007,,
4606,Rampart Cave,36.1,-113.93333333333334,36.1,36.1,-113.93333333333334,-113.93333333333334,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,31500.0,33500.0,Radiocarbon years BP,,535.0,vertebrate fauna,11/24/2007,,
4606,Rampart Cave,36.1,-113.93333333333334,36.1,36.1,-113.93333333333334,-113.93333333333334,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,35000.0,110000.0,Radiocarbon years BP,,535.0,vertebrate fauna,11/24/2007,,
4675,Ventana Cave [AZ Z:12:5],32.333333333333336,-112.23333333333332,32.333333333333336,32.333333333333336,-112.23333333333332,-112.23333333333332,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,7500.0,12600.0,Radiocarbon years BP,,750.0,vertebrate fauna,11/24/2007,,
4675,Ventana Cave [AZ Z:12:5],32.333333333333336,-112.23333333333332,32.333333333333336,32.333333333333336,-112.23333333333332,-112.23333333333332,Mammals,Nothrotheriops shastensis,1.0,MNI,bone/tooth,,,7500.0,12600.0,Radiocarbon years BP,,750.0,vertebrate fauna,11/24/2007,,
4684,Deadman Cave,32.36666666666667,-110.75,32.36666666666667,32.36666666666667,-110.75,-110.75,Mammals,Nothrotheriops shastensis,1.0,NISP,bone/tooth,,,8000.0,12000.0,Radiocarbon years BP,,1400.0,vertebrate fauna,11/24/2007,,
4690,Gypsum Cave,36.2,-114.86666666666666,36.2,36.2,-114.86666666666666,-114.86666666666666,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,10000.0,35000.0,Radiocarbon years BP,,610.0,vertebrate fauna,11/24/2007,,
4690,Gypsum Cave,36.2,-114.86666666666666,36.2,36.2,-114.86666666666666,-114.86666666666666,Mammals,Nothrotheriops shastensis,1.0,present/absent,bone/tooth,,,11000.0,12000.0,Radiocarbon years BP,,610.0,vertebrate fauna,11/24/2007,,
