siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
5487,Lake Tetonka (Stauffer Elephant 88],44.11666666666667,-93.5,44.11666666666667,44.11666666666667,-93.5,-93.5,Mammals,Proboscidea sp.,1.0,NISP,pelvis,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5950,Brainerd (Stauffer Elephant 1),46.25,-94.11666666666666,46.25,46.25,-94.11666666666666,-94.11666666666666,Mammals,Proboscidea sp.,1.0,NISP,bone,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5951,Kenyon (Stauffer Elephant 2),44.25,-92.86666666666666,44.25,44.25,-92.86666666666666,-92.86666666666666,Mammals,Proboscidea sp.,1.0,present/absent,vertebra,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5952,Minneapolis (Stauffer Elephant 3),44.866666666666674,-93.25,44.866666666666674,44.866666666666674,-93.25,-93.25,Mammals,Proboscidea sp.,1.0,NISP,tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5953,Minnesota City (Stauffer Elephant 4),44.11666666666667,-91.75,44.11666666666667,44.11666666666667,-91.75,-91.75,Mammals,Proboscidea sp.,1.0,NISP,tusk,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5954,Breitlow Sand and Gravel (Stauffer Elephant 8 and 53),44.0,-91.61666666666667,44.0,44.0,-91.61666666666667,-91.61666666666667,Mammals,Proboscidea sp.,1.0,NISP,femur,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5955,Wabasha (Stauffer Elephant 7),44.36666666666667,-92.0,44.36666666666667,44.36666666666667,-92.0,-92.0,Mammals,Proboscidea sp.,1.0,NISP,tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5956,Stillwater (Stauffer Elephant 6),45.0,-92.75,45.0,45.0,-92.75,-92.75,Mammals,Proboscidea sp.,1.0,NISP,tusk,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5957,Red Wing (Stauffer Elephant 5),44.5,-92.5,44.5,44.5,-92.5,-92.5,Mammals,Proboscidea sp.,1.0,NISP,pelvis,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5965,Stillwater (Stauffer Elephant 17),45.0,-92.75,45.0,45.0,-92.75,-92.75,Mammals,Proboscidea sp.,1.0,present/absent,tusk,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5971,Stockton (Stauffer Elephant 25),44.0,-91.75,44.0,44.0,-91.75,-91.75,Mammals,Proboscidea sp.,1.0,present/absent,tooth,,,10000.0,20000.0,Radiocarbon years BP,,,vertebrate fauna,12/16/2007,,
5971,Stockton (Stauffer Elephant 25),44.0,-91.75,44.0,44.0,-91.75,-91.75,Mammals,Proboscidea sp.,1.0,present/absent,tooth,,,10000.0,20000.0,Radiocarbon years BP,,,vertebrate fauna,12/16/2007,,
5973,Worthington (Stauffer Elephant 27),43.61666666666666,-95.5,43.61666666666666,43.61666666666666,-95.5,-95.5,Mammals,Proboscidea sp.,1.0,NISP,tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5976,Fairhaven (Stauffer Elephant 30),45.36666666666667,-94.11666666666666,45.36666666666667,45.36666666666667,-94.11666666666666,-94.11666666666666,Mammals,Proboscidea sp.,1.0,NISP,tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5976,Fairhaven (Stauffer Elephant 30),45.36666666666667,-94.11666666666666,45.36666666666667,45.36666666666667,-94.11666666666666,-94.11666666666666,Mammals,Proboscidea sp.,1.0,NISP,tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5977,Owatonna (Stauffer Elephant 31),44.0,-93.11666666666666,44.0,44.0,-93.11666666666666,-93.11666666666666,Mammals,Proboscidea sp.,1.0,NISP,vertebra,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5979,"Huntington Point, Lake Minnetonka (Stauffer Elephant 33)",44.866666666666674,-93.5,44.866666666666674,44.866666666666674,-93.5,-93.5,Mammals,Proboscidea sp.,8.0,NISP,vertebra,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5979,"Huntington Point, Lake Minnetonka (Stauffer Elephant 33)",44.866666666666674,-93.5,44.866666666666674,44.866666666666674,-93.5,-93.5,Mammals,Proboscidea sp.,8.0,NISP,vertebra,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5979,"Huntington Point, Lake Minnetonka (Stauffer Elephant 33)",44.866666666666674,-93.5,44.866666666666674,44.866666666666674,-93.5,-93.5,Mammals,Proboscidea sp.,8.0,NISP,vertebra,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
5980,Farmington (Stauffer Elephant 34),44.61666666666666,-93.11666666666666,44.61666666666666,44.61666666666666,-93.11666666666666,-93.11666666666666,Mammals,Proboscidea sp.,1.0,NISP,tusk,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,12/16/2007,,
