siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
3555,Cahokia,38.66277777777778,-90.08805555555556,38.66277777777778,38.66277777777778,-90.08805555555556,-90.08805555555556,Mammals,Spermophilus franklinii,1.0,present/absent,bone/tooth,,,400.0,800.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3557,Phipps [13CK21],42.80555555555554,-95.55833333333331,42.80555555555554,42.80555555555554,-95.55833333333331,-95.55833333333331,Mammals,Spermophilus franklinii,37.0,MNI,bone/tooth,,,800.0,1140.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3557,Phipps [13CK21],42.80555555555554,-95.55833333333331,42.80555555555554,42.80555555555554,-95.55833333333331,-95.55833333333331,Mammals,Spermophilus franklinii,35.0,MNI,bone/tooth,,,600.0,800.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3566,Brynjulfson Cave #1,38.85194444444445,-92.28055555555555,38.85194444444445,38.85194444444445,-92.28055555555555,-92.28055555555555,Mammals,Spermophilus franklinii,2.0,MNI,bone/tooth,,,9440.0,34600.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3566,Brynjulfson Cave #1,38.85194444444445,-92.28055555555555,38.85194444444445,38.85194444444445,-92.28055555555555,-92.28055555555555,Mammals,Spermophilus franklinii,2.0,MNI,bone/tooth,,,9440.0,34600.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3665,Clear Creek Local Fauna [Trietsch Pit],33.25,-97.0,33.25,33.25,-97.0,-97.0,Mammals,Spermophilus franklinii,1.0,present/absent,bone/tooth,,,25000.0,35000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3666,Ben Franklin,33.36666666666667,-95.75,33.36666666666667,33.36666666666667,-95.75,-95.75,Mammals,Spermophilus franklinii,1.0,present/absent,bone/tooth,,,9550.0,11135.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3881,Solomon River 14ML15,39.36666666666667,-98.11666666666666,39.36666666666667,39.36666666666667,-98.11666666666666,-98.11666666666666,Mammals,Spermophilus franklinii,3.0,MNI,bone/tooth,,,860.0,860.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3885,Jones,37.11666666666667,-100.36666666666666,37.11666666666667,37.11666666666667,-100.36666666666666,-100.36666666666666,Mammals,Spermophilus franklinii,1.0,MNI,bone/tooth,,,26700.0,29000.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3887,Coffey [14PO1],39.73333333333333,-96.56666666666668,39.73333333333333,39.73333333333333,-96.56666666666668,-96.56666666666668,Mammals,Spermophilus franklinii,1.0,NISP,bone/tooth,,,5255.0,5850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3887,Coffey [14PO1],39.73333333333333,-96.56666666666668,39.73333333333333,39.73333333333333,-96.56666666666668,-96.56666666666668,Mammals,Spermophilus franklinii,1.0,NISP,bone/tooth,,,5255.0,5850.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3936,Oakwood Lakes [39BK7],44.36666666666667,-96.86666666666666,44.36666666666667,44.36666666666667,-96.86666666666666,-96.86666666666666,Mammals,Spermophilus franklinii,1.0,MNI,bone/tooth,,,1220.0,2230.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3953,Walth Bay [39WW203],45.4125,-100.275,45.4125,45.4125,-100.275,-100.275,Mammals,Spermophilus franklinii,1.0,present/absent,bone/tooth,,,,,,,,vertebrate fauna,11/24/2007,,
3956,Schmidt [25HW301],41.25,-98.5,41.25,41.25,-98.5,-98.5,Mammals,Spermophilus franklinii,1.0,MNI,bone/tooth,,,795.0,830.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
3963,Smith Falls Local Fauna,42.75,-100.11666666666666,42.75,42.75,-100.11666666666666,-100.11666666666666,Mammals,Spermophilus franklinii,2.0,MNI,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
3964,Litchfield Local Fauna [SM-102],41.11666666666667,-99.11666666666666,41.11666666666667,41.11666666666667,-99.11666666666666,-99.11666666666666,Mammals,Spermophilus franklinii,2.0,MNI,bone/tooth,,,11500.0,110000.0,Calendar years BP,,,vertebrate fauna,11/24/2007,,
3976,Schuyler [25CX1],41.36666666666667,-97.0,41.36666666666667,41.36666666666667,-97.0,-97.0,Mammals,Spermophilus franklinii,2.0,MNI,bone/tooth,,,300.0,450.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4026,State School [13ML155],41.0,-95.75,41.0,41.0,-95.75,-95.75,Mammals,Spermophilus franklinii,2.0,MNI,bone/tooth,,,690.0,705.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4027,Institution-2 [13ML135],41.0136111111111,-95.73027777777779,41.0136111111111,41.0136111111111,-95.73027777777779,-95.73027777777779,Mammals,Spermophilus franklinii,1.0,MNI,bone/tooth,,,860.0,975.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4029,Institution-1 [13ML132],41.030833333333334,-95.73027777777779,41.030833333333334,41.030833333333334,-95.73027777777779,-95.73027777777779,Mammals,Spermophilus franklinii,1.0,MNI,bone/tooth,,,860.0,860.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
4031,Johnson-3 [13ML130],41.034444444444446,-95.75333333333336,41.034444444444446,41.034444444444446,-95.75333333333336,-95.75333333333336,Mammals,Spermophilus franklinii,3.0,MNI,bone/tooth,,,712.0,945.0,Radiocarbon years BP,,,vertebrate fauna,11/24/2007,,
