siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,16.0,NISP,pollen,,30.0,,,Radiocarbon years BP,527.0,200.0,pollen,6/30/2007,351.0,4.5584045584
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,9.0,NISP,pollen,,3209.0,,,Radiocarbon years BP,565.0,200.0,pollen,6/30/2007,417.0,2.15827338129
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,27.0,NISP,pollen,,4883.0,,,Radiocarbon years BP,585.0,200.0,pollen,6/30/2007,321.0,8.41121495327
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,2.0,NISP,pollen,,6098.0,,,Radiocarbon years BP,605.0,200.0,pollen,6/30/2007,341.0,0.58651026393
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,48.0,NISP,pollen,,6855.0,,,Radiocarbon years BP,625.0,200.0,pollen,6/30/2007,352.0,13.6363636364
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,15.0,NISP,pollen,,7613.0,,,Radiocarbon years BP,645.0,200.0,pollen,6/30/2007,408.0,3.67647058824
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,36.0,NISP,pollen,,8559.0,,,Radiocarbon years BP,670.0,200.0,pollen,6/30/2007,127.0,28.3464566929
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,59.0,NISP,pollen,,9127.0,,,Radiocarbon years BP,685.0,200.0,pollen,6/30/2007,241.0,24.4813278008
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,36.0,NISP,pollen,,9885.0,,,Radiocarbon years BP,705.0,200.0,pollen,6/30/2007,198.0,18.1818181818
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,14.0,NISP,pollen,,10780.0,,,Radiocarbon years BP,725.0,200.0,pollen,6/30/2007,221.0,6.33484162896
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,15.0,NISP,pollen,,11675.0,,,Radiocarbon years BP,745.0,200.0,pollen,6/30/2007,248.0,6.04838709677
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,4.0,NISP,pollen,,12659.0,,,Radiocarbon years BP,767.0,200.0,pollen,6/30/2007,249.0,1.60642570281
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,4.0,NISP,pollen,,19027.0,,,Radiocarbon years BP,853.0,200.0,pollen,6/30/2007,145.0,2.75862068966
25,Alexis Lake,52.516667,-57.033333,52.516667,52.516667,-57.033333,-57.033333,Vascular plants,Alnus viridis-type,3.0,NISP,pollen,,25594.0,,,Radiocarbon years BP,919.0,200.0,pollen,6/30/2007,218.0,1.37614678899
