SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Alexis Lake,52.516667,-57.033333,,,6098,Radiocarbon years BP,BETULA,33,9.677419355,605,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,6855,Radiocarbon years BP,BETULA,124,35.22727273,625,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,7613,Radiocarbon years BP,BETULA,55,13.48039216,645,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,10780,Radiocarbon years BP,BETULA,150,67.87330317,725,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,11675,Radiocarbon years BP,BETULA,141,56.85483871,745,ALEXISLK
Alexis Lake,52.516667,-57.033333,,,14450,Radiocarbon years BP,BETULA,26,24.76190476,807,ALEXISLK
Lac Ã  l'Ange,47.481667,-70.684722,,,0,Radiocarbon years BP,BETULA,322,53.93634841,0,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,466,Radiocarbon years BP,BETULA,317,50.31746032,50,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,953,Radiocarbon years BP,BETULA,327,52.07006369,99,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,1814,Radiocarbon years BP,BETULA,317,49.30015552,150,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,6001,Radiocarbon years BP,BETULA,346,59.65517241,375,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,9450,Radiocarbon years BP,BETULA,195,37.86407767,492,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,9482,Radiocarbon years BP,BETULA,236,32.91492329,493,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,9544,Radiocarbon years BP,BETULA,169,35.88110403,495,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,9790,Radiocarbon years BP,BETULA,181,35.77075099,497,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,10250,Radiocarbon years BP,BETULA,192,43.34085779,500,ANGE
Lac Ã  l'Ange,47.481667,-70.684722,,,10557,Radiocarbon years BP,BETULA,230,46.74796748,502,ANGE
