siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
68,Amguema River Valley Exposure 1,67.75,178.7,67.75,67.75,178.7,178.7,Vascular plants,Betula divaricata,39.0,NISP,pollen,,2086.0,,,Radiocarbon years BP,80.0,175.0,pollen,6/30/2007,461.0,8.45986984816
69,Amguema River Valley Exposure 2,67.666667,178.6,67.666667,67.666667,178.6,178.6,Vascular plants,Betula divaricata,2.0,NISP,pollen,,2162.0,,,Radiocarbon years BP,200.0,87.0,pollen,6/30/2007,292.0,0.684931506849
69,Amguema River Valley Exposure 2,67.666667,178.6,67.666667,67.666667,178.6,178.6,Vascular plants,Betula divaricata,3.0,NISP,pollen,,2810.0,,,Radiocarbon years BP,600.0,87.0,pollen,6/30/2007,122.0,2.45901639344
70,Amguema River Valley Exposure 3,67.3,178.8,67.3,67.3,178.8,178.8,Vascular plants,Betula divaricata,39.0,NISP,pollen,,,,,Radiocarbon years BP,20.0,83.0,pollen,6/30/2007,274.0,14.2335766423
70,Amguema River Valley Exposure 3,67.3,178.8,67.3,67.3,178.8,178.8,Vascular plants,Betula divaricata,1.0,NISP,pollen,,,,,Radiocarbon years BP,100.0,83.0,pollen,6/30/2007,227.0,0.440528634361
70,Amguema River Valley Exposure 3,67.3,178.8,67.3,67.3,178.8,178.8,Vascular plants,Betula divaricata,14.0,NISP,pollen,,3530.0,,,Radiocarbon years BP,300.0,83.0,pollen,6/30/2007,177.0,7.90960451977
220,Badaran-Yuryakhskoye Exposure,68.85,139.4,68.85,68.85,139.4,139.4,Vascular plants,Betula divaricata,25.0,NISP,pollen,,,,,Radiocarbon years BP,70.0,520.0,pollen,6/30/2007,317.0,7.88643533123
220,Badaran-Yuryakhskoye Exposure,68.85,139.4,68.85,68.85,139.4,139.4,Vascular plants,Betula divaricata,35.0,NISP,pollen,,,,,Radiocarbon years BP,100.0,520.0,pollen,6/30/2007,376.0,9.3085106383
220,Badaran-Yuryakhskoye Exposure,68.85,139.4,68.85,68.85,139.4,139.4,Vascular plants,Betula divaricata,12.0,NISP,pollen,,,,,Radiocarbon years BP,140.0,520.0,pollen,6/30/2007,186.0,6.45161290323
220,Badaran-Yuryakhskoye Exposure,68.85,139.4,68.85,68.85,139.4,139.4,Vascular plants,Betula divaricata,20.0,NISP,pollen,,8170.0,,,Radiocarbon years BP,150.0,520.0,pollen,6/30/2007,421.0,4.75059382423
220,Badaran-Yuryakhskoye Exposure,68.85,139.4,68.85,68.85,139.4,139.4,Vascular plants,Betula divaricata,4.0,NISP,pollen,,,,,Radiocarbon years BP,160.0,520.0,pollen,6/30/2007,37.0,10.8108108108
