siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
10,Site 1 (Cohen unpublished),30.83,-82.33,30.83,30.83,-82.33,-82.33,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,,,,,0.0,37.0,pollen surface sample,6/30/2007,,
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,8597.0,,,Radiocarbon years BP,124.0,303.0,pollen,6/30/2007,717.0,0.139470013947
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Brasenia schreberi,2.0,NISP,pollen,,9832.0,,,Radiocarbon years BP,132.0,303.0,pollen,6/30/2007,643.0,0.311041990669
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Brasenia schreberi,3.0,NISP,pollen,,13685.0,,,Radiocarbon years BP,248.0,303.0,pollen,6/30/2007,372.0,0.806451612903
205,Andrus Lake,46.7,-85.040278,46.7,46.7,-85.040278,-85.040278,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,-33.0,,,Radiocarbon years BP,0.25,190.0,pollen,6/30/2007,248.0,0.403225806452
205,Andrus Lake,46.7,-85.040278,46.7,46.7,-85.040278,-85.040278,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,84.0,,,Radiocarbon years BP,25.25,190.0,pollen,6/30/2007,243.0,0.411522633745
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,-16.0,,,Radiocarbon years BP,455.0,34.0,pollen,6/30/2007,414.0,0.24154589372
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,0.0,,,Radiocarbon years BP,459.0,34.0,pollen,6/30/2007,391.0,0.255754475703
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,2.0,NISP,pollen,,16.0,,,Radiocarbon years BP,463.0,34.0,pollen,6/30/2007,517.0,0.386847195358
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,2.0,NISP,pollen,,32.0,,,Radiocarbon years BP,467.0,34.0,pollen,6/30/2007,643.0,0.311041990669
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,42.0,,,Radiocarbon years BP,469.5,34.0,pollen,6/30/2007,429.0,0.2331002331
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,4.0,NISP,pollen,,62.0,,,Radiocarbon years BP,474.5,34.0,pollen,6/30/2007,374.0,1.06951871658
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,72.0,,,Radiocarbon years BP,477.0,34.0,pollen,6/30/2007,348.0,0.287356321839
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Brasenia schreberi,1.0,NISP,pollen,,82.0,,,Radiocarbon years BP,479.5,34.0,pollen,6/30/2007,407.0,0.2457002457
