siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.773611,-80.506389,25.773611,25.773611,-80.506389,-80.506389,Vascular plants,Bursera simaruba,6.0,NISP,pollen,,-43.0,,,Radiocarbon years BP,0.5,5.0,pollen,6/30/2007,56.0,10.7142857143
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.773611,-80.506389,25.773611,25.773611,-80.506389,-80.506389,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,-2.0,,,Radiocarbon years BP,4.5,5.0,pollen,6/30/2007,89.0,1.12359550562
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.773611,-80.506389,25.773611,25.773611,-80.506389,-80.506389,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,63.0,,,Radiocarbon years BP,14.5,5.0,pollen,6/30/2007,142.0,1.40845070423
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.773611,-80.506389,25.773611,25.773611,-80.506389,-80.506389,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,80.0,,,Radiocarbon years BP,21.0,5.0,pollen,6/30/2007,70.0,2.85714285714
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.773611,-80.506389,25.773611,25.773611,-80.506389,-80.506389,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,91.0,,,Radiocarbon years BP,25.0,5.0,pollen,6/30/2007,199.0,1.00502512563
965,"Water Conservation Area 3B, Gumbo Limbo Wet Head",25.773611,-80.506389,25.773611,25.773611,-80.506389,-80.506389,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,96.0,,,Radiocarbon years BP,27.0,5.0,pollen,6/30/2007,217.0,0.921658986175
1619,Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7),26.481111,-80.415556,26.481111,26.481111,-80.415556,-80.415556,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,-39.0,,,Radiocarbon years BP,0.5,5.0,pollen,6/30/2007,301.0,0.332225913621
1619,Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7),26.481111,-80.415556,26.481111,26.481111,-80.415556,-80.415556,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,294.0,,,Radiocarbon years BP,23.0,5.0,pollen,6/30/2007,150.0,0.666666666667
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,6.0,NISP,pollen,,-29.0,,,Radiocarbon years BP,5.0,5.0,pollen,6/30/2007,182.0,3.2967032967
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,-23.0,,,Radiocarbon years BP,7.0,5.0,pollen,6/30/2007,142.0,0.704225352113
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,-10.0,,,Radiocarbon years BP,11.0,5.0,pollen,6/30/2007,150.0,0.666666666667
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,50.0,,,Radiocarbon years BP,19.0,5.0,pollen,6/30/2007,199.0,1.00502512563
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,92.0,,,Radiocarbon years BP,21.0,5.0,pollen,6/30/2007,82.0,2.43902439024
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,258.0,,,Radiocarbon years BP,29.0,5.0,pollen,6/30/2007,117.0,0.854700854701
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,396.0,,,Radiocarbon years BP,37.0,5.0,pollen,6/30/2007,319.0,0.313479623824
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,493.0,,,Radiocarbon years BP,43.0,5.0,pollen,6/30/2007,330.0,0.606060606061
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,525.0,,,Radiocarbon years BP,45.0,5.0,pollen,6/30/2007,394.0,0.253807106599
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,557.0,,,Radiocarbon years BP,47.0,5.0,pollen,6/30/2007,358.0,0.279329608939
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,589.0,,,Radiocarbon years BP,49.0,5.0,pollen,6/30/2007,377.0,0.53050397878
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,686.0,,,Radiocarbon years BP,55.0,5.0,pollen,6/30/2007,97.0,1.03092783505
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,859.0,,,Radiocarbon years BP,61.0,5.0,pollen,6/30/2007,251.0,0.796812749004
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,968.0,,,Radiocarbon years BP,63.0,5.0,pollen,6/30/2007,519.0,0.19267822736
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,1295.0,,,Radiocarbon years BP,69.0,5.0,pollen,6/30/2007,328.0,0.609756097561
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,3.0,NISP,pollen,,1623.0,,,Radiocarbon years BP,75.0,5.0,pollen,6/30/2007,834.0,0.359712230216
1718,Mud Creek Site 1,25.219722,-80.604722,25.219722,25.219722,-80.604722,-80.604722,Vascular plants,Bursera simaruba,4.0,NISP,pollen,,1732.0,,,Radiocarbon years BP,77.0,5.0,pollen,6/30/2007,392.0,1.02040816327
2540,Taylor Creek Site 2,25.205556,-80.643889,25.205556,25.205556,-80.643889,-80.643889,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,0.0,,,Radiocarbon years BP,7.5,5.0,pollen,6/30/2007,136.0,0.735294117647
2540,Taylor Creek Site 2,25.205556,-80.643889,25.205556,25.205556,-80.643889,-80.643889,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,10.0,,,Radiocarbon years BP,9.5,5.0,pollen,6/30/2007,173.0,0.578034682081
2540,Taylor Creek Site 2,25.205556,-80.643889,25.205556,25.205556,-80.643889,-80.643889,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,488.0,,,Radiocarbon years BP,32.0,5.0,pollen,6/30/2007,231.0,0.4329004329
2542,Taylor Slough Site 15,25.201944,-80.687222,25.201944,25.201944,-80.687222,-80.687222,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,603.0,,,Radiocarbon years BP,71.0,5.0,pollen,6/30/2007,156.0,0.641025641026
2543,Taylor Slough Site 7,25.287222,-80.646389,25.287222,25.287222,-80.646389,-80.646389,Vascular plants,Bursera simaruba,2.0,NISP,pollen,,1152.0,,,Radiocarbon years BP,25.0,5.0,pollen,6/30/2007,186.0,1.0752688172
2543,Taylor Slough Site 7,25.287222,-80.646389,25.287222,25.287222,-80.646389,-80.646389,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,2364.0,,,Radiocarbon years BP,49.0,5.0,pollen,6/30/2007,239.0,0.418410041841
2846,"Water Conservation Area 2A, Site 2 (Site F1)",26.359722,-80.370556,26.359722,26.359722,-80.370556,-80.370556,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,474.0,,,Radiocarbon years BP,25.0,5.0,pollen,6/30/2007,182.0,0.549450549451
2848,"Water Conservation Area 3A, Site 4 (CA315 (AAS))",25.974,-80.6688,25.974,25.974,-80.6688,-80.6688,Vascular plants,Bursera simaruba,1.0,NISP,pollen,,2273.0,,,Radiocarbon years BP,61.0,5.0,pollen,6/30/2007,307.0,0.325732899023
2540,Taylor Creek Site 2,25.205556,-80.643889,25.205556,25.205556,-80.643889,-80.643889,Vascular plants,Bursera simaruba,3.0,NISP,pollen,,-26.0,,,Radiocarbon years BP,3.0,5.0,pollen,6/30/2007,152.0,1.97368421053
