SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Found Lake,45.55,-78.64,,,0.0,Varve years BP,CARYA,1.0,0.2638522427440633,1.0,FOUNDLK
Found Lake,45.55,-78.64,,,57.0,Varve years BP,CARYA,1.0,0.1692047377326565,10.0,FOUNDLK
Found Lake,45.55,-78.64,,,879.0,Varve years BP,CARYA,1.0,0.23752969121140144,85.0,FOUNDLK
Found Lake,45.55,-78.64,,,1020.0,Varve years BP,CARYA,2.0,0.4454342984409799,95.0,FOUNDLK
Found Lake,45.55,-78.64,,,1356.0,Varve years BP,CARYA,1.0,0.24630541871921183,115.0,FOUNDLK
Found Lake,45.55,-78.64,,,2044.0,Varve years BP,CARYA,2.0,0.42105263157894735,145.0,FOUNDLK
Found Lake,45.55,-78.64,,,2238.0,Varve years BP,CARYA,2.0,0.408997955010225,155.0,FOUNDLK
Found Lake,45.55,-78.64,,,2635.0,Varve years BP,CARYA,1.0,0.19342359767891684,175.0,FOUNDLK
Found Lake,45.55,-78.64,,,3249.0,Varve years BP,CARYA,1.0,0.12903225806451613,205.0,FOUNDLK
Found Lake,45.55,-78.64,,,3383.0,Varve years BP,CARYA,1.0,0.21691973969631237,215.0,FOUNDLK
Found Lake,45.55,-78.64,,,4352.0,Varve years BP,CARYA,1.0,0.21231422505307856,255.0,FOUNDLK
Found Lake,45.55,-78.64,,,4835.0,Varve years BP,CARYA,1.0,0.23094688221709006,275.0,FOUNDLK
Found Lake,45.55,-78.64,,,5045.0,Varve years BP,CARYA,2.0,0.5194805194805194,285.0,FOUNDLK
Found Lake,45.55,-78.64,,,5193.0,Varve years BP,CARYA,2.0,0.5698005698005698,295.0,FOUNDLK
Found Lake,45.55,-78.64,,,5352.0,Varve years BP,CARYA,1.0,0.21097046413502107,305.0,FOUNDLK
Found Lake,45.55,-78.64,,,5472.0,Varve years BP,CARYA,1.0,0.24752475247524752,310.0,FOUNDLK
Found Lake,45.55,-78.64,,,6256.0,Varve years BP,CARYA,1.0,0.2777777777777778,355.0,FOUNDLK
Found Lake,45.55,-78.64,,,6727.0,Varve years BP,CARYA,1.0,0.2544529262086514,385.0,FOUNDLK
Found Lake,45.55,-78.64,,,7021.0,Varve years BP,CARYA,1.0,0.23696682464454977,395.0,FOUNDLK
Found Lake,45.55,-78.64,,,8390.0,Varve years BP,CARYA,1.0,0.2061855670103093,425.0,FOUNDLK
Found Lake,45.55,-78.64,,,8823.0,Varve years BP,CARYA,1.0,0.25252525252525254,435.0,FOUNDLK
Found Lake,45.55,-78.64,,,9000.0,Varve years BP,CARYA,4.0,1.3157894736842104,440.0,FOUNDLK
Found Lake,45.55,-78.64,,,9134.0,Varve years BP,CARYA,3.0,1.079136690647482,445.0,FOUNDLK
Found Lake,45.55,-78.64,,,9550.0,Varve years BP,CARYA,2.0,0.5361930294906166,455.0,FOUNDLK
Jones Lake,49.450244999999995,-99.28914499999999,,,7831.0,Calibrated radiocarbon years BP,CARYA,2.0,0.27100271002710025,1372.5,JONES
Jones Lake,49.450244999999995,-99.28914499999999,,,8492.0,Calibrated radiocarbon years BP,CARYA,3.0,0.4163775156141568,1415.5,JONES
Jones Lake,49.450244999999995,-99.28914499999999,,,8492.0,Calibrated radiocarbon years BP,CARYA,3.0,0.4163775156141568,1415.5,JONES
