SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Axe Lake,45.38,-79.51,,,8140,Radiocarbon years BP,CUPRESSA,2,0.980392157,580,AXELAKE
Axe Lake,45.38,-79.51,,,8642,Radiocarbon years BP,CUPRESSA,2,0.975609756,620,AXELAKE
Axe Lake,45.38,-79.51,,,8893,Radiocarbon years BP,CUPRESSA,1,0.469483568,640,AXELAKE
Beach Lake,65.216667,-127.05,,,5,Radiocarbon years BP,CUPRESSA,1,0.242130751,1,BEACH
Beach Lake,65.216667,-127.05,,,120,Radiocarbon years BP,CUPRESSA,1,0.299401198,5,BEACH
Beach Lake,65.216667,-127.05,,,263,Radiocarbon years BP,CUPRESSA,2,0.586510264,10,BEACH
Beach Lake,65.216667,-127.05,,,407,Radiocarbon years BP,CUPRESSA,3,0.903614458,15,BEACH
Beach Lake,65.216667,-127.05,,,1126,Radiocarbon years BP,CUPRESSA,2,0.483091787,40,BEACH
Beach Lake,65.216667,-127.05,,,1557,Radiocarbon years BP,CUPRESSA,5,1.46627566,55,BEACH
Beach Lake,65.216667,-127.05,,,1700,Radiocarbon years BP,CUPRESSA,2,0.536193029,60,BEACH
Beach Lake,65.216667,-127.05,,,1844,Radiocarbon years BP,CUPRESSA,1,0.310559006,65,BEACH
Beach Lake,65.216667,-127.05,,,1988,Radiocarbon years BP,CUPRESSA,1,0.317460317,70,BEACH
Beach Lake,65.216667,-127.05,,,2563,Radiocarbon years BP,CUPRESSA,3,0.852272727,90,BEACH
Beach Lake,65.216667,-127.05,,,2706,Radiocarbon years BP,CUPRESSA,1,0.304878049,95,BEACH
Beach Lake,65.216667,-127.05,,,2850,Radiocarbon years BP,CUPRESSA,1,0.309597523,100,BEACH
Beach Lake,65.216667,-127.05,,,2994,Radiocarbon years BP,CUPRESSA,3,0.887573964,105,BEACH
Bell's Lake,65.016667,-127.483333,,,7707,Radiocarbon years BP,CUPRESSA,1,0.225988701,370,BELLS
Crawford Lake,43.5,-79.83,,,49,Varve years BP,CUPRESSA,17,2.496328928,70,CRAWFORD
Crawford Lake,43.5,-79.83,,,1185,Varve years BP,CUPRESSA,28,6.746987952,1206,CRAWFORD
Crawford Lake,43.5,-79.83,,,49,Varve years BP,CUPRESSA,17,2.496328928,70,CRAWFORD
Creditview Wetland,43.6,-79.6,,,10400,Radiocarbon years BP,CUPRESSA,1,0.328947368,100,CREDIT
Creditview Wetland,43.6,-79.6,,,13562,Radiocarbon years BP,CUPRESSA,2,0.666666667,240,CREDIT
Cummins Pond,48.4075,-89.346667,,,5362,Radiocarbon years BP,CUPRESSA,1,0.333333333,175,CUMMINSA
Cummins Pond,48.4075,-89.346667,,,6461,Radiocarbon years BP,CUPRESSA,1,0.332225914,240,CUMMINSA
Cummins Pond,48.4075,-89.346667,,,7645,Radiocarbon years BP,CUPRESSA,1,0.333333333,310,CUMMINSA
East Sooke Fen,48.351944,-123.681667,,,149,Radiocarbon years BP,CUPRESSA,4,1.162790698,5,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,535,Radiocarbon years BP,CUPRESSA,9,2.866242038,15,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,921,Radiocarbon years BP,CUPRESSA,12,3.141361257,25,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,1307,Radiocarbon years BP,CUPRESSA,12,3.785488959,35,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,1693,Radiocarbon years BP,CUPRESSA,6,1.916932907,45,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,2079,Radiocarbon years BP,CUPRESSA,8,2.469135802,55,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,2465,Radiocarbon years BP,CUPRESSA,61,18.31831832,65,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,2851,Radiocarbon years BP,CUPRESSA,23,7.232704403,75,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,3237,Radiocarbon years BP,CUPRESSA,50,15.57632399,85,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,3623,Radiocarbon years BP,CUPRESSA,22,6.686930091,95,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,4009,Radiocarbon years BP,CUPRESSA,45,13.00578035,105,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,4395,Radiocarbon years BP,CUPRESSA,22,6.470588235,115,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,4781,Radiocarbon years BP,CUPRESSA,32,10.38961039,125,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5167,Radiocarbon years BP,CUPRESSA,38,11.83800623,135,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5417,Radiocarbon years BP,CUPRESSA,22,6.748466258,145,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5531,Radiocarbon years BP,CUPRESSA,19,5.571847507,155,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5646,Radiocarbon years BP,CUPRESSA,11,3.793103448,165,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5760,Radiocarbon years BP,CUPRESSA,27,8.653846154,175,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5874,Radiocarbon years BP,CUPRESSA,22,6.727828746,185,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,5989,Radiocarbon years BP,CUPRESSA,17,4.985337243,195,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6103,Radiocarbon years BP,CUPRESSA,32,10.15873016,205,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6217,Radiocarbon years BP,CUPRESSA,11,3.116147309,215,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6331,Radiocarbon years BP,CUPRESSA,26,8.524590164,225,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6446,Radiocarbon years BP,CUPRESSA,7,2.114803625,235,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6560,Radiocarbon years BP,CUPRESSA,10,3.164556962,245,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6674,Radiocarbon years BP,CUPRESSA,3,0.872093023,255,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6789,Radiocarbon years BP,CUPRESSA,13,4.234527687,265,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,6909,Radiocarbon years BP,CUPRESSA,2,0.586510264,275,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7030,Radiocarbon years BP,CUPRESSA,12,3.614457831,285,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7152,Radiocarbon years BP,CUPRESSA,6,1.875,295,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7273,Radiocarbon years BP,CUPRESSA,2,0.613496933,305,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7394,Radiocarbon years BP,CUPRESSA,11,3.216374269,315,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7516,Radiocarbon years BP,CUPRESSA,3,0.911854103,325,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7637,Radiocarbon years BP,CUPRESSA,3,0.840336134,335,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,7879,Radiocarbon years BP,CUPRESSA,8,2.395209581,355,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8001,Radiocarbon years BP,CUPRESSA,4,1.31147541,365,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8122,Radiocarbon years BP,CUPRESSA,4,1.26984127,375,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8243,Radiocarbon years BP,CUPRESSA,3,0.911854103,385,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8365,Radiocarbon years BP,CUPRESSA,9,2.866242038,395,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8486,Radiocarbon years BP,CUPRESSA,11,3.780068729,405,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8607,Radiocarbon years BP,CUPRESSA,10,2.88184438,415,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8728,Radiocarbon years BP,CUPRESSA,4,1.183431953,425,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8850,Radiocarbon years BP,CUPRESSA,10,3.058103976,435,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,8971,Radiocarbon years BP,CUPRESSA,9,2.654867257,445,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9092,Radiocarbon years BP,CUPRESSA,11,3.405572755,455,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9214,Radiocarbon years BP,CUPRESSA,2,0.625,465,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9335,Radiocarbon years BP,CUPRESSA,15,4.531722054,475,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9456,Radiocarbon years BP,CUPRESSA,1,0.331125828,485,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9577,Radiocarbon years BP,CUPRESSA,6,1.801801802,495,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9699,Radiocarbon years BP,CUPRESSA,3,0.940438871,505,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9820,Radiocarbon years BP,CUPRESSA,7,2.287581699,515,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9857,Radiocarbon years BP,CUPRESSA,1,0.328947368,525,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9894,Radiocarbon years BP,CUPRESSA,16,5.047318612,535,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9931,Radiocarbon years BP,CUPRESSA,5,1.228501229,545,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,9968,Radiocarbon years BP,CUPRESSA,8,2.339181287,555,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,10005,Radiocarbon years BP,CUPRESSA,5,1.436781609,565,ESOOKE
East Sooke Fen,48.351944,-123.681667,,,10042,Radiocarbon years BP,CUPRESSA,6,1.764705882,575,ESOOKE
