siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,2.0,NISP,pollen,,2500.0,,,Radiocarbon years BP,200.0,5.0,pollen,6/30/2007,372.0,0.537634408602
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,2.0,NISP,pollen,,2574.0,,,Radiocarbon years BP,220.0,5.0,pollen,6/30/2007,458.0,0.436681222707
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,2798.0,,,Radiocarbon years BP,280.0,5.0,pollen,6/30/2007,350.0,0.285714285714
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,4.0,NISP,pollen,,2947.0,,,Radiocarbon years BP,320.0,5.0,pollen,6/30/2007,419.0,0.954653937947
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,3.0,NISP,pollen,,3021.0,,,Radiocarbon years BP,340.0,5.0,pollen,6/30/2007,272.0,1.10294117647
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,4456.0,,,Radiocarbon years BP,400.0,5.0,pollen,6/30/2007,170.0,0.588235294118
33,Amba River Exposure 596,43.316667,131.816667,43.316667,43.316667,131.816667,131.816667,Vascular plants,Carpinus cordata,4.0,NISP,pollen,,4971.0,,,Radiocarbon years BP,420.0,5.0,pollen,6/30/2007,253.0,1.58102766798
228,Lower Barabaschevka River Exposure 594,43.133333,131.6,43.133333,43.133333,131.6,131.6,Vascular plants,Carpinus cordata,3.0,NISP,pollen,,,,,Radiocarbon years BP,220.0,5.0,pollen,6/30/2007,502.0,0.597609561753
228,Lower Barabaschevka River Exposure 594,43.133333,131.6,43.133333,43.133333,131.6,131.6,Vascular plants,Carpinus cordata,4.0,NISP,pollen,,,,,Radiocarbon years BP,240.0,5.0,pollen,6/30/2007,355.0,1.12676056338
228,Lower Barabaschevka River Exposure 594,43.133333,131.6,43.133333,43.133333,131.6,131.6,Vascular plants,Carpinus cordata,8.0,NISP,pollen,,5850.0,,,Radiocarbon years BP,310.0,5.0,pollen,6/30/2007,326.0,2.45398773006
228,Lower Barabaschevka River Exposure 594,43.133333,131.6,43.133333,43.133333,131.6,131.6,Vascular plants,Carpinus cordata,20.0,NISP,pollen,,,,,Radiocarbon years BP,330.0,5.0,pollen,6/30/2007,391.0,5.11508951407
228,Lower Barabaschevka River Exposure 594,43.133333,131.6,43.133333,43.133333,131.6,131.6,Vascular plants,Carpinus cordata,13.0,NISP,pollen,,7360.0,,,Radiocarbon years BP,350.0,5.0,pollen,6/30/2007,349.0,3.72492836676
228,Lower Barabaschevka River Exposure 594,43.133333,131.6,43.133333,43.133333,131.6,131.6,Vascular plants,Carpinus cordata,30.0,NISP,pollen,,,,,Radiocarbon years BP,400.0,5.0,pollen,6/30/2007,363.0,8.26446280992
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,3.0,NISP,pollen,,2721.0,,,Radiocarbon years BP,60.0,4.0,pollen,6/30/2007,310.0,0.967741935484
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,3.0,NISP,pollen,,5531.0,,,Radiocarbon years BP,160.0,4.0,pollen,6/30/2007,337.0,0.890207715134
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,5654.0,,,Radiocarbon years BP,180.0,4.0,pollen,6/30/2007,340.0,0.294117647059
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,2.0,NISP,pollen,,5747.0,,,Radiocarbon years BP,195.0,4.0,pollen,6/30/2007,311.0,0.64308681672
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,2.0,NISP,pollen,,5778.0,,,Radiocarbon years BP,200.0,4.0,pollen,6/30/2007,317.0,0.630914826498
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,2.0,NISP,pollen,,5808.0,,,Radiocarbon years BP,205.0,4.0,pollen,6/30/2007,333.0,0.600600600601
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,5839.0,,,Radiocarbon years BP,210.0,4.0,pollen,6/30/2007,314.0,0.31847133758
251,Belaya Skala Exposure,43.25,134.566667,43.25,43.25,134.566667,134.566667,Vascular plants,Carpinus cordata,3.0,NISP,pollen,,5870.0,,,Radiocarbon years BP,215.0,4.0,pollen,6/30/2007,273.0,1.0989010989
1678,Mel'gunovka River Core 3-JU,44.35,132.266667,44.35,44.35,132.266667,132.266667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,,,,,1020.0,72.0,pollen,6/30/2007,704.0,0.142045454545
1678,Mel'gunovka River Core 3-JU,44.35,132.266667,44.35,44.35,132.266667,132.266667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,,,,,1500.0,72.0,pollen,6/30/2007,451.0,0.221729490022
1678,Mel'gunovka River Core 3-JU,44.35,132.266667,44.35,44.35,132.266667,132.266667,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,,,,,1520.0,72.0,pollen,6/30/2007,413.0,0.242130750605
1777,Headwaters Opasnaya River,48.233333,138.483333,48.233333,48.233333,138.483333,138.483333,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,7512.0,,,Radiocarbon years BP,150.0,1320.0,pollen,6/30/2007,330.0,0.30303030303
1777,Headwaters Opasnaya River,48.233333,138.483333,48.233333,48.233333,138.483333,138.483333,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,10510.0,,,Radiocarbon years BP,350.0,1320.0,pollen,6/30/2007,357.0,0.280112044818
1791,Paramonovskii Stream Exposure 4980,43.2,133.75,43.2,43.2,133.75,133.75,Vascular plants,Carpinus cordata,4.0,NISP,pollen,,,,,,260.0,120.0,pollen,6/30/2007,418.0,0.956937799043
1904,Pos'yet Bay,42.633333,130.8,42.633333,42.633333,130.8,130.8,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,476.0,,,Radiocarbon years BP,25.0,-19.0,pollen,6/30/2007,452.0,0.221238938053
1904,Pos'yet Bay,42.633333,130.8,42.633333,42.633333,130.8,130.8,Vascular plants,Carpinus cordata,1.0,NISP,pollen,,1714.0,,,Radiocarbon years BP,90.0,-19.0,pollen,6/30/2007,407.0,0.2457002457
1904,Pos'yet Bay,42.633333,130.8,42.633333,42.633333,130.8,130.8,Vascular plants,Carpinus cordata,2.0,NISP,pollen,,1943.0,,,Radiocarbon years BP,102.0,-19.0,pollen,6/30/2007,343.0,0.583090379009
1904,Pos'yet Bay,42.633333,130.8,42.633333,42.633333,130.8,130.8,Vascular plants,Carpinus cordata,3.0,NISP,pollen,,2700.0,,,Radiocarbon years BP,115.0,-19.0,pollen,6/30/2007,403.0,0.744416873449
