siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,1,NISP,pollen,,63,,,Radiocarbon years BP,5,350,pollen,6/30/2007,558,0.17921147
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,1,NISP,pollen,,687,,,Radiocarbon years BP,50,350,pollen,6/30/2007,1209,0.082712986
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,6,NISP,pollen,,1702,,,Radiocarbon years BP,120,350,pollen,6/30/2007,1657,0.362100181
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,2,NISP,pollen,,1996,,,Radiocarbon years BP,140,350,pollen,6/30/2007,1200,0.166666667
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,4,NISP,pollen,,2292,,,Radiocarbon years BP,160,350,pollen,6/30/2007,679,0.58910162
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,4,NISP,pollen,,2441,,,Radiocarbon years BP,170,350,pollen,6/30/2007,774,0.516795866
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,6,NISP,pollen,,2739,,,Radiocarbon years BP,190,350,pollen,6/30/2007,622,0.964630225
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,2,NISP,pollen,,3038,,,Radiocarbon years BP,210,350,pollen,6/30/2007,724,0.276243094
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,14,NISP,pollen,,3338,,,Radiocarbon years BP,230,350,pollen,6/30/2007,1332,1.051051051
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,2,NISP,pollen,,3639,,,Radiocarbon years BP,250,350,pollen,6/30/2007,1184,0.168918919
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,1,NISP,pollen,,3941,,,Radiocarbon years BP,270,350,pollen,6/30/2007,791,0.12642225
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,1,NISP,pollen,,4244,,,Radiocarbon years BP,290,350,pollen,6/30/2007,2154,0.046425255
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,7,NISP,pollen,,9635,,,Radiocarbon years BP,640,350,pollen,6/30/2007,317,2.208201893
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Centaurea solstitialis,3,NISP,pollen,,10572,,,Radiocarbon years BP,700,350,pollen,6/30/2007,182,1.648351648
