siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,936.0,,,Radiocarbon years BP,10.0,1360.0,pollen,6/30/2007,418.0,0.239234449761
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,2529.0,,,Radiocarbon years BP,30.0,1360.0,pollen,6/30/2007,413.0,0.242130750605
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,2.0,NISP,pollen,,2718.0,,,Radiocarbon years BP,35.0,1360.0,pollen,6/30/2007,416.5,0.480192076831
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,3097.0,,,Radiocarbon years BP,45.0,1360.0,pollen,6/30/2007,411.0,0.243309002433
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,3381.0,,,Radiocarbon years BP,52.5,1360.0,pollen,6/30/2007,413.0,0.242130750605
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,3570.0,,,Radiocarbon years BP,57.5,1360.0,pollen,6/30/2007,439.0,0.227790432802
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,3665.0,,,Radiocarbon years BP,60.0,1360.0,pollen,6/30/2007,410.0,0.243902439024
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,4232.0,,,Radiocarbon years BP,75.0,1360.0,pollen,6/30/2007,416.0,0.240384615385
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,2.0,NISP,pollen,,4611.0,,,Radiocarbon years BP,85.0,1360.0,pollen,6/30/2007,409.5,0.4884004884
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,5013.0,,,Radiocarbon years BP,95.0,1360.0,pollen,6/30/2007,456.0,0.219298245614
206,Andy Lake,64.65,-128.083333,64.65,64.65,-128.083333,-128.083333,Vascular plants,Cornus canadensis,1.0,NISP,pollen,,5226.0,,,Radiocarbon years BP,100.0,1360.0,pollen,6/30/2007,484.0,0.206611570248
