siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cornus sericea,1,NISP,pollen,,11084,,,Radiocarbon years BP,512,20,pollen,6/30/2007,386,0.259067358
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cornus sericea,1,NISP,pollen,,11232,,,Radiocarbon years BP,522,20,pollen,6/30/2007,341,0.293255132
500,Cottonwood Lake,44.835435,-99.90806,44.84519,44.82568,-99.89006,-99.92606,Vascular plants,Cornus sericea,1,NISP,pollen,,10511,,,Radiocarbon years BP,916,549,pollen,6/30/2007,693,0.144300144
941,Gould Pond,44.983333,-69.316667,44.983333,44.983333,-69.316667,-69.316667,Vascular plants,Cornus sericea,1,NISP,pollen,,12504,,,Radiocarbon years BP,2040,89,pollen,6/30/2007,280,0.357142857
1643,Mansell Pond,45.041667,-68.733333,45.041667,45.041667,-68.733333,-68.733333,Vascular plants,Cornus sericea,2,NISP,pollen,,16,,,Radiocarbon years BP,675,58,pollen,6/30/2007,1143,0.174978128
1643,Mansell Pond,45.041667,-68.733333,45.041667,45.041667,-68.733333,-68.733333,Vascular plants,Cornus sericea,1,NISP,pollen,,32,,,Radiocarbon years BP,679,58,pollen,6/30/2007,1106.5,0.090375056
1643,Mansell Pond,45.041667,-68.733333,45.041667,45.041667,-68.733333,-68.733333,Vascular plants,Cornus sericea,1,NISP,pollen,,9048,,,Radiocarbon years BP,1106,58,pollen,6/30/2007,1154,0.086655113
1643,Mansell Pond,45.041667,-68.733333,45.041667,45.041667,-68.733333,-68.733333,Vascular plants,Cornus sericea,1,NISP,pollen,,9175,,,Radiocarbon years BP,1110,58,pollen,6/30/2007,1172,0.085324232
2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cornus sericea,1,NISP,pollen,,3821,,,Radiocarbon years BP,1090,292,pollen,6/30/2007,755,0.132450331
2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cornus sericea,2,NISP,pollen,,7856,,,Radiocarbon years BP,1510,292,pollen,6/30/2007,421,0.475059382
2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cornus sericea,1,NISP,pollen,,8208,,,Radiocarbon years BP,1530,292,pollen,6/30/2007,508,0.196850394
2933,Wolsfeld Lake,45.005,-93.5727,45.008,45.002,-93.5684,-93.577,Vascular plants,Cornus sericea,1,NISP,pollen,,9512,,,Radiocarbon years BP,1590,292,pollen,6/30/2007,523.5,0.191021968
1814,Pogonia Bog Pond,45.03503,-93.6305,45.03619,45.03387,-93.62724,-93.63376,Vascular plants,Cornus sericea,1,NISP,pollen,,,,,,0,292,pollen surface sample,6/30/2007,,
6477,Roberts Creek AB32,42.986111,-91.500278,42.986111,42.986111,-91.500278,-91.500278,Vascular plants,Cornus sericea,1,NISP,pollen,,380,,,Radiocarbon years BP,2,308,pollen,10/6/2011,1372,0.072886297
