siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Cyrilla racemiflora,1.0,NISP,pollen,,-16.0,,,Radiocarbon years BP,455.0,34.0,pollen,6/30/2007,414.0,0.24154589372
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Cyrilla racemiflora,1.0,NISP,pollen,,22.0,,,Radiocarbon years BP,464.5,34.0,pollen,6/30/2007,482.0,0.207468879668
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Cyrilla racemiflora,1.0,NISP,pollen,,1132.0,,,Radiocarbon years BP,558.0,34.0,pollen,6/30/2007,321.0,0.311526479751
229,Barchampe Lake,30.622222,-83.253889,30.622222,30.622222,-83.253889,-83.253889,Vascular plants,Cyrilla racemiflora,1.0,NISP,pollen,,1499.0,,,Radiocarbon years BP,578.0,34.0,pollen,6/30/2007,334.0,0.299401197605
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,5.0,NISP,pollen,,0.0,,,Radiocarbon years BP,441.0,20.0,pollen,6/30/2007,634.0,0.788643533123
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,2.0,NISP,pollen,,493.0,,,Radiocarbon years BP,443.0,20.0,pollen,6/30/2007,544.0,0.367647058824
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,6.0,NISP,pollen,,985.0,,,Radiocarbon years BP,445.0,20.0,pollen,6/30/2007,838.0,0.715990453461
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,10.0,NISP,pollen,,1478.0,,,Radiocarbon years BP,447.0,20.0,pollen,6/30/2007,501.0,1.99600798403
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,4.0,NISP,pollen,,1971.0,,,Radiocarbon years BP,449.0,20.0,pollen,6/30/2007,427.0,0.936768149883
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,13.0,NISP,pollen,,2463.0,,,Radiocarbon years BP,451.0,20.0,pollen,6/30/2007,633.0,2.05371248025
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,9.0,NISP,pollen,,2710.0,,,Radiocarbon years BP,452.0,20.0,pollen,6/30/2007,461.0,1.95227765727
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,6.0,NISP,pollen,,3203.0,,,Radiocarbon years BP,454.0,20.0,pollen,6/30/2007,403.0,1.4888337469
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,5.0,NISP,pollen,,3449.0,,,Radiocarbon years BP,455.0,20.0,pollen,6/30/2007,595.0,0.840336134454
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,7.0,NISP,pollen,,3695.0,,,Radiocarbon years BP,456.0,20.0,pollen,6/30/2007,527.0,1.32827324478
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,7.0,NISP,pollen,,4188.0,,,Radiocarbon years BP,458.0,20.0,pollen,6/30/2007,637.0,1.0989010989
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,3.0,NISP,pollen,,5173.0,,,Radiocarbon years BP,462.0,20.0,pollen,6/30/2007,533.0,0.562851782364
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,6.0,NISP,pollen,,5666.0,,,Radiocarbon years BP,464.0,20.0,pollen,6/30/2007,540.0,1.11111111111
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,3.0,NISP,pollen,,6159.0,,,Radiocarbon years BP,466.0,20.0,pollen,6/30/2007,691.0,0.434153400868
324,Camel Lake,30.266667,-85.016667,30.266667,30.266667,-85.016667,-85.016667,Vascular plants,Cyrilla racemiflora,2.0,NISP,pollen,,6651.0,,,Radiocarbon years BP,468.0,20.0,pollen,6/30/2007,605.0,0.330578512397
