siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Diphasiastrum alpinum,1.0,NISP,spore,,612.0,,,Radiocarbon years BP,56.5,1750.0,pollen,6/30/2007,175.0,0.571428571429
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,2.0,NISP,spore,,0.0,,,Radiocarbon years BP,0.0,480.0,pollen,6/30/2007,982.0,0.20366598778
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,5.0,NISP,spore,,341.0,,,Radiocarbon years BP,10.0,480.0,pollen,6/30/2007,1209.0,0.413564929694
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,14.0,NISP,spore,,681.0,,,Radiocarbon years BP,20.0,480.0,pollen,6/30/2007,1176.0,1.19047619048
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,9.0,NISP,spore,,1022.0,,,Radiocarbon years BP,30.0,480.0,pollen,6/30/2007,854.0,1.05386416862
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,11.0,NISP,spore,,1362.0,,,Radiocarbon years BP,40.0,480.0,pollen,6/30/2007,828.0,1.32850241546
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,5.0,NISP,spore,,1703.0,,,Radiocarbon years BP,50.0,480.0,pollen,6/30/2007,994.0,0.503018108652
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,5.0,NISP,spore,,2043.0,,,Radiocarbon years BP,60.0,480.0,pollen,6/30/2007,1174.0,0.425894378194
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,13.0,NISP,spore,,2384.0,,,Radiocarbon years BP,70.0,480.0,pollen,6/30/2007,1145.0,1.13537117904
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,16.0,NISP,spore,,2751.0,,,Radiocarbon years BP,80.0,480.0,pollen,6/30/2007,1186.0,1.34907251265
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum alpinum,8.0,NISP,spore,,3136.0,,,Radiocarbon years BP,90.0,480.0,pollen,6/30/2007,1433.0,0.558269364969
