siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
6,17/3,55.116667,-75.95,55.116667,55.116667,-75.95,-75.95,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,,,,,0.0,255.0,pollen surface sample,6/30/2007,,
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,6333.0,,,Radiocarbon years BP,340.0,130.0,pollen,6/30/2007,428.0,0.233644859813
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,8510.0,,,Radiocarbon years BP,870.0,130.0,pollen,6/30/2007,205.0,0.487804878049
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,8820.0,,,Radiocarbon years BP,920.0,130.0,pollen,6/30/2007,127.0,0.787401574803
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,0.0,,,Radiocarbon years BP,0.0,480.0,pollen,6/30/2007,982.0,0.10183299389
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,341.0,,,Radiocarbon years BP,10.0,480.0,pollen,6/30/2007,1209.0,0.0827129859388
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,2384.0,,,Radiocarbon years BP,70.0,480.0,pollen,6/30/2007,1145.0,0.0873362445415
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,3937.0,,,Radiocarbon years BP,110.0,480.0,pollen,6/30/2007,978.0,0.102249488753
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,2.0,NISP,spore,,4357.0,,,Radiocarbon years BP,120.0,480.0,pollen,6/30/2007,1559.0,0.128287363695
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,5654.0,,,Radiocarbon years BP,150.0,480.0,pollen,6/30/2007,789.0,0.126742712294
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,7812.0,,,Radiocarbon years BP,210.0,480.0,pollen,6/30/2007,1301.0,0.0768639508071
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,8240.0,,,Radiocarbon years BP,250.0,480.0,pollen,6/30/2007,1221.0,0.0819000819001
31,Alut Lake,60.136667,152.312778,60.136667,60.136667,152.312778,152.312778,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,9041.0,,,Radiocarbon years BP,300.0,480.0,pollen,6/30/2007,1204.0,0.0830564784053
68,Amguema River Valley Exposure 1,67.75,178.7,67.75,67.75,178.7,178.7,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,5475.0,,,Radiocarbon years BP,280.0,175.0,pollen,6/30/2007,491.0,0.20366598778
69,Amguema River Valley Exposure 2,67.666667,178.6,67.666667,67.666667,178.6,178.6,Vascular plants,Diphasiastrum complanatum,5.0,NISP,spore,,2648.0,,,Radiocarbon years BP,500.0,87.0,pollen,6/30/2007,259.0,1.9305019305
70,Amguema River Valley Exposure 3,67.3,178.8,67.3,67.3,178.8,178.8,Vascular plants,Diphasiastrum complanatum,1.0,NISP,spore,,,,,Radiocarbon years BP,200.0,83.0,pollen,6/30/2007,44.0,2.27272727273
