siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,6417.0,,,Radiocarbon years BP,69.0,490.0,pollen,6/30/2007,303.0,0.3300330033
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,8214.0,,,Radiocarbon years BP,95.0,490.0,pollen,6/30/2007,260.0,0.384615384615
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Dryopteris filix-mas,4.0,NISP,spore,,10632.0,,,Radiocarbon years BP,130.0,490.0,pollen,6/30/2007,200.0,2.0
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Dryopteris filix-mas,3.0,NISP,spore,,14432.0,,,Radiocarbon years BP,185.0,490.0,pollen,6/30/2007,193.0,1.55440414508
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,2532.0,,,Radiocarbon years BP,12.0,926.0,pollen,6/30/2007,968.0,0.103305785124
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,2632.0,,,Radiocarbon years BP,80.0,926.0,pollen,6/30/2007,1073.0,0.0931966449208
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,3.0,NISP,spore,,2669.0,,,Radiocarbon years BP,105.0,926.0,pollen,6/30/2007,1506.0,0.199203187251
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,2771.0,,,Radiocarbon years BP,175.0,926.0,pollen,6/30/2007,1055.0,0.0947867298578
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,2815.0,,,Radiocarbon years BP,205.0,926.0,pollen,6/30/2007,2053.0,0.0487092060399
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,3.0,NISP,spore,,2845.0,,,Radiocarbon years BP,225.0,926.0,pollen,6/30/2007,660.0,0.454545454545
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,2.0,NISP,spore,,2903.0,,,Radiocarbon years BP,265.0,926.0,pollen,6/30/2007,711.0,0.28129395218
2988,Altenweiher,48.013333,6.994444,48.013333,48.013333,6.994444,6.994444,Vascular plants,Dryopteris filix-mas,1.0,NISP,spore,,2962.0,,,Radiocarbon years BP,305.0,926.0,pollen,6/30/2007,935.0,0.106951871658
