siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
29,Lake Allie,44.8036,-94.5579,44.8138,44.7934,-94.5483,-94.5675,Vascular plants,Ephedra torreyana,1,NISP,pollen,,314,,,Radiocarbon years BP,100,328,pollen,6/30/2007,336,0.297619048
29,Lake Allie,44.8036,-94.5579,44.8138,44.7934,-94.5483,-94.5675,Vascular plants,Ephedra torreyana,1,NISP,pollen,,412,,,Radiocarbon years BP,130,328,pollen,6/30/2007,314,0.318471338
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,2,NISP,pollen,,0,,,Radiocarbon years BP,0,2362,pollen,6/30/2007,321,0.62305296
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,2,NISP,pollen,,1778,,,Radiocarbon years BP,180,2362,pollen,6/30/2007,358,0.558659218
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,1,NISP,pollen,,3492,,,Radiocarbon years BP,320,2362,pollen,6/30/2007,315,0.317460317
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,1,NISP,pollen,,5244,,,Radiocarbon years BP,440,2362,pollen,6/30/2007,354,0.282485876
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,1,NISP,pollen,,11165,,,Radiocarbon years BP,680,2362,pollen,6/30/2007,323,0.309597523
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,1,NISP,pollen,,13354,,,Radiocarbon years BP,890,2362,pollen,6/30/2007,476,0.210084034
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Ephedra torreyana,1,NISP,pollen,,13642,,,Radiocarbon years BP,910,2362,pollen,6/30/2007,369,0.27100271
327,Campbell Lake,44.70722,-93.497645,44.71047,44.70397,-93.49075,-93.50454,Vascular plants,Ephedra torreyana,1,NISP,pollen,,189,,,Radiocarbon years BP,80,281,pollen,6/30/2007,514,0.194552529
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,143,,,Radiocarbon years BP,12,2690,pollen,6/30/2007,365,0.273972603
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,338,,,Radiocarbon years BP,27,2690,pollen,6/30/2007,357,0.280112045
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,4,NISP,pollen,,403,,,Radiocarbon years BP,32,2690,pollen,6/30/2007,341,1.173020528
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,533,,,Radiocarbon years BP,42,2690,pollen,6/30/2007,385,0.25974026
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,598,,,Radiocarbon years BP,47,2690,pollen,6/30/2007,376,0.265957447
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,662,,,Radiocarbon years BP,52,2690,pollen,6/30/2007,355,0.281690141
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,727,,,Radiocarbon years BP,57,2690,pollen,6/30/2007,318,0.314465409
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,1052,,,Radiocarbon years BP,82,2690,pollen,6/30/2007,320,0.3125
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,2,NISP,pollen,,1247,,,Radiocarbon years BP,97,2690,pollen,6/30/2007,352,0.568181818
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,1494,,,Radiocarbon years BP,116,2690,pollen,6/30/2007,363,0.275482094
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,1559,,,Radiocarbon years BP,121,2690,pollen,6/30/2007,354,0.282485876
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,1663,,,Radiocarbon years BP,129,2690,pollen,6/30/2007,349,0.286532951
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,1702,,,Radiocarbon years BP,132,2690,pollen,6/30/2007,374,0.267379679
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,1,NISP,pollen,,1767,,,Radiocarbon years BP,137,2690,pollen,6/30/2007,250,0.4
339,Cascade Fen,37.483333,-107.8,37.483333,37.483333,-107.8,-107.8,Vascular plants,Ephedra torreyana,3,NISP,pollen,,2039,,,Radiocarbon years BP,158,2690,pollen,6/30/2007,378,0.793650794
