siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,19.0,,,Radiocarbon years BP,2.1,1080.0,pollen,6/30/2007,489.0,0.204498977505
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,37.0,,,Radiocarbon years BP,4.24,1080.0,pollen,6/30/2007,390.0,0.25641025641
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,213.0,,,Radiocarbon years BP,24.06,1080.0,pollen,6/30/2007,1169.0,0.0855431993157
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,226.0,,,Radiocarbon years BP,25.54,1080.0,pollen,6/30/2007,863.0,0.115874855156
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,245.0,,,Radiocarbon years BP,27.7,1080.0,pollen,6/30/2007,1110.0,0.0900900900901
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,334.0,,,Radiocarbon years BP,37.8,1080.0,pollen,6/30/2007,902.0,0.110864745011
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,1595.0,,,Radiocarbon years BP,50.85,1080.0,pollen,6/30/2007,1953.0,0.0512032770097
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,3.0,NISP,pollen,,2115.0,,,Radiocarbon years BP,58.93,1080.0,pollen,6/30/2007,1210.0,0.247933884298
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,2630.0,,,Radiocarbon years BP,69.85,1080.0,pollen,6/30/2007,742.0,0.134770889488
247,Bega Swamp,-36.516667,149.5,-36.516667,-36.516667,149.5,149.5,Vascular plants,Euphorbiaceae undiff.,1.0,NISP,pollen,,2656.0,,,Radiocarbon years BP,70.64,1080.0,pollen,6/30/2007,625.0,0.16
