SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Bear Bog,47.18,-80.16,,,4284,Radiocarbon years BP,FRAXINUX,1,0.4784689,240,BEARBOG
Brisay 2,54.355833,-70.357778,,,2193,Radiocarbon years BP,FRAXINUX,1,0.208333333,40,BRI2
Brisay 2,54.355833,-70.357778,,,3693,Radiocarbon years BP,FRAXINUX,1,0.14619883,80,BRI2
Brisay 2,54.355833,-70.357778,,,3881,Radiocarbon years BP,FRAXINUX,3,0.602409639,85,BRI2
Brisay 2,54.355833,-70.357778,,,4068,Radiocarbon years BP,FRAXINUX,1,0.215517241,90,BRI2
Brisay 2,54.355833,-70.357778,,,5771,Radiocarbon years BP,FRAXINUX,1,0.22172949,135,BRI2
Devon Island Glacier,75.35,-82.5,,,2146,Radiocarbon years BP,FRAXINUX,1,0.769230769,22400,DEVON4
Devon Island Glacier,75.35,-82.5,,,2718,Radiocarbon years BP,FRAXINUX,1,1.265822785,24500,DEVON4
Devon Island Glacier,75.35,-82.5,,,36562,Radiocarbon years BP,FRAXINUX,1,4.545454545,29550,DEVON4
Jones Lake [Glenboro site],49.448,-99.28965,,,35,Radiocarbon years BP,FRAXINUX,7,1.394422311,6,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,47,Radiocarbon years BP,FRAXINUX,3,0.653594771,8,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,58,Radiocarbon years BP,FRAXINUX,1,0.247524752,10,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,70,Radiocarbon years BP,FRAXINUX,3,0.597609562,12,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,6291,Radiocarbon years BP,FRAXINUX,4,0.790513834,654,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,6801,Radiocarbon years BP,FRAXINUX,6,1.145038168,694,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,7325,Radiocarbon years BP,FRAXINUX,3,0.581395349,735,GLENBORO
Graham Lake,45.183333,-77.35,,,453,Radiocarbon years BP,FRAXINUX,2,0.198216056,888,GRAHAM
Graham Lake,45.183333,-77.35,,,641,Radiocarbon years BP,FRAXINUX,3,0.29211295,896,GRAHAM
Graham Lake,45.183333,-77.35,,,832,Radiocarbon years BP,FRAXINUX,1,0.099502488,904,GRAHAM
Graham Lake,45.183333,-77.35,,,930,Radiocarbon years BP,FRAXINUX,6,0.607287449,908,GRAHAM
Graham Lake,45.183333,-77.35,,,1128,Radiocarbon years BP,FRAXINUX,2,0.2002002,916,GRAHAM
Graham Lake,45.183333,-77.35,,,1535,Radiocarbon years BP,FRAXINUX,1,0.096153846,932,GRAHAM
Graham Lake,45.183333,-77.35,,,1745,Radiocarbon years BP,FRAXINUX,4,0.39800995,940,GRAHAM
