SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Perch Lake,46.03,-77.34,1058.0,1606.0,1332.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.3401360544217687,112.5,PERCHON
Perch Lake,46.03,-77.34,1295.0,2031.0,1653.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.30120481927710846,135.5,PERCHON
Perch Lake,46.03,-77.34,2137.0,2865.0,2487.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.32786885245901637,195.5,PERCHON
Perch Lake,46.03,-77.34,2328.0,2994.0,2632.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.2849002849002849,205.5,PERCHON
Perch Lake,46.03,-77.34,2554.0,3382.0,2939.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.2557544757033248,224.5,PERCHON
Perch Lake,46.03,-77.34,2697.0,3599.0,3123.0,Calibrated radiocarbon years BP,FRAXINUX,2.0,0.6134969325153374,235.5,PERCHON
Perch Lake,46.03,-77.34,2829.0,3780.0,3290.0,Calibrated radiocarbon years BP,FRAXINUX,3.0,1.048951048951049,245.5,PERCHON
Perch Lake,46.03,-77.34,3310.0,4288.0,3792.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.3021148036253776,275.5,PERCHON
Perch Lake,46.03,-77.34,3492.0,4453.0,3958.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.2849002849002849,285.5,PERCHON
Perch Lake,46.03,-77.34,3918.0,4782.0,4298.0,Calibrated radiocarbon years BP,FRAXINUX,2.0,0.7434944237918215,305.5,PERCHON
Perch Lake,46.03,-77.34,4082.0,5013.0,4511.0,Calibrated radiocarbon years BP,FRAXINUX,2.0,0.6666666666666667,315.5,PERCHON
Perch Lake,46.03,-77.34,4242.0,5317.0,4737.0,Calibrated radiocarbon years BP,FRAXINUX,2.0,0.5681818181818182,325.5,PERCHON
Perch Lake,46.03,-77.34,4435.0,5608.0,4992.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.3558718861209964,336.5,PERCHON
Perch Lake,46.03,-77.34,4604.0,5821.0,5202.0,Calibrated radiocarbon years BP,FRAXINUX,4.0,1.2195121951219512,345.5,PERCHON
Perch Lake,46.03,-77.34,4743.0,5980.0,5363.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.3289473684210526,352.5,PERCHON
Perch Lake,46.03,-77.34,5261.0,6459.0,5877.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.3115264797507788,375.0,PERCHON
Perch Lake,46.03,-77.34,6180.0,7064.0,6609.0,Calibrated radiocarbon years BP,FRAXINUX,2.0,0.6535947712418301,406.5,PERCHON
Perch Lake,46.03,-77.34,6368.0,7344.0,6836.0,Calibrated radiocarbon years BP,FRAXINUX,3.0,0.8875739644970414,416.5,PERCHON
Perch Lake,46.03,-77.34,6528.0,7644.0,7058.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.32786885245901637,426.5,PERCHON
Perch Lake,46.03,-77.34,6687.0,7898.0,7258.0,Calibrated radiocarbon years BP,FRAXINUX,4.0,1.1428571428571428,435.5,PERCHON
Perch Lake,46.03,-77.34,7043.0,8357.0,7683.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.273972602739726,454.5,PERCHON
Perch Lake,46.03,-77.34,8470.0,9679.0,9076.0,Calibrated radiocarbon years BP,FRAXINUX,3.0,0.7978723404255319,516.5,PERCHON
Perch Lake,46.03,-77.34,9522.0,10595.0,10042.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.28169014084507044,555.5,PERCHON
Perch Lake,46.03,-77.34,9899.0,11145.0,10503.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.23923444976076555,575.5,PERCHON
Perch Lake,46.03,-77.34,5261.0,6459.0,5877.0,Calibrated radiocarbon years BP,FRAXINUX,1.0,0.3115264797507788,375.0,PERCHON
Lake Site South Burin Peninsula,46.919444,-55.6125,12646,13015,12832,Calibrated Radiocarbon Years BP (Blois),FRAXINUX,1.0,0.3558718861209964,459.5,SBURIN
Crawford Bog,43.4665277777778,-79.9491666666667,306.0,1227.0,715.0,Calibrated radiocarbon years BP,FRAXINUX,4.0,0.819672131147541,120.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,422.0,1414.0,868.0,Calibrated radiocarbon years BP,FRAXINUX,11.0,2.345415778251599,145.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,518.0,1562.0,991.0,Calibrated radiocarbon years BP,FRAXINUX,10.0,2.092050209205021,165.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,610.0,1713.0,1116.0,Calibrated radiocarbon years BP,FRAXINUX,7.0,1.1608623548922055,185.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,708.0,1855.0,1242.0,Calibrated radiocarbon years BP,FRAXINUX,12.0,2.5316455696202533,205.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,783.0,1964.0,1334.0,Calibrated radiocarbon years BP,FRAXINUX,15.0,3.416856492027335,220.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,872.0,2112.0,1455.0,Calibrated radiocarbon years BP,FRAXINUX,14.0,2.9166666666666665,240.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,979.0,2268.0,1583.0,Calibrated radiocarbon years BP,FRAXINUX,17.0,4.632152588555858,260.0,CRAWFBOG
Crawford Bog,43.4665277777778,-79.9491666666667,1087.0,2402.0,1709.0,Calibrated radiocarbon years BP,FRAXINUX,18.0,6.315789473684211,280.0,CRAWFBOG
