siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,14.0,NISP,pollen,,0.0,,,Radiocarbon years BP,2.0,1750.0,pollen,6/30/2007,137.0,10.2189781022
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,8.0,NISP,pollen,,34.0,,,Radiocarbon years BP,5.0,1750.0,pollen,6/30/2007,112.0,7.14285714286
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,11.0,NISP,pollen,,45.0,,,Radiocarbon years BP,6.0,1750.0,pollen,6/30/2007,191.0,5.75916230366
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,7.0,NISP,pollen,,79.0,,,Radiocarbon years BP,9.0,1750.0,pollen,6/30/2007,249.0,2.81124497992
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,16.0,NISP,pollen,,146.0,,,Radiocarbon years BP,15.0,1750.0,pollen,6/30/2007,148.0,10.8108108108
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,13.0,NISP,pollen,,202.0,,,Radiocarbon years BP,20.0,1750.0,pollen,6/30/2007,117.0,11.1111111111
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,42.0,NISP,pollen,,258.0,,,Radiocarbon years BP,25.0,1750.0,pollen,6/30/2007,197.0,21.3197969543
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,6.0,NISP,pollen,,360.0,,,Radiocarbon years BP,34.0,1750.0,pollen,6/30/2007,171.0,3.50877192982
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,28.0,NISP,pollen,,404.0,,,Radiocarbon years BP,38.0,1750.0,pollen,6/30/2007,259.0,10.8108108108
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,30.0,NISP,pollen,,449.0,,,Radiocarbon years BP,42.0,1750.0,pollen,6/30/2007,208.0,14.4230769231
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,25.0,NISP,pollen,,494.0,,,Radiocarbon years BP,46.0,1750.0,pollen,6/30/2007,146.0,17.1232876712
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Fagus orientalis,50.0,NISP,pollen,,539.0,,,Radiocarbon years BP,50.0,1750.0,pollen,6/30/2007,210.0,23.8095238095
