siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
120,Site 50 (Swain unpublished),42.1,-78.75,42.1,42.1,-78.75,-78.75,Vascular plants,Fraxinus pennsylvanica-type,8.0,NISP,pollen,,,,,,0.0,427.0,pollen surface sample,6/30/2007,,
121,Site 51 (Swain unpublished),41.75,-79.17,41.75,41.75,-79.17,-79.17,Vascular plants,Fraxinus pennsylvanica-type,1.0,NISP,pollen,,,,,,0.0,457.0,pollen surface sample,6/30/2007,,
122,Site 52 (Swain unpublished),41.62,-78.75,41.62,41.62,-78.75,-78.75,Vascular plants,Fraxinus pennsylvanica-type,2.0,NISP,pollen,,,,,,0.0,518.0,pollen surface sample,6/30/2007,,
124,Site 54 (Swain unpublished),41.83,-77.95,41.83,41.83,-77.95,-77.95,Vascular plants,Fraxinus pennsylvanica-type,3.0,NISP,pollen,,,,,,0.0,579.0,pollen surface sample,6/30/2007,,
125,Site 55 (Swain unpublished),41.72,-77.77,41.72,41.72,-77.77,-77.77,Vascular plants,Fraxinus pennsylvanica-type,6.0,NISP,pollen,,,,,,0.0,518.0,pollen surface sample,6/30/2007,,
127,Site 57 (Swain unpublished),41.73,-77.3,41.73,41.73,-77.3,-77.3,Vascular plants,Fraxinus pennsylvanica-type,2.0,NISP,pollen,,,,,,0.0,457.0,pollen surface sample,6/30/2007,,
128,Site 58 (Swain unpublished),41.88,-76.72,41.88,41.88,-76.72,-76.72,Vascular plants,Fraxinus pennsylvanica-type,14.0,NISP,pollen,,,,,,0.0,457.0,pollen surface sample,6/30/2007,,
129,Site 59 (Swain unpublished),41.9,-76.23,41.9,41.9,-76.23,-76.23,Vascular plants,Fraxinus pennsylvanica-type,1.0,NISP,pollen,,,,,,0.0,457.0,pollen surface sample,6/30/2007,,
130,Site 60 (Swain unpublished),41.58,-76.17,41.58,41.58,-76.17,-76.17,Vascular plants,Fraxinus pennsylvanica-type,5.0,NISP,pollen,,,,,,0.0,335.0,pollen surface sample,6/30/2007,,
132,Site 62 (Swain unpublished),41.48,-77.03,41.48,41.48,-77.03,-77.03,Vascular plants,Fraxinus pennsylvanica-type,6.0,NISP,pollen,,,,,,0.0,335.0,pollen surface sample,6/30/2007,,
133,Site 63 (Swain unpublished),41.3,-76.58,41.3,41.3,-76.58,-76.58,Vascular plants,Fraxinus pennsylvanica-type,2.0,NISP,pollen,,,,,,0.0,305.0,pollen surface sample,6/30/2007,,
135,Site 65 (Swain unpublished),40.83,-76.37,40.83,40.83,-76.37,-76.37,Vascular plants,Fraxinus pennsylvanica-type,8.0,NISP,pollen,,,,,,0.0,366.0,pollen surface sample,6/30/2007,,
136,Site 66 (Swain unpublished),40.62,-76.05,40.62,40.62,-76.05,-76.05,Vascular plants,Fraxinus pennsylvanica-type,7.0,NISP,pollen,,,,,,0.0,152.0,pollen surface sample,6/30/2007,,
137,Site 67 (Swain unpublished),40.07,-75.83,40.07,40.07,-75.83,-75.83,Vascular plants,Fraxinus pennsylvanica-type,10.0,NISP,pollen,,,,,,0.0,183.0,pollen surface sample,6/30/2007,,
