siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
261,Banks Island 74MS11,71.75,-124.266667,71.75,71.75,-124.266667,-124.266667,Vascular plants,Hippuris vulgaris,1.0,NISP,pollen,,4429.0,,,Radiocarbon years BP,150.0,30.0,pollen,6/30/2007,309.0,0.323624595469
261,Banks Island 74MS11,71.75,-124.266667,71.75,71.75,-124.266667,-124.266667,Vascular plants,Hippuris vulgaris,1.0,NISP,pollen,,4643.0,,,Radiocarbon years BP,155.0,30.0,pollen,6/30/2007,311.0,0.32154340836
261,Banks Island 74MS11,71.75,-124.266667,71.75,71.75,-124.266667,-124.266667,Vascular plants,Hippuris vulgaris,1.0,NISP,pollen,,9000.0,,,Radiocarbon years BP,270.0,30.0,pollen,6/30/2007,304.0,0.328947368421
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,5.0,NISP,pollen,,141.0,,,Radiocarbon years BP,7.5,120.0,pollen,6/30/2007,312.0,1.60256410256
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,6.0,NISP,pollen,,396.0,,,Radiocarbon years BP,17.5,120.0,pollen,6/30/2007,360.0,1.66666666667
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,3.0,NISP,pollen,,486.0,,,Radiocarbon years BP,21.0,120.0,pollen,6/30/2007,333.0,0.900900900901
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,5.0,NISP,pollen,,588.0,,,Radiocarbon years BP,25.0,120.0,pollen,6/30/2007,335.0,1.49253731343
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,6.0,NISP,pollen,,970.0,,,Radiocarbon years BP,40.0,120.0,pollen,6/30/2007,320.0,1.875
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,5.0,NISP,pollen,,1098.0,,,Radiocarbon years BP,45.0,120.0,pollen,6/30/2007,314.0,1.5923566879
263,Banks Island 74MS15,73.533333,-120.216667,73.533333,73.533333,-120.216667,-120.216667,Vascular plants,Hippuris vulgaris,2.0,NISP,pollen,,5729.0,,,Radiocarbon years BP,161.0,120.0,pollen,6/30/2007,374.0,0.534759358289
