siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
2,15/2,55.833333,-75.016667,55.833333,55.833333,-75.016667,-75.016667,Vascular plants,Huperzia selago,1.0,NISP,spore,,,,,,0.0,305.0,pollen surface sample,6/30/2007,,
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Huperzia selago,1.0,NISP,spore,,404.0,,,Radiocarbon years BP,38.0,1750.0,pollen,6/30/2007,259.0,0.3861003861
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Huperzia selago,1.0,NISP,spore,,449.0,,,Radiocarbon years BP,42.0,1750.0,pollen,6/30/2007,208.0,0.480769230769
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Huperzia selago,1.0,NISP,spore,,579.0,,,Radiocarbon years BP,53.5,1750.0,pollen,6/30/2007,124.0,0.806451612903
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Huperzia selago,1.0,NISP,spore,,3908.0,,,Radiocarbon years BP,195.0,1750.0,pollen,6/30/2007,261.0,0.383141762452
9,Adange,43.305556,41.333333,43.305556,43.305556,41.333333,41.333333,Vascular plants,Huperzia selago,1.0,NISP,spore,,4000.0,,,Radiocarbon years BP,200.0,1750.0,pollen,6/30/2007,237.0,0.42194092827
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Huperzia selago,1.0,NISP,spore,,1000.0,,,Radiocarbon years BP,0.0,130.0,pollen,6/30/2007,505.0,0.19801980198
11,"Konus Exposure, Adycha River",67.75,135.583333,67.75,67.75,135.583333,135.583333,Vascular plants,Huperzia selago,1.0,NISP,spore,,4553.0,,,Radiocarbon years BP,150.0,130.0,pollen,6/30/2007,242.0,0.413223140496
24,Alexander Lake,53.333333,-60.583333,53.333333,53.333333,-60.583333,-60.583333,Vascular plants,Huperzia selago,1.0,NISP,spore,,2821.0,,,Radiocarbon years BP,20.0,143.0,pollen,6/30/2007,410.0,0.243902439024
24,Alexander Lake,53.333333,-60.583333,53.333333,53.333333,-60.583333,-60.583333,Vascular plants,Huperzia selago,1.0,NISP,spore,,4398.0,,,Radiocarbon years BP,70.0,143.0,pollen,6/30/2007,207.0,0.48309178744
24,Alexander Lake,53.333333,-60.583333,53.333333,53.333333,-60.583333,-60.583333,Vascular plants,Huperzia selago,1.0,NISP,spore,,4914.0,,,Radiocarbon years BP,100.0,143.0,pollen,6/30/2007,210.0,0.47619047619
24,Alexander Lake,53.333333,-60.583333,53.333333,53.333333,-60.583333,-60.583333,Vascular plants,Huperzia selago,1.0,NISP,spore,,5954.0,,,Radiocarbon years BP,177.0,143.0,pollen,6/30/2007,276.0,0.36231884058
200,Amtkel,43.268056,41.308333,43.268056,43.268056,41.308333,41.308333,Vascular plants,Huperzia selago,1.0,NISP,spore,,1839.0,,,Radiocarbon years BP,103.0,1830.0,pollen,6/30/2007,243.0,0.411522633745
212,Arakamchechen Island Exposure,64.75,-172.083333,64.75,64.75,-172.083333,-172.083333,Vascular plants,Huperzia selago,12.0,NISP,spore,,522.0,,,Radiocarbon years BP,20.0,7.0,pollen,6/30/2007,781.0,1.53649167734
212,Arakamchechen Island Exposure,64.75,-172.083333,64.75,64.75,-172.083333,-172.083333,Vascular plants,Huperzia selago,2.0,NISP,spore,,2611.0,,,Radiocarbon years BP,100.0,7.0,pollen,6/30/2007,290.0,0.689655172414
212,Arakamchechen Island Exposure,64.75,-172.083333,64.75,64.75,-172.083333,-172.083333,Vascular plants,Huperzia selago,45.0,NISP,spore,,,,,Radiocarbon years BP,320.0,7.0,pollen,6/30/2007,748.0,6.01604278075
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Huperzia selago,1.0,NISP,spore,,824.0,,,Radiocarbon years BP,10.0,490.0,pollen,6/30/2007,327.0,0.305810397554
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Huperzia selago,1.0,NISP,spore,,2354.0,,,Radiocarbon years BP,23.0,490.0,pollen,6/30/2007,296.5,0.337268128162
222,Baird Inlet [Rock Basin Lake],78.491667,-76.78,78.491667,78.491667,-76.78,-76.78,Vascular plants,Huperzia selago,4.0,NISP,spore,,-29.0,,,Radiocarbon years BP,0.0,295.0,pollen,6/30/2007,104.0,3.84615384615
222,Baird Inlet [Rock Basin Lake],78.491667,-76.78,78.491667,78.491667,-76.78,-76.78,Vascular plants,Huperzia selago,5.0,NISP,spore,,519.0,,,Radiocarbon years BP,3.0,295.0,pollen,6/30/2007,72.0,6.94444444444
222,Baird Inlet [Rock Basin Lake],78.491667,-76.78,78.491667,78.491667,-76.78,-76.78,Vascular plants,Huperzia selago,3.0,NISP,spore,,975.0,,,Radiocarbon years BP,5.5,295.0,pollen,6/30/2007,100.0,3.0
222,Baird Inlet [Rock Basin Lake],78.491667,-76.78,78.491667,78.491667,-76.78,-76.78,Vascular plants,Huperzia selago,5.0,NISP,spore,,1432.0,,,Radiocarbon years BP,8.0,295.0,pollen,6/30/2007,97.0,5.15463917526
222,Baird Inlet [Rock Basin Lake],78.491667,-76.78,78.491667,78.491667,-76.78,-76.78,Vascular plants,Huperzia selago,6.0,NISP,spore,,1889.0,,,Radiocarbon years BP,10.5,295.0,pollen,6/30/2007,123.0,4.87804878049
