SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Buck Lake,46.520515,-86.35387,13.0,82.0,49.0,Calibrated radiocarbon years BP,IVA,1.0,0.30303030303030304,60.5,BUCKMI
Buck Lake,46.520515,-86.35387,71.0,168.0,107.0,Calibrated radiocarbon years BP,IVA,1.0,0.31746031746031744,84.0,BUCKMI
Buck Lake,46.520515,-86.35387,179.0,822.0,438.0,Calibrated radiocarbon years BP,IVA,1.0,0.3076923076923077,109.5,BUCKMI
Buck Lake,46.520515,-86.35387,361.0,1223.0,740.0,Calibrated radiocarbon years BP,IVA,1.0,0.3105590062111801,130.0,BUCKMI
Buck Lake,46.520515,-86.35387,6395.0,6988.0,6655.0,Calibrated radiocarbon years BP,IVA,1.0,0.3115264797507788,730.0,BUCKMI
Buck Lake,46.520515,-86.35387,6490.0,7075.0,6739.0,Calibrated radiocarbon years BP,IVA,1.0,0.2849002849002849,740.0,BUCKMI
Buck Lake,46.520515,-86.35387,6955.0,7691.0,7320.0,Calibrated radiocarbon years BP,IVA,1.0,0.30120481927710846,785.0,BUCKMI
"Water Conservation Area 3B, Gumbo Limbo Far Tail",25.774722,-80.505556,202,432,307,Calibrated Radiocarbon Years BP (Blois),IVA,1.0,1.4492753623188406,12.5,GUMLIMFT
"Water Conservation Area 3B, Gumbo Limbo Far Tail",25.774722,-80.505556,779,1002,880,Calibrated Radiocarbon Years BP (Blois),IVA,1.0,0.6060606060606061,17.5,GUMLIMFT
"Devils Lake, Creel Bay",48.085899999999995,-98.92935,3763.0,5280.0,4517.0,Calibrated radiocarbon years BP,IVA,1.0,0.31496062992125984,1614.0,CREELBAY
"Devils Lake, Creel Bay",48.085899999999995,-98.92935,8554.0,10355.0,9407.0,Calibrated radiocarbon years BP,IVA,1.0,0.27210884353741494,2430.0,CREELBAY
Catahoula Lake (core CLR3),31.50844,-92.13152,3189.0,3716.0,3469.0,Calibrated radiocarbon years BP,IVA,17.1,5.264778325123154,280.0,CATACLR3
Catahoula Lake (core CLR3),31.50844,-92.13152,3189.0,3716.0,3469.0,Calibrated radiocarbon years BP,IVA,17.1,5.264778325123154,280.0,CATACLR3
