siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Iva annua-type,1.0,NISP,pollen,,432.0,,,Radiocarbon years BP,64.0,303.0,pollen,6/30/2007,674.0,0.148367952522
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Iva annua-type,1.0,NISP,pollen,,1911.0,,,Radiocarbon years BP,76.0,303.0,pollen,6/30/2007,644.0,0.155279503106
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Iva annua-type,1.0,NISP,pollen,,13685.0,,,Radiocarbon years BP,248.0,303.0,pollen,6/30/2007,372.0,0.268817204301
203,Anderson Pond,36.03015,-85.50132,36.03275,36.02755,-85.49868,-85.50396,Vascular plants,Iva annua-type,1.0,NISP,pollen,,17211.0,,,Radiocarbon years BP,510.0,303.0,pollen,6/30/2007,327.0,0.305810397554
204,Andree Bog,45.725,-93.25,45.725,45.725,-93.25,-93.25,Vascular plants,Iva annua-type,3.0,NISP,pollen,,8970.0,,,Radiocarbon years BP,425.0,300.0,pollen,6/30/2007,557.0,0.538599640934
204,Andree Bog,45.725,-93.25,45.725,45.725,-93.25,-93.25,Vascular plants,Iva annua-type,1.0,NISP,pollen,,10182.0,,,Radiocarbon years BP,525.0,300.0,pollen,6/30/2007,541.0,0.184842883549
204,Andree Bog,45.725,-93.25,45.725,45.725,-93.25,-93.25,Vascular plants,Iva annua-type,2.0,NISP,pollen,,10727.0,,,Radiocarbon years BP,570.0,300.0,pollen,6/30/2007,366.0,0.546448087432
204,Andree Bog,45.725,-93.25,45.725,45.725,-93.25,-93.25,Vascular plants,Iva annua-type,2.0,NISP,pollen,,10848.0,,,Radiocarbon years BP,580.0,300.0,pollen,6/30/2007,377.0,0.53050397878
213,Arrington Marsh,39.495,-95.526667,39.495,39.495,-95.526667,-95.526667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,17508.0,,,Radiocarbon years BP,393.0,280.0,pollen,6/30/2007,406.0,0.246305418719
213,Arrington Marsh,39.495,-95.526667,39.495,39.495,-95.526667,-95.526667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,19041.0,,,Radiocarbon years BP,473.0,280.0,pollen,6/30/2007,408.0,0.245098039216
213,Arrington Marsh,39.495,-95.526667,39.495,39.495,-95.526667,-95.526667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,24883.0,,,Radiocarbon years BP,778.0,280.0,pollen,6/30/2007,725.0,0.137931034483
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,405.0,,,Radiocarbon years BP,155.0,155.0,pollen,6/30/2007,402.0,0.248756218905
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,975.0,,,Radiocarbon years BP,210.0,155.0,pollen,6/30/2007,444.0,0.225225225225
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,17645.0,,,Radiocarbon years BP,1360.0,155.0,pollen,6/30/2007,310.0,0.322580645161
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Iva annua-type,1.0,NISP,pollen,,17783.0,,,Radiocarbon years BP,1370.0,155.0,pollen,6/30/2007,402.0,0.248756218905
237,Battaglia Bog,41.143889,-81.328611,41.143889,41.143889,-81.328611,-81.328611,Vascular plants,Iva annua-type,1.0,NISP,pollen,,11357.0,,,Radiocarbon years BP,265.0,335.0,pollen,6/30/2007,354.0,0.282485875706
237,Battaglia Bog,41.143889,-81.328611,41.143889,41.143889,-81.328611,-81.328611,Vascular plants,Iva annua-type,1.0,NISP,pollen,,11717.0,,,Radiocarbon years BP,280.0,335.0,pollen,6/30/2007,349.0,0.286532951289
237,Battaglia Bog,41.143889,-81.328611,41.143889,41.143889,-81.328611,-81.328611,Vascular plants,Iva annua-type,1.0,NISP,pollen,,11958.0,,,Radiocarbon years BP,290.0,335.0,pollen,6/30/2007,358.0,0.279329608939
240,Site 2 (Hansen unpublished),43.45,-95.55,43.45,43.45,-95.55,-95.55,Vascular plants,Iva annua-type,1.0,NISP,pollen,,,,,,0.0,468.0,pollen surface sample,6/30/2007,,
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,2.0,NISP,pollen,,0.0,,,Radiocarbon years BP,53.0,278.0,pollen,6/30/2007,437.0,0.45766590389
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,1.0,NISP,pollen,,54.0,,,Radiocarbon years BP,73.0,278.0,pollen,6/30/2007,483.0,0.207039337474
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,1.0,NISP,pollen,,304.0,,,Radiocarbon years BP,97.0,278.0,pollen,6/30/2007,327.0,0.305810397554
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,1.0,NISP,pollen,,2876.0,,,Radiocarbon years BP,185.0,278.0,pollen,6/30/2007,316.0,0.316455696203
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,1.0,NISP,pollen,,4045.0,,,Radiocarbon years BP,225.0,278.0,pollen,6/30/2007,482.0,0.207468879668
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,1.0,NISP,pollen,,4545.0,,,Radiocarbon years BP,250.0,278.0,pollen,6/30/2007,534.0,0.187265917603
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,2.0,NISP,pollen,,7576.0,,,Radiocarbon years BP,530.0,278.0,pollen,6/30/2007,336.0,0.595238095238
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Iva annua-type,1.0,NISP,pollen,,8659.0,,,Radiocarbon years BP,630.0,278.0,pollen,6/30/2007,283.0,0.353356890459
266,Big John Pond,47.559175,-94.970775,47.56018,47.55817,-94.96931,-94.97224,Vascular plants,Iva annua-type,2.0,NISP,pollen,,1154.0,,,Radiocarbon years BP,50.0,421.0,pollen,6/30/2007,385.0,0.519480519481
266,Big John Pond,47.559175,-94.970775,47.56018,47.55817,-94.96931,-94.97224,Vascular plants,Iva annua-type,1.0,NISP,pollen,,1579.0,,,Radiocarbon years BP,65.0,421.0,pollen,6/30/2007,312.5,0.32
266,Big John Pond,47.559175,-94.970775,47.56018,47.55817,-94.96931,-94.97224,Vascular plants,Iva annua-type,1.0,NISP,pollen,,5559.0,,,Radiocarbon years BP,200.0,421.0,pollen,6/30/2007,418.0,0.239234449761
