SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Eaglenest Lake,57.766667,-112.1,,,10849,Radiocarbon years BP,LAMIACEAE,2,1.769911504,650,EAGLENES
Jack Lake,47.316667,-81.766667,,,3335,Radiocarbon years BP,LAMIACEAE,1,0.172413793,160,JACKLAKE
Lake CH2,49.683333,-74.583333,,,6236,Radiocarbon years BP,LAMIACEAE,2,0.426439232,410,LAKECH2
Lake CH2,49.683333,-74.583333,,,6558,Radiocarbon years BP,LAMIACEAE,1,0.207253886,420,LAKECH2
Lake CH2,49.683333,-74.583333,,,7964,Radiocarbon years BP,LAMIACEAE,1,0.181653043,457,LAKECH2
Lake CH2,49.683333,-74.583333,,,8268,Radiocarbon years BP,LAMIACEAE,1,0.27173913,465,LAKECH2
Little Lake (CA:New Brunswick),45.144444,-66.716667,,,2357,Radiocarbon years BP,LAMIACEAE,1,0.299401198,110,LITTLELK
Little Lake (CA:New Brunswick),45.144444,-66.716667,,,2843,Radiocarbon years BP,LAMIACEAE,1,0.200400802,132,LITTLELK
Little Lake (CA:New Brunswick),45.144444,-66.716667,,,5005,Radiocarbon years BP,LAMIACEAE,1,0.189753321,227,LITTLELK
Little Lake (CA:New Brunswick),45.144444,-66.716667,,,9100,Radiocarbon years BP,LAMIACEAE,1,0.320512821,505,LITTLELK
Nutt Lake,45.216667,-79.45,,,7645,Radiocarbon years BP,LAMIACEAE,2,0.178571429,1196,NUTTLAKE
Barrett Lake,37.595833,-119.008333,,,379,Radiocarbon years BP,LAMIACEAE,1,0.175438596,15,BARRETT
Barrett Lake,37.595833,-119.008333,,,3277,Radiocarbon years BP,LAMIACEAE,1,0.187969925,78,BARRETT
Barrett Lake,37.595833,-119.008333,,,12434,Radiocarbon years BP,LAMIACEAE,1,0.214592275,199,BARRETT
Barrett Lake,37.595833,-119.008333,,,13009,Radiocarbon years BP,LAMIACEAE,1,0.325732899,208,BARRETT
Cheyenne Bottoms,38.466667,-98.666667,,,7398,Radiocarbon years BP,LAMIACEAE,3,0.787401575,436,CHEYENNE
Cheyenne Bottoms,38.466667,-98.666667,,,7866,Radiocarbon years BP,LAMIACEAE,2,0.465116279,456,CHEYENNE
Cheyenne Bottoms,38.466667,-98.666667,,,8801,Radiocarbon years BP,LAMIACEAE,2,0.520833333,496,CHEYENNE
Cheyenne Bottoms,38.466667,-98.666667,,,9316,Radiocarbon years BP,LAMIACEAE,1,0.307692308,518,CHEYENNE
