SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Andy Lake,64.65,-128.083333,,,234,Radiocarbon years BP,LARIXPSEU,1,0.241837969,2.5,ANDYLAKE
Andy Lake,64.65,-128.083333,,,6077,Radiocarbon years BP,LARIXPSEU,1,0.213675214,120,ANDYLAKE
Andy Lake,64.65,-128.083333,,,6666,Radiocarbon years BP,LARIXPSEU,2,0.498132005,132.5,ANDYLAKE
Andy Lake,64.65,-128.083333,,,8297,Radiocarbon years BP,LARIXPSEU,1,0.220507166,165,ANDYLAKE
Andy Lake,64.65,-128.083333,,,9050,Radiocarbon years BP,LARIXPSEU,0.5,0.102459016,180,ANDYLAKE
Beach Lake,65.216667,-127.05,,,694,Radiocarbon years BP,LARIXPSEU,5,1.385041551,25,BEACH
Beach Lake,65.216667,-127.05,,,838,Radiocarbon years BP,LARIXPSEU,3,0.857142857,30,BEACH
Beach Lake,65.216667,-127.05,,,982,Radiocarbon years BP,LARIXPSEU,4,1.19047619,35,BEACH
Beach Lake,65.216667,-127.05,,,1269,Radiocarbon years BP,LARIXPSEU,3,0.879765396,45,BEACH
Beach Lake,65.216667,-127.05,,,1413,Radiocarbon years BP,LARIXPSEU,2,0.611620795,50,BEACH
Beach Lake,65.216667,-127.05,,,2132,Radiocarbon years BP,LARIXPSEU,3,0.943396226,75,BEACH
Beach Lake,65.216667,-127.05,,,2275,Radiocarbon years BP,LARIXPSEU,3,0.895522388,80,BEACH
Bell's Lake,65.016667,-127.483333,,,0,Radiocarbon years BP,LARIXPSEU,2,0.486618005,0,BELLS
Bell's Lake,65.016667,-127.483333,,,433,Radiocarbon years BP,LARIXPSEU,1,0.237529691,20,BELLS
Bell's Lake,65.016667,-127.483333,,,650,Radiocarbon years BP,LARIXPSEU,1,0.224719101,30,BELLS
Bell's Lake,65.016667,-127.483333,,,1083,Radiocarbon years BP,LARIXPSEU,2,0.466744457,50,BELLS
Bell's Lake,65.016667,-127.483333,,,1733,Radiocarbon years BP,LARIXPSEU,4,0.892857143,80,BELLS
Bell's Lake,65.016667,-127.483333,,,2167,Radiocarbon years BP,LARIXPSEU,1,0.245098039,100,BELLS
Bell's Lake,65.016667,-127.483333,,,2372,Radiocarbon years BP,LARIXPSEU,1,0.225225225,110,BELLS
Bell's Lake,65.016667,-127.483333,,,3163,Radiocarbon years BP,LARIXPSEU,1,0.230149597,160,BELLS
Bell's Lake,65.016667,-127.483333,,,3480,Radiocarbon years BP,LARIXPSEU,2,0.454029512,180,BELLS
Bell's Lake,65.016667,-127.483333,,,3797,Radiocarbon years BP,LARIXPSEU,1,0.218579235,200,BELLS
Bell's Lake,65.016667,-127.483333,,,3955,Radiocarbon years BP,LARIXPSEU,3,0.637619554,210,BELLS
Bell's Lake,65.016667,-127.483333,,,4113,Radiocarbon years BP,LARIXPSEU,1,0.288600289,220,BELLS
Bell's Lake,65.016667,-127.483333,,,4272,Radiocarbon years BP,LARIXPSEU,1,0.215517241,230,BELLS
Bell's Lake,65.016667,-127.483333,,,4578,Radiocarbon years BP,LARIXPSEU,1,0.225479143,250,BELLS
Bell's Lake,65.016667,-127.483333,,,5022,Radiocarbon years BP,LARIXPSEU,1,0.243605359,280,BELLS
Bell's Lake,65.016667,-127.483333,,,5319,Radiocarbon years BP,LARIXPSEU,1,0.238663484,300,BELLS
Bell's Lake,65.016667,-127.483333,,,7087,Radiocarbon years BP,LARIXPSEU,1,0.218102508,355,BELLS
Bell's Lake,65.016667,-127.483333,,,8327,Radiocarbon years BP,LARIXPSEU,1,0.330033003,385,BELLS
Bell's Lake,65.016667,-127.483333,,,10433,Radiocarbon years BP,LARIXPSEU,1,0.247524752,407.5,BELLS
Cranberry Lake,44.1,-78.1,,,7892,Radiocarbon years BP,LARIXPSEU,1,0.5,760,CRANBER
Cranberry Lake,44.1,-78.1,,,9463,Radiocarbon years BP,LARIXPSEU,1,0.490196078,810,CRANBER
Cranberry Lake,44.1,-78.1,,,11579,Radiocarbon years BP,LARIXPSEU,1,0.5,835,CRANBER
Crawford Lake,43.5,-79.83,,,1387,Varve years BP,LARIXPSEU,1,0.245700246,1408,CRAWFORD
Crawford Lake,43.5,-79.83,,,1449,Varve years BP,LARIXPSEU,2,0.438596491,1470,CRAWFORD
Eagle Lake,53.233333,-58.55,,,1123,Radiocarbon years BP,LARIXPSEU,1,0.327868852,870,EAGLELK
Eagle Lake,53.233333,-58.55,,,1860,Radiocarbon years BP,LARIXPSEU,1,0.326797386,890,EAGLELK
Eagle Lake,53.233333,-58.55,,,2265,Radiocarbon years BP,LARIXPSEU,5,1.592356688,910,EAGLELK
Eagle Lake,53.233333,-58.55,,,4235,Radiocarbon years BP,LARIXPSEU,1,0.256410256,1030,EAGLELK
Eagle Lake,53.233333,-58.55,,,4487,Radiocarbon years BP,LARIXPSEU,2,0.507614213,1050,EAGLELK
Eagle Lake,53.233333,-58.55,,,4740,Radiocarbon years BP,LARIXPSEU,3,0.821917808,1070,EAGLELK
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,1629,Radiocarbon years BP,LARIXPSEU,3,1.388888889,40,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,1918,Radiocarbon years BP,LARIXPSEU,2,0.892857143,50,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,2208,Radiocarbon years BP,LARIXPSEU,3,1.244813278,60,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,5946,Radiocarbon years BP,LARIXPSEU,3,1.485148515,190,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,6200,Radiocarbon years BP,LARIXPSEU,2,0.81300813,200,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,7473,Radiocarbon years BP,LARIXPSEU,5,2.242152466,250,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,7740,Radiocarbon years BP,LARIXPSEU,3,1.271186441,260,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,8580,Radiocarbon years BP,LARIXPSEU,1,0.5,290,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,8860,Radiocarbon years BP,LARIXPSEU,2,0.934579439,300,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,9140,Radiocarbon years BP,LARIXPSEU,4,1.834862385,310,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,9420,Radiocarbon years BP,LARIXPSEU,5,2.427184466,320,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,9700,Radiocarbon years BP,LARIXPSEU,5,2.427184466,330,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,9980,Radiocarbon years BP,LARIXPSEU,5,2.415458937,340,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10408,Radiocarbon years BP,LARIXPSEU,4,1.659751037,360,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10438,Radiocarbon years BP,LARIXPSEU,6,2.702702703,380,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10469,Radiocarbon years BP,LARIXPSEU,2,0.858369099,400,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10500,Radiocarbon years BP,LARIXPSEU,5,2.252252252,420,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10530,Radiocarbon years BP,LARIXPSEU,3,1.304347826,440,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10591,Radiocarbon years BP,LARIXPSEU,1,0.465116279,480,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10622,Radiocarbon years BP,LARIXPSEU,4,1.951219512,500,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10683,Radiocarbon years BP,LARIXPSEU,6,2.69058296,540,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10744,Radiocarbon years BP,LARIXPSEU,5,2.202643172,580,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10806,Radiocarbon years BP,LARIXPSEU,3,1.470588235,620,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10928,Radiocarbon years BP,LARIXPSEU,1,0.574712644,700,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,10990,Radiocarbon years BP,LARIXPSEU,1,0.595238095,740,GB71-104
"Georgian Bay, Lake Huron (2)",45.17,-81.32,,,11786,Radiocarbon years BP,LARIXPSEU,1,0.555555556,1260,GB71-104
Lac Geai,45.995833,-73.992778,,,208,Radiocarbon years BP,LARIXPSEU,6,1.242236025,12,GEAI
Lac Geai,45.995833,-73.992778,,,640,Radiocarbon years BP,LARIXPSEU,2,0.410677618,37,GEAI
Lac Geai,45.995833,-73.992778,,,865,Radiocarbon years BP,LARIXPSEU,1,0.202839757,50,GEAI
Lac Geai,45.995833,-73.992778,,,1073,Radiocarbon years BP,LARIXPSEU,2,0.306748466,62,GEAI
Lac Ã  St-Germain,45.945833,-74.370833,,,9391,Radiocarbon years BP,LARIXPSEU,2,0.355239787,610,GER
Jones Lake [Glenboro site],49.448,-99.28965,,,8345,Radiocarbon years BP,LARIXPSEU,1,0.186567164,815,GLENBORO
Jones Lake [Glenboro site],49.448,-99.28965,,,11381,Radiocarbon years BP,LARIXPSEU,1,0.179856115,970,GLENBORO
Lac Gras,52.25,-67.066667,,,-31,Radiocarbon years BP,LARIXPSEU,2,0.598802395,795,GRAS
Lac Gras,52.25,-67.066667,,,209,Radiocarbon years BP,LARIXPSEU,1,0.240384615,807,GRAS
