SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Lac Montagnais,47.907778,-71.175,,,205,Radiocarbon years BP,LYCOPODX,2,0.668896321,10,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,410,Radiocarbon years BP,LYCOPODX,1,0.204918033,20,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,615,Radiocarbon years BP,LYCOPODX,2,0.275862069,30,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,1025,Radiocarbon years BP,LYCOPODX,1,0.276243094,50,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,1230,Radiocarbon years BP,LYCOPODX,1,0.318471338,60,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,2460,Radiocarbon years BP,LYCOPODX,2,0.234741784,120,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,4101,Radiocarbon years BP,LYCOPODX,1,0.148367953,200,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,4921,Radiocarbon years BP,LYCOPODX,1,0.185873606,240,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,6151,Radiocarbon years BP,LYCOPODX,3,0.931677019,300,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,6561,Radiocarbon years BP,LYCOPODX,1,0.227272727,320,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,6972,Radiocarbon years BP,LYCOPODX,2,0.537634409,340,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,7382,Radiocarbon years BP,LYCOPODX,1,0.21978022,360,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,7792,Radiocarbon years BP,LYCOPODX,7,1.616628176,380,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,7997,Radiocarbon years BP,LYCOPODX,7,1.724137931,390,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,8202,Radiocarbon years BP,LYCOPODX,3,0.559701493,400,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,8407,Radiocarbon years BP,LYCOPODX,4,0.515463918,410,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,8510,Radiocarbon years BP,LYCOPODX,4,0.425079702,415,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,8817,Radiocarbon years BP,LYCOPODX,2,0.227272727,420,MONTAGNA
