SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Nina Lake,46.6,-81.5,,,9376,Radiocarbon years BP,MAGNOLIACE,1,0.152905199,520,NINA
Round Pond,52.531655,-91.37236111,244,1008,579,Calibrated radiocarbon years BP,MAGNOLIACE,5,2.074688797,30,ROUNDON
Round Pond,52.531655,-91.37236111,318,1134,681,Calibrated radiocarbon years BP,MAGNOLIACE,8,3.29218107,35,ROUNDON
Round Pond,52.531655,-91.37236111,393,1258,783,Calibrated radiocarbon years BP,MAGNOLIACE,5,2.222222222,40,ROUNDON
Round Pond,52.531655,-91.37236111,472,1376,884,Calibrated radiocarbon years BP,MAGNOLIACE,3,1.282051282,45,ROUNDON
Round Pond,52.531655,-91.37236111,553,1493,987,Calibrated radiocarbon years BP,MAGNOLIACE,6,2.419354839,50,ROUNDON
Round Pond,52.531655,-91.37236111,639,1613,1090,Calibrated radiocarbon years BP,MAGNOLIACE,4,1.785714286,55,ROUNDON
Round Pond,52.531655,-91.37236111,723,1734,1191,Calibrated radiocarbon years BP,MAGNOLIACE,6,2.597402597,60,ROUNDON
Round Pond,52.531655,-91.37236111,816,1841,1291,Calibrated radiocarbon years BP,MAGNOLIACE,4,1.687763713,65,ROUNDON
Round Pond,52.531655,-91.37236111,1077,2181,1600,Calibrated radiocarbon years BP,MAGNOLIACE,2,0.862068966,80,ROUNDON
Round Pond,52.531655,-91.37236111,1169,2291,1700,Calibrated radiocarbon years BP,MAGNOLIACE,1,0.429184549,85,ROUNDON
Round Pond,52.531655,-91.37236111,1260,2398,1800,Calibrated radiocarbon years BP,MAGNOLIACE,2,0.900900901,90,ROUNDON
Round Pond,52.531655,-91.37236111,1360,2506,1902,Calibrated radiocarbon years BP,MAGNOLIACE,2,0.862068966,95,ROUNDON
Round Pond,52.531655,-91.37236111,1640,2812,2206,Calibrated radiocarbon years BP,MAGNOLIACE,4,1.581027668,110,ROUNDON
Round Pond,52.531655,-91.37236111,1737,2920,2307,Calibrated radiocarbon years BP,MAGNOLIACE,3,1.304347826,115,ROUNDON
Round Pond,52.531655,-91.37236111,2231,3423,2817,Calibrated radiocarbon years BP,MAGNOLIACE,8,3.433476395,140,ROUNDON
Round Pond,52.531655,-91.37236111,2336,3526,2918,Calibrated radiocarbon years BP,MAGNOLIACE,4,1.581027668,145,ROUNDON
Cahaba Pond,33.5,-86.533333,,,650,Radiocarbon years BP,MAGNOLIACE,2,0.597014925,134,CAHABA
Clear Pond,33.798895,-78.95336,,,7581,Radiocarbon years BP,MAGNOLIACE,1,0.234192037,412,CLEARPND
Clear Pond,33.798895,-78.95336,,,8294,Radiocarbon years BP,MAGNOLIACE,1,0.22675737,436,CLEARPND
Clear Pond,33.798895,-78.95336,,,8522,Radiocarbon years BP,MAGNOLIACE,2,0.527009223,444,CLEARPND
Clear Pond,33.798895,-78.95336,,,8857,Radiocarbon years BP,MAGNOLIACE,1,0.242130751,456,CLEARPND
Clear Pond,33.798895,-78.95336,,,9808,Radiocarbon years BP,MAGNOLIACE,1,0.189933523,492,CLEARPND
Clear Pond,33.798895,-78.95336,,,10589,Radiocarbon years BP,MAGNOLIACE,1,0.209424084,524,CLEARPND
Clear Pond,33.798895,-78.95336,,,10868,Radiocarbon years BP,MAGNOLIACE,1,0.235294118,536,CLEARPND
Clear Pond,33.798895,-78.95336,,,11492,Radiocarbon years BP,MAGNOLIACE,1,0.224466891,564,CLEARPND
