siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
513,Crowsnest Lake,68.333333,-146.483333,68.333333,68.333333,-146.483333,-146.483333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,9415.0,,,Radiocarbon years BP,535.0,881.0,pollen,6/30/2007,314.0,0.31847133758
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,224.0,,,Radiocarbon years BP,4.0,500.0,pollen,6/30/2007,1356.0,0.0737463126844
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,3.0,NISP,pollen,,822.0,,,Radiocarbon years BP,8.0,500.0,pollen,6/30/2007,359.0,0.8356545961
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,4.0,NISP,pollen,,1111.0,,,Radiocarbon years BP,10.0,500.0,pollen,6/30/2007,1487.0,0.268997982515
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,5.0,NISP,pollen,,1937.0,,,Radiocarbon years BP,16.0,500.0,pollen,6/30/2007,1510.0,0.331125827815
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,2948.0,,,Radiocarbon years BP,24.0,500.0,pollen,6/30/2007,334.0,0.299401197605
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,5.0,NISP,pollen,,5422.0,,,Radiocarbon years BP,48.0,500.0,pollen,6/30/2007,2407.0,0.20772746157
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,2.0,NISP,pollen,,6232.0,,,Radiocarbon years BP,58.0,500.0,pollen,6/30/2007,2081.0,0.0961076405574
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,6929.0,,,Radiocarbon years BP,68.0,500.0,pollen,6/30/2007,655.0,0.152671755725
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,7413.0,,,Radiocarbon years BP,76.0,500.0,pollen,6/30/2007,393.0,0.254452926209
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,7632.0,,,Radiocarbon years BP,80.0,500.0,pollen,6/30/2007,1846.0,0.0541711809317
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,8377.0,,,Radiocarbon years BP,96.0,500.0,pollen,6/30/2007,2094.0,0.0477554918816
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,2.0,NISP,pollen,,8750.0,,,Radiocarbon years BP,106.0,500.0,pollen,6/30/2007,2784.0,0.0718390804598
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,8945.0,,,Radiocarbon years BP,112.0,500.0,pollen,6/30/2007,2133.0,0.0468823253633
972,Hanging Lake,68.383333,-138.383333,68.383333,68.383333,-138.383333,-138.383333,Vascular plants,Micranthes hieraciifolia,1.0,NISP,pollen,,9383.0,,,Radiocarbon years BP,128.0,500.0,pollen,6/30/2007,2049.0,0.0488042947779
