siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
1321,Site 1 (Jensen 1998),26.358889,-80.353056,26.358889,26.358889,-80.353056,-80.353056,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1325,Site 5 (Jensen 1998),26.352778,-80.307778,26.352778,26.352778,-80.307778,-80.307778,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1326,Site 6 (Jensen 1998),26.261389,-80.333056,26.261389,26.261389,-80.333056,-80.333056,Vascular plants,Myrica cerifera,11.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1327,Site 7 (Jensen 1998),26.275,-80.324444,26.275,26.275,-80.324444,-80.324444,Vascular plants,Myrica cerifera,15.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1328,Site 8 (Jensen 1998),26.306944,-80.314722,26.306944,26.306944,-80.314722,-80.314722,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1329,Site 9 (Jensen 1998),26.313611,-80.313611,26.313611,26.313611,-80.313611,-80.313611,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1330,Site 10 (Jensen 1998),26.336111,-80.306389,26.336111,26.336111,-80.306389,-80.306389,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1331,Site 11 (Jensen 1998),26.343056,-80.303611,26.343056,26.343056,-80.303611,-80.303611,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1332,Site 12 (Jensen 1998),26.348056,-80.32,26.348056,26.348056,-80.32,-80.32,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1334,Site 14 (Jensen 1998),26.289444,-80.379167,26.289444,26.289444,-80.379167,-80.379167,Vascular plants,Myrica cerifera,10.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1335,Site 15 (Jensen 1998),26.302222,-80.386389,26.302222,26.302222,-80.386389,-80.386389,Vascular plants,Myrica cerifera,14.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1336,Site 16 (Jensen 1998),26.3125,-80.385278,26.3125,26.3125,-80.385278,-80.385278,Vascular plants,Myrica cerifera,9.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1337,Site 17 (Jensen 1998),26.325,-80.368889,26.325,26.325,-80.368889,-80.368889,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1338,Site 18 (Jensen 1998),26.340556,-80.336944,26.340556,26.340556,-80.336944,-80.336944,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1339,Site 19 (Jensen 1998),26.333056,-80.365833,26.333056,26.333056,-80.365833,-80.365833,Vascular plants,Myrica cerifera,4.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1340,Site 20 (Jensen 1998),26.307778,-80.357778,26.307778,26.307778,-80.357778,-80.357778,Vascular plants,Myrica cerifera,5.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1341,Site 21 (Jensen 1998),26.276389,-80.356667,26.276389,26.276389,-80.356667,-80.356667,Vascular plants,Myrica cerifera,13.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1342,Site 22 (Jensen 1998),26.296389,-80.355833,26.296389,26.296389,-80.355833,-80.355833,Vascular plants,Myrica cerifera,16.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1343,Site 23 (Jensen 1998),26.306111,-80.368611,26.306111,26.306111,-80.368611,-80.368611,Vascular plants,Myrica cerifera,9.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1344,Site 24 (Jensen 1998),26.250556,-80.388889,26.250556,26.250556,-80.388889,-80.388889,Vascular plants,Myrica cerifera,12.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1345,Site 25 (Jensen 1998),26.312778,-80.372778,26.312778,26.312778,-80.372778,-80.372778,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1346,Site 26 (Jensen 1998),26.326111,-80.378611,26.326111,26.326111,-80.378611,-80.378611,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1349,Site 29 (Jensen 1998),26.331111,-80.304167,26.331111,26.331111,-80.304167,-80.304167,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1350,Site 30 (Jensen 1998),26.320556,-80.326389,26.320556,26.320556,-80.326389,-80.326389,Vascular plants,Myrica cerifera,7.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1351,Site 31 (Jensen 1998),26.311111,-80.342778,26.311111,26.311111,-80.342778,-80.342778,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1326,Site 6 (Jensen 1998),26.261389,-80.333056,26.261389,26.261389,-80.333056,-80.333056,Vascular plants,Myrica cerifera,17.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1330,Site 10 (Jensen 1998),26.336111,-80.306389,26.336111,26.336111,-80.306389,-80.306389,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
1333,Site 13 (Jensen 1998),26.341667,-80.338333,26.341667,26.341667,-80.338333,-80.338333,Vascular plants,Myrica cerifera,4.0,NISP,pollen,,,,,,0.0,,pollen surface sample,6/30/2007,,
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,5.0,NISP,pollen,,-35.0,-48.0,-8.0,Calibrated radiocarbon years BP,1.5,2.0,pollen,8/25/2015,316.5,1.57977883096
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,-4.0,-46.0,84.0,Calibrated radiocarbon years BP,5.0,2.0,pollen,8/25/2015,302.0,0.662251655629
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,61.0,-13.0,150.0,Calibrated radiocarbon years BP,12.0,2.0,pollen,8/25/2015,260.0,1.15384615385
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,140.0,44.0,225.0,Calibrated radiocarbon years BP,21.0,2.0,pollen,8/25/2015,294.0,1.02040816327
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,399.0,272.0,502.0,Calibrated radiocarbon years BP,40.0,2.0,pollen,8/25/2015,312.5,0.32
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,651.0,538.0,780.0,Calibrated radiocarbon years BP,51.0,2.0,pollen,8/25/2015,288.0,0.347222222222
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,768.0,672.0,854.0,Calibrated radiocarbon years BP,56.0,2.0,pollen,8/25/2015,333.0,0.600600600601
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,808.0,700.0,896.0,Calibrated radiocarbon years BP,60.0,2.0,pollen,8/25/2015,270.0,1.11111111111
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,836.0,725.0,932.0,Calibrated radiocarbon years BP,64.0,2.0,pollen,8/25/2015,288.5,0.346620450607
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,898.0,774.0,1019.0,Calibrated radiocarbon years BP,71.0,2.0,pollen,8/25/2015,339.5,0.883652430044
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,906.0,780.0,1029.0,Calibrated radiocarbon years BP,71.5,2.0,pollen,8/25/2015,290.0,0.344827586207
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,1052.0,852.0,1263.0,Calibrated radiocarbon years BP,79.0,2.0,pollen,8/25/2015,286.0,0.34965034965
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,1224.0,951.0,1468.0,Calibrated radiocarbon years BP,83.0,2.0,pollen,8/25/2015,273.0,0.732600732601
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,3053.0,2848.0,3285.0,Calibrated radiocarbon years BP,103.0,2.0,pollen,8/25/2015,339.0,0.884955752212
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,3434.0,3197.0,3723.0,Calibrated radiocarbon years BP,107.0,2.0,pollen,8/25/2015,309.0,0.323624595469
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,3744.0,3604.0,3871.0,Calibrated radiocarbon years BP,111.0,2.0,pollen,8/25/2015,318.0,0.314465408805
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,3975.0,3813.0,4106.0,Calibrated radiocarbon years BP,119.0,2.0,pollen,8/25/2015,305.0,0.327868852459
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,7.0,NISP,pollen,,4081.0,3921.0,4237.0,Calibrated radiocarbon years BP,127.0,2.0,pollen,8/25/2015,315.0,2.22222222222
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,4127.0,3967.0,4305.0,Calibrated radiocarbon years BP,131.0,2.0,pollen,8/25/2015,141.0,1.41843971631
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,4316.0,4134.0,4525.0,Calibrated radiocarbon years BP,145.0,2.0,pollen,8/25/2015,275.0,1.09090909091
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,4408.0,4213.0,4606.0,Calibrated radiocarbon years BP,149.0,2.0,pollen,8/25/2015,314.0,0.955414012739
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,1.0,NISP,pollen,,4593.0,4426.0,4758.0,Calibrated radiocarbon years BP,157.0,2.0,pollen,8/25/2015,303.0,0.3300330033
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,4833.0,4662.0,5047.0,Calibrated radiocarbon years BP,171.0,2.0,pollen,8/25/2015,278.0,0.719424460432
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,2.0,NISP,pollen,,4889.0,4707.0,5138.0,Calibrated radiocarbon years BP,175.0,2.0,pollen,8/25/2015,312.0,0.641025641026
11616,Fakahatchee Strand Preserve State Park,25.9604,-81.4509,25.9816,25.9392,-81.4417,-81.4601,Vascular plants,Myrica cerifera,3.0,NISP,pollen,,4919.0,4747.0,5179.0,Calibrated radiocarbon years BP,177.0,2.0,pollen,8/25/2015,419.0,0.715990453461
