siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,4378.0,,,Radiocarbon years BP,120.0,500.0,pollen,6/30/2007,426.0,0.234741784038
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,4444.0,,,Radiocarbon years BP,140.0,500.0,pollen,6/30/2007,307.0,0.325732899023
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,5.0,NISP,pollen,,4843.0,,,Radiocarbon years BP,260.0,500.0,pollen,6/30/2007,384.0,1.30208333333
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,5042.0,,,Radiocarbon years BP,320.0,500.0,pollen,6/30/2007,353.0,0.28328611898
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,5109.0,,,Radiocarbon years BP,340.0,500.0,pollen,6/30/2007,330.0,0.30303030303
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,2.0,NISP,pollen,,5241.0,,,Radiocarbon years BP,380.0,500.0,pollen,6/30/2007,370.0,0.540540540541
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,5441.0,,,Radiocarbon years BP,440.0,500.0,pollen,6/30/2007,307.0,0.325732899023
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,6442.0,,,Radiocarbon years BP,540.0,500.0,pollen,6/30/2007,315.0,0.31746031746
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,7244.0,,,Radiocarbon years BP,580.0,500.0,pollen,6/30/2007,301.0,0.332225913621
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,7646.0,,,Radiocarbon years BP,600.0,500.0,pollen,6/30/2007,256.0,0.390625
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,8047.0,,,Radiocarbon years BP,620.0,500.0,pollen,6/30/2007,353.0,0.28328611898
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,8849.0,,,Radiocarbon years BP,660.0,500.0,pollen,6/30/2007,343.0,0.291545189504
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,2.0,NISP,pollen,,9250.0,,,Radiocarbon years BP,680.0,500.0,pollen,6/30/2007,334.0,0.59880239521
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,9413.0,,,Radiocarbon years BP,740.0,500.0,pollen,6/30/2007,326.0,0.306748466258
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,9554.0,,,Radiocarbon years BP,780.0,500.0,pollen,6/30/2007,432.0,0.231481481481
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,4.0,NISP,pollen,,10018.0,,,Radiocarbon years BP,880.0,500.0,pollen,6/30/2007,418.0,0.956937799043
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,1.0,NISP,pollen,,10185.0,,,Radiocarbon years BP,910.0,500.0,pollen,6/30/2007,405.0,0.246913580247
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,3.0,NISP,pollen,,10489.0,,,Radiocarbon years BP,960.0,500.0,pollen,6/30/2007,335.0,0.89552238806
342,Caunahue,-40.0,-72.0,-40.0,-40.0,-72.0,-72.0,Vascular plants,Nothofagus obliqua-type,4.0,NISP,pollen,,10685.0,,,Radiocarbon years BP,990.0,500.0,pollen,6/30/2007,499.0,0.801603206413
