SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Bass Pond,50.715050000000005,-57.374385000000004,40.0,1047.0,519.0,Calibrated radiocarbon years BP,OSTRYCAR,1.0,0.22522522522522523,5.0,BASSNFLD
Bass Pond,50.715050000000005,-57.374385000000004,3942.0,5377.0,4606.0,Calibrated radiocarbon years BP,OSTRYCAR,1.0,0.17921146953405018,70.0,BASSNFLD
Bass Pond,50.715050000000005,-57.374385000000004,5013.0,5991.0,5635.0,Calibrated radiocarbon years BP,OSTRYCAR,1.0,0.19120458891013384,80.0,BASSNFLD
Island Lake,47.830254999999994,-66.18226999999999,3936.0,5681.0,4865.0,Calibrated radiocarbon years BP,OSTRYCAR,1.0,0.19723865877712032,245.0,MS7812X
Island Lake,47.830254999999994,-66.18226999999999,5349.0,6653.0,6068.0,Calibrated radiocarbon years BP,OSTRYCAR,1.0,0.18761726078799248,305.0,MS7812X
Rice Lake,44.199085,-78.14232,2678.0,4663.0,3550.0,Calibrated radiocarbon years BP,OSTRYCAR,5.0,4.098360655737705,375.0,RICEMSH2
Dugas Bay Bog,46.310276992702896,-79.3808362591486,-100.0,32.0,-34.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.3745318289402774,0.0,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,22.0,832.0,329.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.42918455315364856,9.99999984306749,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,224.0,1425.0,705.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.43668122794908415,19.999999686135,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,466.0,1963.0,1079.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.48543688753609776,29.9999995292025,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,751.0,2489.0,1453.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.4504504365068832,39.99999937227,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,1033.0,2966.0,1827.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.47846890109474244,49.9999992153375,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,1939.0,3664.0,2728.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.4629629614900661,90.0000020235813,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,2163.0,3823.0,2940.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.4761904754113437,99.9999984306749,DUGASBAY
Dugas Bay Bog,46.310276992702896,-79.3808362591486,2638.0,4129.0,3368.0,Calibrated radiocarbon years BP,OSTRYCAR,0.99999998430675,0.46948354914162893,119.999994680836,DUGASBAY
