siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,16771.0,,,Radiocarbon years BP,230.0,20.0,pollen,6/30/2007,355.0,0.281690140845
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,22503.0,,,Radiocarbon years BP,290.0,20.0,pollen,6/30/2007,565.0,0.176991150442
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,22981.0,,,Radiocarbon years BP,295.0,20.0,pollen,6/30/2007,509.0,0.196463654224
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,3.0,NISP,pollen,,25370.0,,,Radiocarbon years BP,320.0,20.0,pollen,6/30/2007,465.0,0.645161290323
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,27280.0,,,Radiocarbon years BP,340.0,20.0,pollen,6/30/2007,631.0,0.158478605388
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,3.0,NISP,pollen,,28236.0,,,Radiocarbon years BP,350.0,20.0,pollen,6/30/2007,557.0,0.538599640934
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,31102.0,,,Radiocarbon years BP,380.0,20.0,pollen,6/30/2007,445.0,0.224719101124
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,2.0,NISP,pollen,,33013.0,,,Radiocarbon years BP,400.0,20.0,pollen,6/30/2007,458.0,0.436681222707
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,33968.0,,,Radiocarbon years BP,410.0,20.0,pollen,6/30/2007,518.0,0.19305019305
21,"Alazeya River Exposure, 8 m Terrace",68.5,154.5,68.5,68.5,154.5,154.5,Vascular plants,Onagraceae undiff.,11.0,NISP,pollen,,10440.0,,,Radiocarbon years BP,399.5,40.0,pollen,6/30/2007,486.0,2.2633744856
255,"Betenkyos Exposure, Adycha River",67.666667,135.583333,67.666667,67.666667,135.583333,135.583333,Vascular plants,Onagraceae undiff.,3.0,NISP,pollen,,0.0,,,Radiocarbon years BP,0.0,135.0,pollen,6/30/2007,413.0,0.726392251816
255,"Betenkyos Exposure, Adycha River",67.666667,135.583333,67.666667,67.666667,135.583333,135.583333,Vascular plants,Onagraceae undiff.,3.0,NISP,pollen,,178.0,,,Radiocarbon years BP,30.0,135.0,pollen,6/30/2007,456.0,0.657894736842
255,"Betenkyos Exposure, Adycha River",67.666667,135.583333,67.666667,67.666667,135.583333,135.583333,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,296.0,,,Radiocarbon years BP,50.0,135.0,pollen,6/30/2007,330.0,0.30303030303
255,"Betenkyos Exposure, Adycha River",67.666667,135.583333,67.666667,67.666667,135.583333,135.583333,Vascular plants,Onagraceae undiff.,1.0,NISP,pollen,,474.0,,,Radiocarbon years BP,80.0,135.0,pollen,6/30/2007,484.0,0.206611570248
