siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
217,Lac des Atocas,45.543056,-73.311111,45.543056,45.543056,-73.311111,-73.311111,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,832.0,,,Radiocarbon years BP,75.0,114.0,pollen,6/30/2007,464.0,0.215517241379
217,Lac des Atocas,45.543056,-73.311111,45.543056,45.543056,-73.311111,-73.311111,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,1942.0,,,Radiocarbon years BP,175.0,114.0,pollen,6/30/2007,711.0,0.14064697609
217,Lac des Atocas,45.543056,-73.311111,45.543056,45.543056,-73.311111,-73.311111,Vascular plants,Osmunda regalis-type,2.0,NISP,spore,,2497.0,,,Radiocarbon years BP,225.0,114.0,pollen,6/30/2007,474.0,0.42194092827
217,Lac des Atocas,45.543056,-73.311111,45.543056,45.543056,-73.311111,-73.311111,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,3502.0,,,Radiocarbon years BP,325.0,114.0,pollen,6/30/2007,393.0,0.254452926209
217,Lac des Atocas,45.543056,-73.311111,45.543056,45.543056,-73.311111,-73.311111,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,3691.0,,,Radiocarbon years BP,350.0,114.0,pollen,6/30/2007,439.0,0.227790432802
217,Lac des Atocas,45.543056,-73.311111,45.543056,45.543056,-73.311111,-73.311111,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,3881.0,,,Radiocarbon years BP,375.0,114.0,pollen,6/30/2007,536.0,0.186567164179
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,219.0,,,Radiocarbon years BP,110.0,262.0,pollen,6/30/2007,767.0,0.13037809648
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,1.0,NISP,spore,,265.0,,,Radiocarbon years BP,130.0,262.0,pollen,6/30/2007,648.0,0.154320987654
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,2.0,NISP,spore,,310.0,,,Radiocarbon years BP,150.0,262.0,pollen,6/30/2007,1185.0,0.168776371308
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,5.0,NISP,spore,,356.0,,,Radiocarbon years BP,170.0,262.0,pollen,6/30/2007,455.0,1.0989010989
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,33.0,NISP,spore,,379.0,,,Radiocarbon years BP,180.0,262.0,pollen,6/30/2007,405.0,8.14814814815
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,67.0,NISP,spore,,390.0,,,Radiocarbon years BP,185.0,262.0,pollen,6/30/2007,377.0,17.7718832891
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,27.0,NISP,spore,,401.0,,,Radiocarbon years BP,190.0,262.0,pollen,6/30/2007,520.0,5.19230769231
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,59.0,NISP,spore,,413.0,,,Radiocarbon years BP,195.0,262.0,pollen,6/30/2007,351.0,16.8091168091
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,67.0,NISP,spore,,424.0,,,Radiocarbon years BP,200.0,262.0,pollen,6/30/2007,384.0,17.4479166667
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,75.0,NISP,spore,,430.0,,,Radiocarbon years BP,202.5,262.0,pollen,6/30/2007,352.0,21.3068181818
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,60.0,NISP,spore,,528.0,,,Radiocarbon years BP,205.0,262.0,pollen,6/30/2007,345.0,17.3913043478
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,47.0,NISP,spore,,626.0,,,Radiocarbon years BP,207.5,262.0,pollen,6/30/2007,348.0,13.5057471264
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,56.0,NISP,spore,,724.0,,,Radiocarbon years BP,210.0,262.0,pollen,6/30/2007,357.0,15.6862745098
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,57.0,NISP,spore,,822.0,,,Radiocarbon years BP,212.5,262.0,pollen,6/30/2007,343.0,16.6180758017
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,85.0,NISP,spore,,920.0,,,Radiocarbon years BP,215.0,262.0,pollen,6/30/2007,332.0,25.6024096386
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,74.0,NISP,spore,,1018.0,,,Radiocarbon years BP,217.5,262.0,pollen,6/30/2007,336.0,22.0238095238
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,58.0,NISP,spore,,1116.0,,,Radiocarbon years BP,220.0,262.0,pollen,6/30/2007,347.0,16.7146974063
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Osmunda regalis-type,98.0,NISP,spore,,1214.0,,,Radiocarbon years BP,222.5,262.0,pollen,6/30/2007,350.0,28.0
