siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
200,Amtkel,43.268056,41.308333,43.268056,43.268056,41.308333,41.308333,Vascular plants,Osmunda regalis,8,NISP,spore,,756,,,Radiocarbon years BP,37,1830,pollen,6/30/2007,527,1.518026565
200,Amtkel,43.268056,41.308333,43.268056,43.268056,41.308333,41.308333,Vascular plants,Osmunda regalis,2,NISP,spore,,1839,,,Radiocarbon years BP,103,1830,pollen,6/30/2007,243,0.823045267
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Osmunda regalis,1,NISP,spore,,1566,,,Radiocarbon years BP,19,490,pollen,6/30/2007,652,0.153374233
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Osmunda regalis,2,NISP,spore,,4414,,,Radiocarbon years BP,40,490,pollen,6/30/2007,295.5,0.676818951
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Osmunda regalis,1,NISP,spore,,5105,,,Radiocarbon years BP,50,490,pollen,6/30/2007,2186,0.045745654
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Osmunda regalis,0.5,NISP,spore,,5795,,,Radiocarbon years BP,60,490,pollen,6/30/2007,945.5,0.052882073
235,Lac Bastien,46.4,-78.916667,46.4,46.4,-78.916667,-78.916667,Vascular plants,Osmunda regalis,1,NISP,spore,,6428,,,Radiocarbon years BP,1229,305,pollen,6/30/2007,1015,0.098522167
235,Lac Bastien,46.4,-78.916667,46.4,46.4,-78.916667,-78.916667,Vascular plants,Osmunda regalis,1,NISP,spore,,7224,,,Radiocarbon years BP,1264,305,pollen,6/30/2007,1126,0.088809947
831,Gagra,43.283333,40.266667,43.283333,43.283333,40.266667,40.266667,Vascular plants,Osmunda regalis,1,NISP,spore,,2940,,,Radiocarbon years BP,510,4,pollen,6/30/2007,180,0.555555556
831,Gagra,43.283333,40.266667,43.283333,43.283333,40.266667,40.266667,Vascular plants,Osmunda regalis,1,NISP,spore,,5095,,,Radiocarbon years BP,850,4,pollen,6/30/2007,266,0.37593985
831,Gagra,43.283333,40.266667,43.283333,43.283333,40.266667,40.266667,Vascular plants,Osmunda regalis,1,NISP,spore,,5754,,,Radiocarbon years BP,1185,4,pollen,6/30/2007,233,0.429184549
831,Gagra,43.283333,40.266667,43.283333,43.283333,40.266667,40.266667,Vascular plants,Osmunda regalis,1,NISP,spore,,5803,,,Radiocarbon years BP,1210,4,pollen,6/30/2007,163,0.613496933
