SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Eagle Lake,51.040645,-118.15376499999999,-56.0,-44.0,-50.0,Calibrated radiocarbon years BP,PINUSX,177.0,34.16988416988417,0.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,-24.0,1003.0,333.0,Calibrated radiocarbon years BP,PINUSX,145.0,28.3203125,4.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,109.0,1567.0,715.0,Calibrated radiocarbon years BP,PINUSX,189.0,34.87084870848708,8.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,333.0,2065.0,1101.0,Calibrated radiocarbon years BP,PINUSX,147.0,28.937007874015748,12.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,-56.0,-44.0,-50.0,Calibrated radiocarbon years BP,PINUSX,177.0,34.16988416988417,0.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,-24.0,1003.0,333.0,Calibrated radiocarbon years BP,PINUSX,145.0,28.3203125,4.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,109.0,1567.0,715.0,Calibrated radiocarbon years BP,PINUSX,189.0,34.87084870848708,8.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,333.0,2065.0,1101.0,Calibrated radiocarbon years BP,PINUSX,147.0,28.937007874015748,12.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,595.0,2440.0,1486.0,Calibrated radiocarbon years BP,PINUSX,152.0,28.952380952380953,16.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,767.0,2585.0,1680.0,Calibrated radiocarbon years BP,PINUSX,154.0,29.902912621359224,18.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,883.0,2830.0,1872.0,Calibrated radiocarbon years BP,PINUSX,159.0,29.608938547486037,20.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,1177.0,2921.0,2088.0,Calibrated radiocarbon years BP,PINUSX,161.0,29.65009208103131,22.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,1377.0,3064.0,2305.0,Calibrated radiocarbon years BP,PINUSX,104.0,19.659735349716446,24.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,1886.0,3312.0,2699.0,Calibrated radiocarbon years BP,PINUSX,135.0,26.522593320235753,28.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,2488.0,3528.0,3073.0,Calibrated radiocarbon years BP,PINUSX,106.0,20.384615384615383,32.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3060.0,3732.0,3429.0,Calibrated radiocarbon years BP,PINUSX,145.0,24.95697074010327,36.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3222.0,3881.0,3582.0,Calibrated radiocarbon years BP,PINUSX,162.0,29.18918918918919,38.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3426.0,4360.0,3860.0,Calibrated radiocarbon years BP,PINUSX,212.0,37.65541740674956,42.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3484.0,4596.0,3987.0,Calibrated radiocarbon years BP,PINUSX,160.0,31.372549019607842,44.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3640.0,4933.0,4232.0,Calibrated radiocarbon years BP,PINUSX,155.0,29.245283018867923,48.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3813.0,5258.0,4478.0,Calibrated radiocarbon years BP,PINUSX,162.0,26.776859504132233,52.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,3980.0,5534.0,4723.0,Calibrated radiocarbon years BP,PINUSX,174.0,29.794520547945208,56.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,4158.0,5810.0,4970.0,Calibrated radiocarbon years BP,PINUSX,169.0,32.87937743190661,60.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,4372.0,6033.0,5219.0,Calibrated radiocarbon years BP,PINUSX,178.0,30.16949152542373,64.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,4621.0,6236.0,5472.0,Calibrated radiocarbon years BP,PINUSX,156.0,28.99628252788104,68.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,4871.0,6429.0,5719.0,Calibrated radiocarbon years BP,PINUSX,146.0,27.547169811320753,72.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,5115.0,6606.0,5961.0,Calibrated radiocarbon years BP,PINUSX,141.0,27.220077220077222,76.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,5382.0,6774.0,6205.0,Calibrated radiocarbon years BP,PINUSX,142.0,26.151012891344383,80.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,7082.0,8051.0,7469.0,Calibrated radiocarbon years BP,PINUSX,177.0,32.299270072992705,97.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,7283.0,9119.0,8006.0,Calibrated radiocarbon years BP,PINUSX,172.0,33.01343570057582,102.0,EAGLEBC
Eagle Lake,51.040645,-118.15376499999999,7631.0,10104.0,8674.0,Calibrated radiocarbon years BP,PINUSX,164.0,32.03125,108.0,EAGLEBC
Little Fish Lake,51.377375,-112.233625,,,19.0,Calendar years BP,PINUSX,247.0,73.29376854599407,6.0,LTLFISH
Little Fish Lake,51.377375,-112.233625,,,33.0,Calendar years BP,PINUSX,253.0,73.121387283237,8.0,LTLFISH
Little Fish Lake,51.377375,-112.233625,,,47.0,Calendar years BP,PINUSX,61.0,61.61616161616161,10.0,LTLFISH
Little Fish Lake,51.377375,-112.233625,,,61.0,Calendar years BP,PINUSX,224.0,68.71165644171779,12.0,LTLFISH
Little Fish Lake,51.377375,-112.233625,,,76.0,Calendar years BP,PINUSX,289.0,78.96174863387978,14.0,LTLFISH
Red Deer Lake,52.723194444444445,-113.0616666666665,,,-24.0,Calendar years BP,PINUSX,191.0,54.26136363636363,0.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,-5.0,Calendar years BP,PINUSX,184.0,52.124645892351275,2.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,13.0,Calendar years BP,PINUSX,179.0,47.98927613941019,4.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,32.0,Calendar years BP,PINUSX,174.0,47.540983606557376,6.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,51.0,Calendar years BP,PINUSX,194.0,51.32275132275132,8.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,69.0,Calendar years BP,PINUSX,176.0,47.56756756756757,10.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,88.0,Calendar years BP,PINUSX,163.0,45.65826330532213,12.0,REDDEER
Red Deer Lake,52.723194444444445,-113.0616666666665,,,107.0,Calendar years BP,PINUSX,183.0,50.413223140495866,14.0,REDDEER
Dog Lake,50.780545000000004,-115.92976999999999,4334.0,5069.0,4747.0,Calibrated radiocarbon years BP,PINUSX,5.0,0.945179584120983,93.0,DOGLKBC
Dog Lake,50.780545000000004,-115.92976999999999,4504.0,5314.0,4932.0,Calibrated radiocarbon years BP,PINUSX,17.0,2.4890190336749636,102.0,DOGLKBC
Two Frog Lake,51.106595,-127.534035,-55.0,-49.0,-52.0,Calibrated radiocarbon years BP,PINUSX,7.0,1.6786570743405276,0.0,TWOFROG
Two Frog Lake,51.106595,-127.534035,-3.0,562.0,218.0,Calibrated radiocarbon years BP,PINUSX,12.0,2.0654044750430294,10.0,TWOFROG
Two Frog Lake,51.106595,-127.534035,246.0,1062.0,618.0,Calibrated radiocarbon years BP,PINUSX,21.0,2.5059665871121717,24.0,TWOFROG
