SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Banks Island 74MS12,72.366667,-119.833333,,,154,Radiocarbon years BP,PLANTAGINX,5,1.506024096,4,BI74MS12
Compass Pond,50.034167,-56.196389,,,1676,Radiocarbon years BP,PLANTAGINX,1,0.287356322,80,COMPASS
Devon Island Glacier,75.35,-82.5,,,1372,Radiocarbon years BP,PLANTAGINX,1,4.166666667,19090,DEVON4
E Lake,50.69095,-99.65835,,,435,Radiocarbon years BP,PLANTAGINX,1,0.073313783,10,ELAKE68
E Lake,50.69095,-99.65835,,,814,Radiocarbon years BP,PLANTAGINX,1,0.076569678,20,ELAKE68
E Lake,50.69095,-99.65835,,,1221,Radiocarbon years BP,PLANTAGINX,2,0.214592275,45,ELAKE68
E Lake,50.69095,-99.65835,,,1526,Radiocarbon years BP,PLANTAGINX,1,0.24691358,60,ELAKE68
E Lake,50.69095,-99.65835,,,1848,Radiocarbon years BP,PLANTAGINX,1,0.132450331,75,ELAKE68
E Lake,50.69095,-99.65835,,,2118,Radiocarbon years BP,PLANTAGINX,1,0.166112957,85,ELAKE68
E Lake,50.69095,-99.65835,,,2253,Radiocarbon years BP,PLANTAGINX,1,0.085616438,90,ELAKE68
E Lake,50.69095,-99.65835,,,3470,Radiocarbon years BP,PLANTAGINX,1,0.36900369,135,ELAKE68
E Lake,50.69095,-99.65835,,,6202,Radiocarbon years BP,PLANTAGINX,1,0.332225914,235,ELAKE68
E Lake,50.69095,-99.65835,,,7364,Radiocarbon years BP,PLANTAGINX,1,0.143266476,285,ELAKE68
E Lake,50.69095,-99.65835,,,7565,Radiocarbon years BP,PLANTAGINX,1,0.208333333,315,ELAKE68
E Lake,50.69095,-99.65835,,,7632,Radiocarbon years BP,PLANTAGINX,1,0.285714286,325,ELAKE68
E Lake,50.69095,-99.65835,,,7700,Radiocarbon years BP,PLANTAGINX,1,0.290697674,335,ELAKE68
E Lake,50.69095,-99.65835,,,10104,Radiocarbon years BP,PLANTAGINX,1,0.118483412,405,ELAKE68
Grenadier Pond,43.64,-79.47,,,-29,Radiocarbon years BP,PLANTAGINX,6,1.986754967,1,GRENADIE
Grenadier Pond,43.64,-79.47,,,-3,Radiocarbon years BP,PLANTAGINX,1,0.326797386,20,GRENADIE
Grenadier Pond,43.64,-79.47,,,11,Radiocarbon years BP,PLANTAGINX,2,0.643086817,30,GRENADIE
