SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Lac Montagnais,47.907778,-71.175,,,1640,Radiocarbon years BP,POLYPOD,1,0.110741971,80,MONTAGNA
Lac Montagnais,47.907778,-71.175,,,5331,Radiocarbon years BP,POLYPOD,1,0.182481752,260,MONTAGNA
Logan Inlet,52.78041667,-131.6897222,12088,12441,12261,Calibrated radiocarbon years BP,POLYPOD,59,11.56862745,450,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12176,12514,12346,Calibrated radiocarbon years BP,POLYPOD,60,10.99908341,460,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12269,12583,12431,Calibrated radiocarbon years BP,POLYPOD,47,8.711770158,470,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12380,12652,12516,Calibrated radiocarbon years BP,POLYPOD,26,4.757548033,480,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12466,12737,12598,Calibrated radiocarbon years BP,POLYPOD,26,5.068226121,490,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12577,12845,12697,Calibrated radiocarbon years BP,POLYPOD,32,6.393606394,502,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12667,12923,12764,Calibrated radiocarbon years BP,POLYPOD,16,3.174603175,510,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12707,12973,12807,Calibrated radiocarbon years BP,POLYPOD,13,2.497598463,515,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12774,13088,12907,Calibrated radiocarbon years BP,POLYPOD,23,4.586241276,526,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12799,13130,12944,Calibrated radiocarbon years BP,POLYPOD,19,3.826787513,530,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12833,13184,12989,Calibrated radiocarbon years BP,POLYPOD,49,9.015639374,535,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12859,13228,13026,Calibrated radiocarbon years BP,POLYPOD,36,9.625668449,539,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12881,13259,13053,Calibrated radiocarbon years BP,POLYPOD,60,11.56069364,542,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12910,13302,13089,Calibrated radiocarbon years BP,POLYPOD,34,6.779661017,546,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12938,13343,13124,Calibrated radiocarbon years BP,POLYPOD,30,5.976095618,550,LOGANIN
Logan Inlet,52.78041667,-131.6897222,12985,13404,13180,Calibrated radiocarbon years BP,POLYPOD,21,4.026845638,556,LOGANIN
Logan Inlet,52.78041667,-131.6897222,13104,13550,13316,Calibrated radiocarbon years BP,POLYPOD,29,5.83501006,571,LOGANIN
Logan Inlet,52.78041667,-131.6897222,13125,13583,13343,Calibrated radiocarbon years BP,POLYPOD,31,7.407407407,574,LOGANIN
Logan Inlet,52.78041667,-131.6897222,13174,13638,13397,Calibrated radiocarbon years BP,POLYPOD,35,6.445672192,580,LOGANIN
