siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
245,Beckman Lake,45.425,-93.183333,45.425,45.425,-93.183333,-93.183333,Vascular plants,Persicaria lapathifolia-type,1.0,NISP,pollen,,3460.0,,,Radiocarbon years BP,205.0,278.0,pollen,6/30/2007,313.0,0.319488817891
266,Big John Pond,47.559175,-94.970775,47.56018,47.55817,-94.96931,-94.97224,Vascular plants,Persicaria lapathifolia-type,2.0,NISP,pollen,,1154.0,,,Radiocarbon years BP,50.0,421.0,pollen,6/30/2007,385.0,0.519480519481
266,Big John Pond,47.559175,-94.970775,47.56018,47.55817,-94.96931,-94.97224,Vascular plants,Persicaria lapathifolia-type,1.0,NISP,pollen,,3053.0,,,Radiocarbon years BP,115.0,421.0,pollen,6/30/2007,390.0,0.25641025641
266,Big John Pond,47.559175,-94.970775,47.56018,47.55817,-94.96931,-94.97224,Vascular plants,Persicaria lapathifolia-type,2.0,NISP,pollen,,3937.0,,,Radiocarbon years BP,145.0,421.0,pollen,6/30/2007,387.5,0.516129032258
269,Billy's Lake,46.27058,-94.551555,46.27186,46.2693,-94.54948,-94.55363,Vascular plants,Persicaria lapathifolia-type,1.0,NISP,pollen,,506.0,,,Radiocarbon years BP,244.0,383.0,pollen,6/30/2007,249.0,0.401606425703
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Persicaria lapathifolia-type,1.0,NISP,pollen,,606.0,,,Radiocarbon years BP,10.0,620.0,pollen,6/30/2007,438.0,0.228310502283
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Persicaria lapathifolia-type,1.0,NISP,pollen,,2425.0,,,Radiocarbon years BP,40.0,620.0,pollen,6/30/2007,333.0,0.3003003003
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Persicaria lapathifolia-type,4.0,NISP,pollen,,3031.0,,,Radiocarbon years BP,50.0,620.0,pollen,6/30/2007,364.0,1.0989010989
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Persicaria lapathifolia-type,1.0,NISP,pollen,,3638.0,,,Radiocarbon years BP,60.0,620.0,pollen,6/30/2007,375.0,0.266666666667
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Persicaria lapathifolia-type,4.0,NISP,pollen,,4244.0,,,Radiocarbon years BP,70.0,620.0,pollen,6/30/2007,488.0,0.819672131148
