siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
16,Ahlenmoor,53.7,8.733333,53.7,53.7,8.733333,8.733333,Vascular plants,Persicaria maculosa,1.0,NISP,pollen,,1089.0,,,Radiocarbon years BP,16.0,2.0,pollen,6/30/2007,990.0,0.10101010101
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,2.0,NISP,pollen,,12158.0,,,Radiocarbon years BP,405.0,250.0,pollen,6/30/2007,369.0,0.542005420054
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,1.0,NISP,pollen,,12229.0,,,Radiocarbon years BP,415.0,250.0,pollen,6/30/2007,393.0,0.254452926209
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,7.0,NISP,pollen,,12299.0,,,Radiocarbon years BP,425.0,250.0,pollen,6/30/2007,484.0,1.44628099174
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,1.0,NISP,pollen,,12630.0,,,Radiocarbon years BP,475.0,250.0,pollen,6/30/2007,297.0,0.3367003367
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,2.0,NISP,pollen,,12693.0,,,Radiocarbon years BP,485.0,250.0,pollen,6/30/2007,302.0,0.662251655629
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,1.0,NISP,pollen,,12755.0,,,Radiocarbon years BP,495.0,250.0,pollen,6/30/2007,350.0,0.285714285714
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,1.0,NISP,pollen,,12817.0,,,Radiocarbon years BP,505.0,250.0,pollen,6/30/2007,323.0,0.30959752322
224,Ballybetagh,53.166667,-6.25,53.166667,53.166667,-6.25,-6.25,Vascular plants,Persicaria maculosa,2.0,NISP,pollen,,13024.0,,,Radiocarbon years BP,540.0,250.0,pollen,6/30/2007,287.0,0.696864111498
305,Brophy Ditch,43.22,-81.73,43.22,43.22,-81.73,-81.73,Vascular plants,Persicaria maculosa,1.0,NISP,pollen,,2618.0,,,Radiocarbon years BP,70.0,184.0,pollen,6/30/2007,747.0,0.133868808568
