siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,2.0,NISP,pollen,,10362.0,,,Radiocarbon years BP,175.0,620.0,pollen,6/30/2007,454.0,0.440528634361
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,1.0,NISP,pollen,,10916.0,,,Radiocarbon years BP,185.0,620.0,pollen,6/30/2007,490.0,0.204081632653
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,2.0,NISP,pollen,,13027.0,,,Radiocarbon years BP,230.1,620.0,pollen,6/30/2007,362.0,0.552486187845
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,2.0,NISP,pollen,,13945.0,,,Radiocarbon years BP,310.1,620.0,pollen,6/30/2007,426.0,0.469483568075
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,4.0,NISP,pollen,,14173.0,,,Radiocarbon years BP,330.0,620.0,pollen,6/30/2007,423.0,0.945626477541
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,18.0,NISP,pollen,,14230.0,,,Radiocarbon years BP,335.0,620.0,pollen,6/30/2007,426.0,4.22535211268
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,1.0,NISP,pollen,,14288.0,,,Radiocarbon years BP,340.0,620.0,pollen,6/30/2007,402.0,0.248756218905
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,14.0,NISP,pollen,,14473.0,,,Radiocarbon years BP,345.0,620.0,pollen,6/30/2007,434.0,3.22580645161
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,4.0,NISP,pollen,,14712.0,,,Radiocarbon years BP,350.0,620.0,pollen,6/30/2007,377.0,1.06100795756
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,14.0,NISP,pollen,,15670.0,,,Radiocarbon years BP,370.0,620.0,pollen,6/30/2007,481.0,2.9106029106
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,28.0,NISP,pollen,,16148.0,,,Radiocarbon years BP,380.0,620.0,pollen,6/30/2007,500.0,5.6
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,21.0,NISP,pollen,,16627.0,,,Radiocarbon years BP,390.0,620.0,pollen,6/30/2007,434.0,4.83870967742
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,27.0,NISP,pollen,,17111.0,,,Radiocarbon years BP,400.1,620.0,pollen,6/30/2007,561.0,4.8128342246
309,Browns Pond,38.154722,-79.616389,38.154722,38.154722,-79.616389,-79.616389,Vascular plants,Picea mariana,11.0,NISP,pollen,,17345.0,,,Radiocarbon years BP,405.0,620.0,pollen,6/30/2007,449.0,2.44988864143
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,42.0,NISP,pollen,,0.0,,,Radiocarbon years BP,1.0,1040.0,pollen,6/30/2007,109.0,38.5321100917
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,39.0,NISP,pollen,,192.0,,,Radiocarbon years BP,9.0,1040.0,pollen,6/30/2007,174.0,22.4137931034
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,31.0,NISP,pollen,,288.0,,,Radiocarbon years BP,13.0,1040.0,pollen,6/30/2007,347.0,8.93371757925
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,43.0,NISP,pollen,,385.0,,,Radiocarbon years BP,17.0,1040.0,pollen,6/30/2007,145.0,29.6551724138
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,48.0,NISP,pollen,,481.0,,,Radiocarbon years BP,21.0,1040.0,pollen,6/30/2007,275.0,17.4545454545
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,67.0,NISP,pollen,,577.0,,,Radiocarbon years BP,25.0,1040.0,pollen,6/30/2007,418.0,16.028708134
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,85.0,NISP,pollen,,673.0,,,Radiocarbon years BP,29.0,1040.0,pollen,6/30/2007,365.0,23.2876712329
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,131.0,NISP,pollen,,769.0,,,Radiocarbon years BP,33.0,1040.0,pollen,6/30/2007,395.0,33.164556962
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,80.0,NISP,pollen,,865.0,,,Radiocarbon years BP,37.0,1040.0,pollen,6/30/2007,333.0,24.024024024
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,135.0,NISP,pollen,,962.0,,,Radiocarbon years BP,41.0,1040.0,pollen,6/30/2007,321.0,42.0560747664
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,91.0,NISP,pollen,,1058.0,,,Radiocarbon years BP,45.0,1040.0,pollen,6/30/2007,345.0,26.3768115942
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,55.0,NISP,pollen,,1154.0,,,Radiocarbon years BP,49.0,1040.0,pollen,6/30/2007,310.0,17.7419354839
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,91.0,NISP,pollen,,1202.0,,,Radiocarbon years BP,51.0,1040.0,pollen,6/30/2007,355.0,25.6338028169
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,70.0,NISP,pollen,,1250.0,,,Radiocarbon years BP,53.0,1040.0,pollen,6/30/2007,326.0,21.472392638
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,60.0,NISP,pollen,,1354.0,,,Radiocarbon years BP,55.0,1040.0,pollen,6/30/2007,397.0,15.1133501259
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,102.0,NISP,pollen,,1616.0,,,Radiocarbon years BP,60.0,1040.0,pollen,6/30/2007,364.0,28.021978022
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,86.0,NISP,pollen,,1877.0,,,Radiocarbon years BP,65.0,1040.0,pollen,6/30/2007,323.0,26.6253869969
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,87.0,NISP,pollen,,2138.0,,,Radiocarbon years BP,70.0,1040.0,pollen,6/30/2007,317.0,27.4447949527
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,83.0,NISP,pollen,,2399.0,,,Radiocarbon years BP,75.0,1040.0,pollen,6/30/2007,368.0,22.5543478261
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,104.0,NISP,pollen,,2637.0,,,Radiocarbon years BP,80.0,1040.0,pollen,6/30/2007,370.0,28.1081081081
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,82.0,NISP,pollen,,2851.0,,,Radiocarbon years BP,85.0,1040.0,pollen,6/30/2007,363.0,22.5895316804
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,84.0,NISP,pollen,,3065.0,,,Radiocarbon years BP,90.0,1040.0,pollen,6/30/2007,298.0,28.1879194631
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,67.0,NISP,pollen,,3279.0,,,Radiocarbon years BP,95.0,1040.0,pollen,6/30/2007,310.0,21.6129032258
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,119.0,NISP,pollen,,3493.0,,,Radiocarbon years BP,100.0,1040.0,pollen,6/30/2007,360.0,33.0555555556
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,104.0,NISP,pollen,,3688.0,,,Radiocarbon years BP,105.0,1040.0,pollen,6/30/2007,348.0,29.8850574713
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,95.0,NISP,pollen,,3863.0,,,Radiocarbon years BP,110.0,1040.0,pollen,6/30/2007,317.0,29.9684542587
329,Candelabra Lake,61.683333,-130.65,61.683333,61.683333,-130.65,-130.65,Vascular plants,Picea mariana,96.0,NISP,pollen,,4038.0,,,Radiocarbon years BP,115.0,1040.0,pollen,6/30/2007,365.0,26.301369863
