siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,35.0,NISP,pollen,,149.0,,,Radiocarbon years BP,5.0,155.0,pollen,6/30/2007,344.0,10.1744186047
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,67.0,NISP,pollen,,535.0,,,Radiocarbon years BP,15.0,155.0,pollen,6/30/2007,314.0,21.3375796178
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,68.0,NISP,pollen,,921.0,,,Radiocarbon years BP,25.0,155.0,pollen,6/30/2007,382.0,17.8010471204
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,97.0,NISP,pollen,,1307.0,,,Radiocarbon years BP,35.0,155.0,pollen,6/30/2007,317.0,30.5993690852
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,71.0,NISP,pollen,,1693.0,,,Radiocarbon years BP,45.0,155.0,pollen,6/30/2007,313.0,22.6837060703
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,112.0,NISP,pollen,,2079.0,,,Radiocarbon years BP,55.0,155.0,pollen,6/30/2007,324.0,34.5679012346
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,29.0,NISP,pollen,,2465.0,,,Radiocarbon years BP,65.0,155.0,pollen,6/30/2007,333.0,8.70870870871
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,60.0,NISP,pollen,,2851.0,,,Radiocarbon years BP,75.0,155.0,pollen,6/30/2007,318.0,18.8679245283
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,58.0,NISP,pollen,,3237.0,,,Radiocarbon years BP,85.0,155.0,pollen,6/30/2007,321.0,18.0685358255
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,86.0,NISP,pollen,,3623.0,,,Radiocarbon years BP,95.0,155.0,pollen,6/30/2007,329.0,26.1398176292
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,130.0,NISP,pollen,,4009.0,,,Radiocarbon years BP,105.0,155.0,pollen,6/30/2007,346.0,37.5722543353
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,102.0,NISP,pollen,,4395.0,,,Radiocarbon years BP,115.0,155.0,pollen,6/30/2007,340.0,30.0
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,58.0,NISP,pollen,,4781.0,,,Radiocarbon years BP,125.0,155.0,pollen,6/30/2007,308.0,18.8311688312
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,50.0,NISP,pollen,,5167.0,,,Radiocarbon years BP,135.0,155.0,pollen,6/30/2007,321.0,15.5763239875
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,89.0,NISP,pollen,,5417.0,,,Radiocarbon years BP,145.0,155.0,pollen,6/30/2007,326.0,27.3006134969
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,75.0,NISP,pollen,,5531.0,,,Radiocarbon years BP,155.0,155.0,pollen,6/30/2007,341.0,21.9941348974
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,64.0,NISP,pollen,,5646.0,,,Radiocarbon years BP,165.0,155.0,pollen,6/30/2007,290.0,22.0689655172
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,70.0,NISP,pollen,,5760.0,,,Radiocarbon years BP,175.0,155.0,pollen,6/30/2007,312.0,22.4358974359
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,83.0,NISP,pollen,,5874.0,,,Radiocarbon years BP,185.0,155.0,pollen,6/30/2007,327.0,25.3822629969
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,68.0,NISP,pollen,,5989.0,,,Radiocarbon years BP,195.0,155.0,pollen,6/30/2007,341.0,19.9413489736
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,48.0,NISP,pollen,,6103.0,,,Radiocarbon years BP,205.0,155.0,pollen,6/30/2007,315.0,15.2380952381
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,90.0,NISP,pollen,,6217.0,,,Radiocarbon years BP,215.0,155.0,pollen,6/30/2007,353.0,25.4957507082
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,100.0,NISP,pollen,,6331.0,,,Radiocarbon years BP,225.0,155.0,pollen,6/30/2007,305.0,32.7868852459
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,112.0,NISP,pollen,,6446.0,,,Radiocarbon years BP,235.0,155.0,pollen,6/30/2007,331.0,33.836858006
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,80.0,NISP,pollen,,6560.0,,,Radiocarbon years BP,245.0,155.0,pollen,6/30/2007,316.0,25.3164556962
788,East Sooke Fen,48.351944,-123.681667,48.351944,48.351944,-123.681667,-123.681667,Vascular plants,Pinus contorta,115.0,NISP,pollen,,6674.0,,,Radiocarbon years BP,255.0,155.0,pollen,6/30/2007,344.0,33.4302325581
