siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,11.0,NISP,pollen,,16293.0,,,Radiocarbon years BP,225.0,20.0,pollen,6/30/2007,327.0,3.36391437309
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,11.0,NISP,pollen,,16771.0,,,Radiocarbon years BP,230.0,20.0,pollen,6/30/2007,355.0,3.0985915493
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,12.0,NISP,pollen,,17726.0,,,Radiocarbon years BP,240.0,20.0,pollen,6/30/2007,365.0,3.28767123288
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,8.0,NISP,pollen,,18204.0,,,Radiocarbon years BP,245.0,20.0,pollen,6/30/2007,365.0,2.19178082192
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,10.0,NISP,pollen,,18777.0,,,Radiocarbon years BP,251.0,20.0,pollen,6/30/2007,488.0,2.04918032787
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,6.0,NISP,pollen,,19350.0,,,Radiocarbon years BP,257.0,20.0,pollen,6/30/2007,610.0,0.983606557377
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,18.0,NISP,pollen,,22503.0,,,Radiocarbon years BP,290.0,20.0,pollen,6/30/2007,565.0,3.18584070796
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,21.0,NISP,pollen,,23745.0,,,Radiocarbon years BP,303.0,20.0,pollen,6/30/2007,758.0,2.77044854881
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,6.0,NISP,pollen,,24414.0,,,Radiocarbon years BP,310.0,20.0,pollen,6/30/2007,534.0,1.12359550562
19,Akulinin Exposure P1282,47.116667,138.55,47.116667,47.116667,138.55,138.55,Vascular plants,Pinus koraiensis,4.0,NISP,pollen,,24892.0,,,Radiocarbon years BP,315.0,20.0,pollen,6/30/2007,384.0,1.04166666667
