siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
338,Lac Castor,46.613889,-72.998611,46.613889,46.613889,-72.998611,-72.998611,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,,,,Radiocarbon years BP,830.0,220.0,pollen,6/30/2007,881.0,0.11350737798
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,631.0,,,Radiocarbon years BP,231.0,10.0,pollen,6/30/2007,407.0,0.2457002457
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,12798.0,,,Radiocarbon years BP,628.0,10.0,pollen,6/30/2007,401.0,0.249376558603
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,13308.0,,,Radiocarbon years BP,655.0,10.0,pollen,6/30/2007,412.5,0.242424242424
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,13401.0,,,Radiocarbon years BP,660.0,10.0,pollen,6/30/2007,434.0,0.230414746544
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,13764.0,,,Radiocarbon years BP,680.0,10.0,pollen,6/30/2007,406.0,0.246305418719
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,14050.0,,,Radiocarbon years BP,696.0,10.0,pollen,6/30/2007,692.5,0.28880866426
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,15054.0,,,Radiocarbon years BP,754.0,10.0,pollen,6/30/2007,386.5,0.25873221216
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,16144.0,,,Radiocarbon years BP,818.0,10.0,pollen,6/30/2007,419.5,0.238379022646
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,16769.0,,,Radiocarbon years BP,854.0,10.0,pollen,6/30/2007,410.0,0.487804878049
480,Clear Pond,33.798895,-78.95336,33.79935,33.79844,-78.95271,-78.95401,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,17195.0,,,Radiocarbon years BP,878.0,10.0,pollen,6/30/2007,368.5,0.271370420624
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,1538.0,,,Radiocarbon years BP,50.0,198.0,pollen,6/30/2007,291.0,0.343642611684
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,2276.0,,,Radiocarbon years BP,87.5,198.0,pollen,6/30/2007,322.0,0.621118012422
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,3760.0,,,Radiocarbon years BP,162.5,198.0,pollen,6/30/2007,293.0,0.341296928328
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,4918.0,,,Radiocarbon years BP,212.5,198.0,pollen,6/30/2007,314.0,0.636942675159
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,5385.0,,,Radiocarbon years BP,225.0,198.0,pollen,6/30/2007,314.0,0.636942675159
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,7393.0,,,Radiocarbon years BP,287.5,198.0,pollen,6/30/2007,321.0,0.311526479751
517,Starniki,50.266667,26.016667,50.266667,50.266667,26.016667,26.016667,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,8190.0,,,Radiocarbon years BP,325.0,198.0,pollen,6/30/2007,318.0,0.314465408805
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,63.0,,,Radiocarbon years BP,5.0,350.0,pollen,6/30/2007,558.0,0.358422939068
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,1409.0,,,Radiocarbon years BP,100.0,350.0,pollen,6/30/2007,1003.0,0.0997008973081
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,2441.0,,,Radiocarbon years BP,170.0,350.0,pollen,6/30/2007,774.0,0.129198966408
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,3038.0,,,Radiocarbon years BP,210.0,350.0,pollen,6/30/2007,724.0,0.276243093923
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,3338.0,,,Radiocarbon years BP,230.0,350.0,pollen,6/30/2007,1332.0,0.15015015015
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,3639.0,,,Radiocarbon years BP,250.0,350.0,pollen,6/30/2007,1184.0,0.168918918919
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,4244.0,,,Radiocarbon years BP,290.0,350.0,pollen,6/30/2007,2154.0,0.0928505106778
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,5462.0,,,Radiocarbon years BP,370.0,350.0,pollen,6/30/2007,1273.0,0.0785545954438
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,5768.0,,,Radiocarbon years BP,390.0,350.0,pollen,6/30/2007,677.0,0.295420974889
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,2.0,NISP,pollen,,6844.0,,,Radiocarbon years BP,460.0,350.0,pollen,6/30/2007,1406.0,0.142247510669
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,10259.0,,,Radiocarbon years BP,680.0,350.0,pollen,6/30/2007,461.0,0.216919739696
805,Fiddler's Pond,56.25,-121.42,56.25,56.25,-121.42,-121.42,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,1527.0,,,Radiocarbon years BP,75.0,630.0,pollen,6/30/2007,359.0,0.278551532033
805,Fiddler's Pond,56.25,-121.42,56.25,56.25,-121.42,-121.42,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,2160.0,,,Radiocarbon years BP,95.0,630.0,pollen,6/30/2007,363.0,0.275482093664
805,Fiddler's Pond,56.25,-121.42,56.25,56.25,-121.42,-121.42,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,2952.0,,,Radiocarbon years BP,120.0,630.0,pollen,6/30/2007,308.0,0.324675324675
805,Fiddler's Pond,56.25,-121.42,56.25,56.25,-121.42,-121.42,Vascular plants,Plantaginaceae undiff.,1.0,NISP,pollen,,3744.0,,,Radiocarbon years BP,145.0,630.0,pollen,6/30/2007,296.0,0.337837837838
1416,Marais de Keswick,44.195833,-79.512778,44.195833,44.195833,-79.512778,-79.512778,Vascular plants,Plantaginaceae undiff.,3.0,NISP,pollen,,,,,,57.0,221.0,pollen,6/30/2007,413.0,0.726392251816
