siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
214,Arts Lough,52.95,-6.433333,52.95,52.95,-6.433333,-6.433333,Vascular plants,Plantago undiff.,4.0,NISP,pollen,,3417.0,,,Radiocarbon years BP,27.0,490.0,pollen,6/30/2007,624.5,0.640512409928
249,Belmont Bog,42.25,-77.916667,42.25,42.25,-77.916667,-77.916667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,13666.0,,,Radiocarbon years BP,540.0,497.0,pollen,6/30/2007,583.0,0.171526586621
269,Billy's Lake,46.27058,-94.551555,46.27186,46.2693,-94.54948,-94.55363,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,159.0,,,Radiocarbon years BP,210.0,383.0,pollen,6/30/2007,335.0,0.298507462687
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,219.0,,,Radiocarbon years BP,110.0,262.0,pollen,6/30/2007,767.0,0.13037809648
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,413.0,,,Radiocarbon years BP,195.0,262.0,pollen,6/30/2007,351.0,0.2849002849
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,430.0,,,Radiocarbon years BP,202.5,262.0,pollen,6/30/2007,352.0,0.284090909091
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,626.0,,,Radiocarbon years BP,207.5,262.0,pollen,6/30/2007,348.0,0.574712643678
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,724.0,,,Radiocarbon years BP,210.0,262.0,pollen,6/30/2007,357.0,0.280112044818
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,822.0,,,Radiocarbon years BP,212.5,262.0,pollen,6/30/2007,343.0,0.583090379009
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1116.0,,,Radiocarbon years BP,220.0,262.0,pollen,6/30/2007,347.0,0.28818443804
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1214.0,,,Radiocarbon years BP,222.5,262.0,pollen,6/30/2007,350.0,0.285714285714
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1312.0,,,Radiocarbon years BP,225.0,262.0,pollen,6/30/2007,355.0,0.281690140845
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1410.0,,,Radiocarbon years BP,227.5,262.0,pollen,6/30/2007,381.0,0.262467191601
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,1606.0,,,Radiocarbon years BP,232.5,262.0,pollen,6/30/2007,355.0,0.56338028169
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1704.0,,,Radiocarbon years BP,235.0,262.0,pollen,6/30/2007,347.0,0.28818443804
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1802.0,,,Radiocarbon years BP,237.5,262.0,pollen,6/30/2007,348.0,0.287356321839
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,2095.0,,,Radiocarbon years BP,245.0,262.0,pollen,6/30/2007,348.0,0.574712643678
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,2585.0,,,Radiocarbon years BP,257.5,262.0,pollen,6/30/2007,365.0,0.547945205479
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,2683.0,,,Radiocarbon years BP,260.0,262.0,pollen,6/30/2007,380.0,0.526315789474
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,6.0,NISP,pollen,,2781.0,,,Radiocarbon years BP,262.5,262.0,pollen,6/30/2007,382.0,1.57068062827
272,Black Pond,35.620833,-84.186667,35.620833,35.620833,-84.186667,-84.186667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,2879.0,,,Radiocarbon years BP,265.0,262.0,pollen,6/30/2007,356.0,0.280898876404
370,Lac Ciel Blanc,59.516667,-122.166667,59.516667,59.516667,-122.166667,-122.166667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1650.0,,,Radiocarbon years BP,40.0,651.0,pollen,6/30/2007,333.0,0.3003003003
370,Lac Ciel Blanc,59.516667,-122.166667,59.516667,59.516667,-122.166667,-122.166667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,8210.0,,,Radiocarbon years BP,280.0,651.0,pollen,6/30/2007,264.0,0.378787878788
370,Lac Ciel Blanc,59.516667,-122.166667,59.516667,59.516667,-122.166667,-122.166667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,8750.0,,,Radiocarbon years BP,300.0,651.0,pollen,6/30/2007,201.0,0.497512437811
370,Lac Ciel Blanc,59.516667,-122.166667,59.516667,59.516667,-122.166667,-122.166667,Vascular plants,Plantago undiff.,2.0,NISP,pollen,,9636.0,,,Radiocarbon years BP,360.0,651.0,pollen,6/30/2007,261.0,0.766283524904
370,Lac Ciel Blanc,59.516667,-122.166667,59.516667,59.516667,-122.166667,-122.166667,Vascular plants,Plantago undiff.,4.0,NISP,pollen,,10589.0,,,Radiocarbon years BP,400.0,651.0,pollen,6/30/2007,311.0,1.28617363344
370,Lac Ciel Blanc,59.516667,-122.166667,59.516667,59.516667,-122.166667,-122.166667,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,11066.0,,,Radiocarbon years BP,420.0,651.0,pollen,6/30/2007,78.0,1.28205128205
494,Copley Lake,38.872222,-107.0825,38.872222,38.872222,-107.0825,-107.0825,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1038.0,,,Radiocarbon years BP,20.0,3250.0,pollen,6/30/2007,600.0,0.166666666667
494,Copley Lake,38.872222,-107.0825,38.872222,38.872222,-107.0825,-107.0825,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,1251.0,,,Radiocarbon years BP,24.0,3250.0,pollen,6/30/2007,607.0,0.164744645799
494,Copley Lake,38.872222,-107.0825,38.872222,38.872222,-107.0825,-107.0825,Vascular plants,Plantago undiff.,1.0,NISP,pollen,,2684.0,,,Radiocarbon years BP,40.0,3250.0,pollen,6/30/2007,566.0,0.17667844523
