siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
30,Almora Lake,46.206111,-95.293611,46.206111,46.206111,-95.293611,-95.293611,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,4195.0,,,Radiocarbon years BP,325.5,437.0,pollen,6/30/2007,293.0,0.341296928328
30,Almora Lake,46.206111,-95.293611,46.206111,46.206111,-95.293611,-95.293611,Vascular plants,Polygonaceae undiff.,3.0,NISP,pollen,,5725.0,,,Radiocarbon years BP,385.5,437.0,pollen,6/30/2007,387.0,0.77519379845
30,Almora Lake,46.206111,-95.293611,46.206111,46.206111,-95.293611,-95.293611,Vascular plants,Polygonaceae undiff.,2.0,NISP,pollen,,7770.0,,,Radiocarbon years BP,429.5,437.0,pollen,6/30/2007,398.0,0.502512562814
39,Woodbn25,42.3,-90.12,42.3,42.3,-90.12,-90.12,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,244.0,pollen surface sample,6/30/2007,,
46,Coon,43.65,-90.92,43.65,43.65,-90.92,-90.92,Vascular plants,Polygonaceae undiff.,3.0,NISP,pollen,,,,,,0.0,396.0,pollen surface sample,6/30/2007,,
51,Dickey Valley,42.62,-90.58,42.62,42.62,-90.58,-90.58,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,305.0,pollen surface sample,6/30/2007,,
61,Vermnt29,43.03,-89.8,43.03,43.03,-89.8,-89.8,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,335.0,pollen surface sample,6/30/2007,,
68,Amguema River Valley Exposure 1,67.75,178.7,67.75,67.75,178.7,178.7,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,2086.0,,,Radiocarbon years BP,80.0,175.0,pollen,6/30/2007,461.0,0.216919739696
68,Amguema River Valley Exposure 1,67.75,178.7,67.75,67.75,178.7,178.7,Vascular plants,Polygonaceae undiff.,4.0,NISP,pollen,,20216.0,,,Radiocarbon years BP,1150.0,175.0,pollen,6/30/2007,474.0,0.84388185654
68,Amguema River Valley Exposure 1,67.75,178.7,67.75,67.75,178.7,178.7,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,21064.0,,,Radiocarbon years BP,1200.0,175.0,pollen,6/30/2007,218.0,0.45871559633
69,Amguema River Valley Exposure 2,67.666667,178.6,67.666667,67.666667,178.6,178.6,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,2162.0,,,Radiocarbon years BP,200.0,87.0,pollen,6/30/2007,292.0,0.342465753425
70,Amguema River Valley Exposure 3,67.3,178.8,67.3,67.3,178.8,178.8,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,Radiocarbon years BP,20.0,83.0,pollen,6/30/2007,274.0,0.36496350365
70,Amguema River Valley Exposure 3,67.3,178.8,67.3,67.3,178.8,178.8,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,3530.0,,,Radiocarbon years BP,300.0,83.0,pollen,6/30/2007,177.0,0.564971751412
123,Site 53 (Swain unpublished),41.73,-78.42,41.73,41.73,-78.42,-78.42,Vascular plants,Polygonaceae undiff.,2.0,NISP,pollen,,,,,,0.0,518.0,pollen surface sample,6/30/2007,,
128,Site 58 (Swain unpublished),41.88,-76.72,41.88,41.88,-76.72,-76.72,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,457.0,pollen surface sample,6/30/2007,,
133,Site 63 (Swain unpublished),41.3,-76.58,41.3,41.3,-76.58,-76.58,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,305.0,pollen surface sample,6/30/2007,,
134,Site 64 (Swain unpublished),41.12,-76.5225,41.12,41.12,-76.5225,-76.5225,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,152.0,pollen surface sample,6/30/2007,,
136,Site 66 (Swain unpublished),40.62,-76.05,40.62,40.62,-76.05,-76.05,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,152.0,pollen surface sample,6/30/2007,,
138,Site 68 (Swain unpublished),40.23,-75.53,40.23,40.23,-75.53,-75.53,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,91.0,pollen surface sample,6/30/2007,,
151,Site 81 (Swain unpublished),42.22,-77.27,42.22,42.22,-77.27,-77.27,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,381.0,pollen surface sample,6/30/2007,,
153,Site 83 (Swain unpublished),42.23,-77.98,42.23,42.23,-77.98,-77.98,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,533.0,pollen surface sample,6/30/2007,,
154,Site 84 (Swain unpublished),42.23,-78.32,42.23,42.23,-78.32,-78.32,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,471.0,pollen surface sample,6/30/2007,,
155,Site 85 (Swain unpublished),41.55,-74.07,41.55,41.55,-74.07,-74.07,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,138.0,pollen surface sample,6/30/2007,,
171,Site 101 (Swain unpublished),44.8,-71.17,44.8,44.8,-71.17,-71.17,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,381.0,pollen surface sample,6/30/2007,,
172,Site 102 (Swain unpublished),43.02,-72.15,43.02,43.02,-72.15,-72.15,Vascular plants,Polygonaceae undiff.,5.0,NISP,pollen,,,,,,0.0,389.0,pollen surface sample,6/30/2007,,
173,Site 103 (Swain unpublished),44.7,-72.28,44.7,44.7,-72.28,-72.28,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,491.0,pollen surface sample,6/30/2007,,
174,Site 104 (Swain unpublished),44.07,-72.58,44.07,44.07,-72.58,-72.58,Vascular plants,Polygonaceae undiff.,5.0,NISP,pollen,,,,,,0.0,398.0,pollen surface sample,6/30/2007,,
176,Site 106 (Swain unpublished),41.45,-71.95,41.45,41.45,-71.95,-71.95,Vascular plants,Polygonaceae undiff.,2.0,NISP,pollen,,,,,,0.0,29.0,pollen surface sample,6/30/2007,,
177,Site 107 (Swain unpublished),41.87,-71.9,41.87,41.87,-71.9,-71.9,Vascular plants,Polygonaceae undiff.,9.0,NISP,pollen,,,,,,0.0,77.0,pollen surface sample,6/30/2007,,
178,Site 108 (Swain unpublished),41.77,-76.58,41.77,41.77,-76.58,-76.58,Vascular plants,Polygonaceae undiff.,10.0,NISP,pollen,,,,,,0.0,399.0,pollen surface sample,6/30/2007,,
180,Site 110 (Swain unpublished),45.953333,-75.87,45.953333,45.953333,-75.87,-75.87,Vascular plants,Polygonaceae undiff.,9.0,NISP,pollen,,,,,,0.0,503.0,pollen surface sample,6/30/2007,,
181,Site 111 (Swain unpublished),41.9,-75.32,41.9,41.9,-75.32,-75.32,Vascular plants,Polygonaceae undiff.,2.0,NISP,pollen,,,,,,0.0,413.0,pollen surface sample,6/30/2007,,
184,Site 114 (Swain unpublished),47.2,-68.47,47.2,47.2,-68.47,-68.47,Vascular plants,Polygonaceae undiff.,12.0,NISP,pollen,,,,,,0.0,229.0,pollen surface sample,6/30/2007,,
185,Site 115 (Swain unpublished),46.77,-68.47,46.77,46.77,-68.47,-68.47,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,186.0,pollen surface sample,6/30/2007,,
188,Site 118 (Swain unpublished),45.37,-68.48,45.37,45.37,-68.48,-68.48,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,65.0,pollen surface sample,6/30/2007,,
189,Site 119 (Swain unpublished),44.23,-70.03,44.23,44.23,-70.03,-70.03,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,82.0,pollen surface sample,6/30/2007,,
190,Site 120 (Swain unpublished),44.8,-70.15,44.8,44.8,-70.15,-70.15,Vascular plants,Polygonaceae undiff.,3.0,NISP,pollen,,,,,,0.0,192.0,pollen surface sample,6/30/2007,,
191,Site 121 (Swain unpublished),41.88,-74.08,41.88,41.88,-74.08,-74.08,Vascular plants,Polygonaceae undiff.,9.0,NISP,pollen,,,,,,0.0,61.0,pollen surface sample,6/30/2007,,
192,Site 122 (Swain unpublished),42.6,-74.05,42.6,42.6,-74.05,-74.05,Vascular plants,Polygonaceae undiff.,3.0,NISP,pollen,,,,,,0.0,412.0,pollen surface sample,6/30/2007,,
194,Site 124 (Swain unpublished),43.13,-74.05,43.13,43.13,-74.05,-74.05,Vascular plants,Polygonaceae undiff.,4.0,NISP,pollen,,,,,,0.0,442.0,pollen surface sample,6/30/2007,,
198,Greens Lake,42.28,-73.88,42.28,42.28,-73.88,-73.88,Vascular plants,Polygonaceae undiff.,1.0,NISP,pollen,,,,,,0.0,77.0,pollen surface sample,6/30/2007,,
