siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
243,Beaver Lake,44.178611,-107.259722,44.178611,44.178611,-107.259722,-107.259722,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,8455.0,,,Radiocarbon years BP,130.0,2561.0,pollen,6/30/2007,347.0,0.576368876081
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Potentilla palustris,7.0,NISP,pollen,,0.0,,,Radiocarbon years BP,0.0,2362.0,pollen,6/30/2007,321.0,2.18068535826
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,395.0,,,Radiocarbon years BP,40.0,2362.0,pollen,6/30/2007,875.0,0.114285714286
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,593.0,,,Radiocarbon years BP,60.0,2362.0,pollen,6/30/2007,258.0,0.387596899225
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,1037.0,,,Radiocarbon years BP,105.0,2362.0,pollen,6/30/2007,455.0,0.21978021978
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,1976.0,,,Radiocarbon years BP,200.0,2362.0,pollen,6/30/2007,336.0,0.297619047619
311,Buckbean Fen,44.298611,-110.260556,44.298611,44.298611,-110.260556,-110.260556,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,3784.0,,,Radiocarbon years BP,340.0,2362.0,pollen,6/30/2007,365.0,0.547945205479
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,780.0,,,Radiocarbon years BP,110.0,2609.0,pollen,6/30/2007,307.0,0.325732899023
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,935.0,,,Radiocarbon years BP,130.0,2609.0,pollen,6/30/2007,303.0,0.3300330033
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,2585.0,,,Radiocarbon years BP,330.0,2609.0,pollen,6/30/2007,336.0,0.297619047619
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,6.0,NISP,pollen,,2850.0,,,Radiocarbon years BP,360.0,2609.0,pollen,6/30/2007,301.0,1.99335548173
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,2938.0,,,Radiocarbon years BP,370.0,2609.0,pollen,6/30/2007,315.0,0.31746031746
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3028.0,,,Radiocarbon years BP,380.0,2609.0,pollen,6/30/2007,304.0,0.328947368421
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,10.0,NISP,pollen,,3118.0,,,Radiocarbon years BP,390.0,2609.0,pollen,6/30/2007,308.0,3.24675324675
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,3208.0,,,Radiocarbon years BP,400.0,2609.0,pollen,6/30/2007,308.0,0.649350649351
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,3299.0,,,Radiocarbon years BP,410.0,2609.0,pollen,6/30/2007,298.0,0.671140939597
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,6.0,NISP,pollen,,3391.0,,,Radiocarbon years BP,420.0,2609.0,pollen,6/30/2007,305.0,1.96721311475
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,3483.0,,,Radiocarbon years BP,430.0,2609.0,pollen,6/30/2007,201.0,0.995024875622
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3575.0,,,Radiocarbon years BP,440.0,2609.0,pollen,6/30/2007,318.0,0.314465408805
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3668.0,,,Radiocarbon years BP,450.0,2609.0,pollen,6/30/2007,324.0,0.308641975309
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3855.0,,,Radiocarbon years BP,470.0,2609.0,pollen,6/30/2007,309.0,0.323624595469
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,4235.0,,,Radiocarbon years BP,510.0,2609.0,pollen,6/30/2007,311.0,0.64308681672
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,4428.0,,,Radiocarbon years BP,530.0,2609.0,pollen,6/30/2007,307.0,0.651465798046
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,4720.0,,,Radiocarbon years BP,560.0,2609.0,pollen,6/30/2007,311.0,0.32154340836
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,4819.0,,,Radiocarbon years BP,570.0,2609.0,pollen,6/30/2007,312.0,0.320512820513
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,5.0,NISP,pollen,,5118.0,,,Radiocarbon years BP,600.0,2609.0,pollen,6/30/2007,302.0,1.65562913907
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,5218.0,,,Radiocarbon years BP,610.0,2609.0,pollen,6/30/2007,302.0,0.331125827815
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,5319.0,,,Radiocarbon years BP,620.0,2609.0,pollen,6/30/2007,307.0,0.325732899023
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,5421.0,,,Radiocarbon years BP,630.0,2609.0,pollen,6/30/2007,293.0,0.682593856655
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,6.0,NISP,pollen,,5522.0,,,Radiocarbon years BP,640.0,2609.0,pollen,6/30/2007,300.0,2.0
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,6.0,NISP,pollen,,5625.0,,,Radiocarbon years BP,650.0,2609.0,pollen,6/30/2007,306.0,1.96078431373
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,5935.0,,,Radiocarbon years BP,680.0,2609.0,pollen,6/30/2007,339.0,0.294985250737
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,6039.0,,,Radiocarbon years BP,690.0,2609.0,pollen,6/30/2007,316.0,0.632911392405
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,6249.0,,,Radiocarbon years BP,710.0,2609.0,pollen,6/30/2007,323.0,0.30959752322
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,4.0,NISP,pollen,,6355.0,,,Radiocarbon years BP,720.0,2609.0,pollen,6/30/2007,203.0,1.97044334975
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,10.0,NISP,pollen,,6568.0,,,Radiocarbon years BP,740.0,2609.0,pollen,6/30/2007,332.0,3.01204819277
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,6675.0,,,Radiocarbon years BP,750.0,2609.0,pollen,6/30/2007,308.0,0.649350649351
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,6783.0,,,Radiocarbon years BP,760.0,2609.0,pollen,6/30/2007,326.0,0.613496932515
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,3.0,NISP,pollen,,7000.0,,,Radiocarbon years BP,780.0,2609.0,pollen,6/30/2007,297.0,1.0101010101
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,7109.0,,,Radiocarbon years BP,790.0,2609.0,pollen,6/30/2007,325.0,0.307692307692
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,3.0,NISP,pollen,,7328.0,,,Radiocarbon years BP,810.0,2609.0,pollen,6/30/2007,326.0,0.920245398773
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,7439.0,,,Radiocarbon years BP,820.0,2609.0,pollen,6/30/2007,302.0,0.331125827815
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,3.0,NISP,pollen,,7550.0,,,Radiocarbon years BP,830.0,2609.0,pollen,6/30/2007,277.0,1.08303249097
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,7661.0,,,Radiocarbon years BP,840.0,2609.0,pollen,6/30/2007,303.0,0.660066006601
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,7773.0,,,Radiocarbon years BP,850.0,2609.0,pollen,6/30/2007,332.0,0.602409638554
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,7886.0,,,Radiocarbon years BP,860.0,2609.0,pollen,6/30/2007,301.0,0.332225913621
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,7.0,NISP,pollen,,7999.0,,,Radiocarbon years BP,870.0,2609.0,pollen,6/30/2007,342.0,2.04678362573
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8112.0,,,Radiocarbon years BP,880.0,2609.0,pollen,6/30/2007,303.0,0.3300330033
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8226.0,,,Radiocarbon years BP,890.0,2609.0,pollen,6/30/2007,313.0,0.319488817891
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,8340.0,,,Radiocarbon years BP,900.0,2609.0,pollen,6/30/2007,336.0,0.595238095238
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8455.0,,,Radiocarbon years BP,910.0,2609.0,pollen,6/30/2007,391.0,0.255754475703
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8686.0,,,Radiocarbon years BP,930.0,2609.0,pollen,6/30/2007,333.0,0.3003003003
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8803.0,,,Radiocarbon years BP,940.0,2609.0,pollen,6/30/2007,300.0,0.333333333333
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,9154.0,,,Radiocarbon years BP,970.0,2609.0,pollen,6/30/2007,310.0,0.645161290323
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,9273.0,,,Radiocarbon years BP,980.0,2609.0,pollen,6/30/2007,297.0,0.3367003367
1914,Protection Bog,42.622222,-78.466667,42.622222,42.622222,-78.466667,-78.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,2751.0,,,Radiocarbon years BP,247.5,430.0,pollen,6/30/2007,612.0,0.16339869281
1914,Protection Bog,42.622222,-78.466667,42.622222,42.622222,-78.466667,-78.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3112.0,,,Radiocarbon years BP,272.5,430.0,pollen,6/30/2007,631.0,0.158478605388
1914,Protection Bog,42.622222,-78.466667,42.622222,42.622222,-78.466667,-78.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3473.0,,,Radiocarbon years BP,297.5,430.0,pollen,6/30/2007,646.0,0.15479876161
1914,Protection Bog,42.622222,-78.466667,42.622222,42.622222,-78.466667,-78.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3834.0,,,Radiocarbon years BP,322.5,430.0,pollen,6/30/2007,596.0,0.167785234899
1914,Protection Bog,42.622222,-78.466667,42.622222,42.622222,-78.466667,-78.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,10002.0,,,Radiocarbon years BP,577.5,430.0,pollen,6/30/2007,644.0,0.155279503106
2299,Sherd Lake,44.2697,-107.01237,44.27046,44.26894,-107.01149,-107.01325,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,3316.0,,,Radiocarbon years BP,290.0,2665.0,pollen,6/30/2007,301.0,0.332225913621
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8457.0,,,Radiocarbon years BP,1010.0,2609.0,pollen,6/30/2007,302.0,0.331125827815
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,8573.0,,,Radiocarbon years BP,1020.0,2609.0,pollen,6/30/2007,327.0,0.611620795107
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,1.0,NISP,pollen,,8690.0,,,Radiocarbon years BP,1030.0,2609.0,pollen,6/30/2007,338.0,0.295857988166
811,Floating Island Lake,44.55,-107.466667,44.55,44.55,-107.466667,-107.466667,Vascular plants,Potentilla palustris,2.0,NISP,pollen,,9270.0,,,Radiocarbon years BP,1080.0,2609.0,pollen,6/30/2007,309.0,0.647249190939
