siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,5,NISP,pollen,,63,,,Radiocarbon years BP,5,350,pollen,6/30/2007,558,0.896057348
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,8,NISP,pollen,,266,,,Radiocarbon years BP,20,350,pollen,6/30/2007,1150,0.695652174
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,3,NISP,pollen,,405,,,Radiocarbon years BP,30,350,pollen,6/30/2007,656,0.457317073
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,6,NISP,pollen,,687,,,Radiocarbon years BP,50,350,pollen,6/30/2007,1209,0.496277916
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,1,NISP,pollen,,974,,,Radiocarbon years BP,70,350,pollen,6/30/2007,342,0.292397661
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,1,NISP,pollen,,1118,,,Radiocarbon years BP,80,350,pollen,6/30/2007,688,0.145348837
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,5,NISP,pollen,,1409,,,Radiocarbon years BP,100,350,pollen,6/30/2007,1003,0.498504487
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,5,NISP,pollen,,1996,,,Radiocarbon years BP,140,350,pollen,6/30/2007,1200,0.416666667
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,4,NISP,pollen,,2292,,,Radiocarbon years BP,160,350,pollen,6/30/2007,679,0.58910162
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,6,NISP,pollen,,3038,,,Radiocarbon years BP,210,350,pollen,6/30/2007,724,0.828729282
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,7,NISP,pollen,,3338,,,Radiocarbon years BP,230,350,pollen,6/30/2007,1332,0.525525526
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,2,NISP,pollen,,3639,,,Radiocarbon years BP,250,350,pollen,6/30/2007,1184,0.168918919
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,4,NISP,pollen,,3941,,,Radiocarbon years BP,270,350,pollen,6/30/2007,791,0.505689001
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,2,NISP,pollen,,4244,,,Radiocarbon years BP,290,350,pollen,6/30/2007,2154,0.092850511
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,3,NISP,pollen,,4320,,,Radiocarbon years BP,295,350,pollen,6/30/2007,1315,0.228136882
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,7,NISP,pollen,,4700,,,Radiocarbon years BP,320,350,pollen,6/30/2007,885,0.790960452
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,1,NISP,pollen,,5768,,,Radiocarbon years BP,390,350,pollen,6/30/2007,677,0.147710487
765,Edessa,40.818056,21.9525,40.818056,40.818056,21.9525,21.9525,Vascular plants,Quercus coccifera,1,NISP,pollen,,9090,,,Radiocarbon years BP,605,350,pollen,6/30/2007,671,0.149031297
