SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,AgeType,Taxon,Value,Pct,Depth,Handle
Lac Ã  l'Ange,47.481667,-70.684722,,,19088,Radiocarbon years BP,RHAMNACEAE,1,0.268096515,555,ANGE
Boundary Pond,45.566667,-70.675,,,10284,Radiocarbon years BP,RHAMNACEAE,1,0.260416667,392,BOUNDARY
Devils Lake,43.4178,-89.73205,,,9665,Radiocarbon years BP,RHAMNACEAE,1,0.177935943,499,DEVILSWI
Dinkey Meadow,37,-119.083333,,,-35,Radiocarbon years BP,RHAMNACEAE,1,0.286532951,0,DINKEY
Dinkey Meadow,37,-119.083333,,,3867,Radiocarbon years BP,RHAMNACEAE,1,0.317460317,250,DINKEY
First Pond,41.135278,-75.026667,,,99,Radiocarbon years BP,RHAMNACEAE,1,0.284900285,37,FIRST
Lake Ann,45.425,-93.6875,,,1691,Radiocarbon years BP,RHAMNACEAE,1,0.23255814,780,LAKEANNF
Lake Ann,45.425,-93.6875,,,4911,Radiocarbon years BP,RHAMNACEAE,2,0.405679513,1180,LAKEANNF
Lake Ann,45.425,-93.6875,,,5574,Radiocarbon years BP,RHAMNACEAE,3,0.619834711,1250,LAKEANNF
Lake Ann,45.425,-93.6875,,,7089,Radiocarbon years BP,RHAMNACEAE,5,1.052631579,1410,LAKEANNF
Lake Ann,45.425,-93.6875,,,7746,Radiocarbon years BP,RHAMNACEAE,2,0.428265525,1470,LAKEANNF
Lake Ann,45.425,-93.6875,,,8006,Radiocarbon years BP,RHAMNACEAE,1,0.136986301,1490,LAKEANNF
Lake Ann,45.425,-93.6875,,,10352,Radiocarbon years BP,RHAMNACEAE,1,0.226244344,1670,LAKEANNF
Mansell Pond,45.041667,-68.733333,,,1,Radiocarbon years BP,RHAMNACEAE,1,0.081532817,671,MANSELL
Montezuma Well,34.6492,-111.75225,,,10748,Radiocarbon years BP,RHAMNACEAE,2,0.511508951,995,MONTEZUM
Wood Lake,45.333333,-90.083333,,,5186,Radiocarbon years BP,RHAMNACEAE,1,0.283286119,860,WOODLAKE
Wood Lake,45.333333,-90.083333,,,11048,Radiocarbon years BP,RHAMNACEAE,1,0.35971223,1320,WOODLAKE
Wood Lake,45.333333,-90.083333,,,11353,Radiocarbon years BP,RHAMNACEAE,1,0.303951368,1340,WOODLAKE
Wood Lake,45.333333,-90.083333,,,12937,Radiocarbon years BP,RHAMNACEAE,1,0.303951368,1440,WOODLAKE
Lake Emily,44.30865,-93.92,,,167,Calendar years BP,RHAMNACEAE,2,0.564174894,233,EMILY
Siesta Lake,37.8505,-119.659945,2029,5374,3875,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.389863548,40,SIESTA
Hoodoo Lake,46.320235,-114.65153,-53,-32,-44,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.877192982,2,HOODOO
Hoodoo Lake,46.320235,-114.65153,-14,48,20,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.564174894,20,HOODOO
Hoodoo Lake,46.320235,-114.65153,1642,1953,1793,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.614439324,70,HOODOO
Hoodoo Lake,46.320235,-114.65153,1642,1953,1793,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.614439324,70,HOODOO
Hoodoo Lake,46.320235,-114.65153,1965,2438,2158,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.778210117,100,HOODOO
Hoodoo Lake,46.320235,-114.65153,2109,2612,2280,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.336134454,110,HOODOO
Hoodoo Lake,46.320235,-114.65153,2250,2839,2467,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.405679513,120,HOODOO
Hoodoo Lake,46.320235,-114.65153,2764,3819,3244,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.376647834,150,HOODOO
Hoodoo Lake,46.320235,-114.65153,4114,5448,4784,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.56980057,210,HOODOO
Hoodoo Lake,46.320235,-114.65153,4373,5693,5047,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.280112045,220,HOODOO
Hoodoo Lake,46.320235,-114.65153,4900,6180,5565,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.266666667,240,HOODOO
Hoodoo Lake,46.320235,-114.65153,5168,6411,5818,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.60331825,250,HOODOO
Hoodoo Lake,46.320235,-114.65153,5441,6647,6077,Calibrated radiocarbon years BP,RHAMNACEAE,3,0.961538462,260,HOODOO
Hoodoo Lake,46.320235,-114.65153,5729,6866,6338,Calibrated radiocarbon years BP,RHAMNACEAE,3,0.977198697,270,HOODOO
Hoodoo Lake,46.320235,-114.65153,6028,7079,6600,Calibrated radiocarbon years BP,RHAMNACEAE,3,0.858369099,280,HOODOO
Hoodoo Lake,46.320235,-114.65153,6341,7268,6859,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.518806744,290,HOODOO
Hoodoo Lake,46.320235,-114.65153,6670,7448,7118,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.505050505,300,HOODOO
Hoodoo Lake,46.320235,-114.65153,7036,7609,7373,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.364963504,310,HOODOO
Hoodoo Lake,46.320235,-114.65153,7458,7857,7667,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.330578512,323,HOODOO
Hoodoo Lake,46.320235,-114.65153,7601,8145,7863,Calibrated radiocarbon years BP,RHAMNACEAE,1,0.381679389,333,HOODOO
Hoodoo Lake,46.320235,-114.65153,7911,8655,8263,Calibrated radiocarbon years BP,RHAMNACEAE,2,0.823045267,353,HOODOO
Hoodoo Lake,46.320235,-114.65153,8259,9073,8669,Calibrated radiocarbon years BP,RHAMNACEAE,3,0.886262925,373,HOODOO
