siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,2.0,NISP,pollen,,922.0,,,Radiocarbon years BP,30.0,45.0,pollen,6/30/2007,626.0,0.319488817891
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,1.0,NISP,pollen,,1477.0,,,Radiocarbon years BP,50.0,45.0,pollen,6/30/2007,701.0,0.142653352354
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,4.0,NISP,pollen,,1748.0,,,Radiocarbon years BP,60.0,45.0,pollen,6/30/2007,942.0,0.424628450106
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,4.0,NISP,pollen,,2015.0,,,Radiocarbon years BP,70.0,45.0,pollen,6/30/2007,627.0,0.637958532695
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,1.0,NISP,pollen,,2280.0,,,Radiocarbon years BP,80.0,45.0,pollen,6/30/2007,757.0,0.132100396301
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,7.0,NISP,pollen,,2542.0,,,Radiocarbon years BP,90.0,45.0,pollen,6/30/2007,672.0,1.04166666667
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,1.0,NISP,pollen,,2801.0,,,Radiocarbon years BP,100.0,45.0,pollen,6/30/2007,636.0,0.157232704403
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,4.0,NISP,pollen,,3059.0,,,Radiocarbon years BP,110.0,45.0,pollen,6/30/2007,631.0,0.633914421553
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,1.0,NISP,pollen,,3569.0,,,Radiocarbon years BP,130.0,45.0,pollen,6/30/2007,592.0,0.168918918919
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,2.0,NISP,pollen,,4073.0,,,Radiocarbon years BP,150.0,45.0,pollen,6/30/2007,645.0,0.31007751938
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,2.0,NISP,pollen,,4198.0,,,Radiocarbon years BP,155.0,45.0,pollen,6/30/2007,644.0,0.310559006211
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,5.0,NISP,pollen,,4448.0,,,Radiocarbon years BP,165.0,45.0,pollen,6/30/2007,846.0,0.591016548463
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,5.0,NISP,pollen,,4820.0,,,Radiocarbon years BP,180.0,45.0,pollen,6/30/2007,624.0,0.801282051282
947,Grasvatn,63.7,8.7,63.7,63.7,8.7,8.7,Vascular plants,Ranunculus acris,1.0,NISP,pollen,,5066.0,,,Radiocarbon years BP,190.0,45.0,pollen,6/30/2007,4801.0,0.0208289939596
