siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,1,NISP,pollen,,120,,,Radiocarbon years BP,25,155,pollen,6/30/2007,446,0.224215247
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,1,NISP,pollen,,131,,,Radiocarbon years BP,30,155,pollen,6/30/2007,547,0.182815356
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,1,NISP,pollen,,175,,,Radiocarbon years BP,50,155,pollen,6/30/2007,339,0.294985251
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,1,NISP,pollen,,218,,,Radiocarbon years BP,70,155,pollen,6/30/2007,368,0.27173913
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,2,NISP,pollen,,262,,,Radiocarbon years BP,90,155,pollen,6/30/2007,423,0.472813239
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,2,NISP,pollen,,306,,,Radiocarbon years BP,110,155,pollen,6/30/2007,436,0.458715596
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,3,NISP,pollen,,975,,,Radiocarbon years BP,210,155,pollen,6/30/2007,444,0.675675676
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,9,NISP,pollen,,2796,,,Radiocarbon years BP,255,155,pollen,6/30/2007,459,1.960784314
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,2,NISP,pollen,,3139,,,Radiocarbon years BP,270,155,pollen,6/30/2007,434,0.460829493
236,Battle Ground Lake,45.8,-122.491667,45.8,45.8,-122.491667,-122.491667,Vascular plants,Ranunculus aquatilis,1,NISP,pollen,,3596,,,Radiocarbon years BP,290,155,pollen,6/30/2007,338,0.295857988
